0,1,2,3,4
Pelicula,Gone in 60 Seconds: The Ride,2000,-,tt0315906
Pelicula,Baaghi,2000,4,tt0326745
Pelicula,Chung wah dou hap,2000,8,tt0325181
Pelicula,Reinkarnasi,2000,-,tt0326625
Pelicula,Cuenta saldada,2000,-,tt0327601
Pelicula,Semilla de odio,2000,-,tt0328397
Pelicula,36K,2000,1,tt0331160
Pelicula,Recompensa,2000,-,tt0330808
Pelicula,Ex-Con,2000,12,tt0335081
Pelicula,Baliktaran,2000,5,tt0334921
Pelicula,Juan & Ted: Wanted,2000,12,tt0336675
Pelicula,Sagot kita: Mula ulo hanggang paa,2000,11,tt0337134
Pelicula,La texana maldita,2000,-,tt0341611
Pelicula,Ayos na... ang kasunod,2000,8,tt0343388
Pelicula,Pau lui: Duet min ji lui,2000,-,tt0347161
Pelicula,Ang dalubhasa,2000,1,tt0344838
Pelicula,Fidel Jimenez: Magkasubukan tayo,2000,2,tt0346983
Pelicula,Col. Elmer Jamias: Barako ng Maynila,2000,3,tt0346775
Pelicula,Garapal,2000,8,tt0347041
Pelicula,Anghel dela guardia,2000,8,tt0346511
Pelicula,Antonio Cuervo - Police: Walang pinipili ang batas,2000,2,tt0346516
Pelicula,Eskort,2000,11,tt0346948
Pelicula,Katayan,2000,10,tt0347321
Pelicula,Makamandag na bala,2000,3,tt0347476
Pelicula,Tunay na tunay: Gets mo? Gets ko!,2000,3,tt0344499
Pelicula,Sugo ng Tondo,2000,12,tt0348138
Pelicula,Most Wanted,2000,3,tt0347573
Pelicula,Matalino man ang matsing naiisahan din!,2000,3,tt0347512
Pelicula,Minsan ko lang sasabihin,2000,8,tt0347547
Pelicula,"Pag oras mo, oras mo na",2000,4,tt0347725
Pelicula,Entre las patas de los caballos,2000,-,tt0348602
Pelicula,Ipinanganak na ang taong papatay sa iyo,2000,10,tt0347255
Pelicula,Ping Lacson: Super Cop,2000,12,tt0347777
Pelicula,Spirit Warriors,2000,12,tt0348087
Pelicula,Testigo,2000,9,tt0348192
