puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,id_pelicula
,5.6,R.S. Durai Senthilkumar,R.S. Durai Senthilkumar,"Sakthi is a petty thief in a Chennai slum, who learns the Adimurai, the ancient and oldest form of martial arts. Meanwhile, an evil man and his son challenge Sakthi for a kickboxing tournament, and Sakthi agrees to participate in it.",141,Accion,pattas,tt10750020
,7.3,Caleb Lisitsin,"['Caleb Lisitsin', 'Aiden Gale', 'Adam Corey']",-,84,Accion,vigilante,tt10751528
,4.9,Maciej Dutkiewicz,"['Arkadiusz Borowik', 'Maciej Dutkiewicz']","In the Masurian scenery, the story of two inseparable friends - policemen who, after ostentatiously leaving the service, opens a pub and a marina by the charming lake in Morag. However, their respite from challenges does not last long - they are quickly drawn into the middle of a... Leer todo",104,Accion,wyzwanie,tt10758146
,5.8,Anil Ravipudi,"['Anil Ravipudi', 'Narra Praveen', 'G. Adi Narayana']",-,169,Accion,sarileru neekevvaru,tt10773090
,3.3,Robbie Lopez,Robbie Lopez,"Richie Ramone finds himself stuck in a small Town called ""Darkmarsh"" Along side a veteran Sherriff and his Deputy with a itchy trigger finger. Town is over ran by Flesh Eating Inbred Trolls addicted to Opiates,Hillbillies and Bikers with a huge painpill epidemic on the break...th... Leer todo",70,Accion,headcheese: the movie,tt10772334
,-,Michael Nightman,"['Seth Beckson', 'X.R. Chavez', 'Charlie Diggens']","Highschooler Peter Parker, was bitten by a raidoactive spider and since his uncle Ben's death, he fights crime under the name: Spider Man.",-,Accion,the spider-man (fan film),tt10778364
,-,-,P. Vasu,-,-,Accion,magendra,tt10804214
,1.6,Nalaka Withange,Nalaka Withange,-,-,Accion,ethalaya,tt10810522
,6.0,Harsha Udakanda,Harsha Udakanda,-,-,Accion,seda mawathe,tt10833594
,7.3,Bejoy Nambiar,"['Bejoy Nambiar', 'Anjali Nair', 'Kartik R. Iyer']",-,143,Accion,taish,tt10840884
,7.4,Iki Ènèng,Iki Ènèng,A group of brave superheroes has to come together to save the multiverse from evil terrorist birds.,-,Accion,the forevers,tt10841384
,2.3,Rene Perez,"['Barry Massoni', 'Rene Perez']",A military assassin is hired to hunt down and eliminate a bloodthirsty serial killer who is committing murders in a forbidden forest.,78,Accion,cabal,tt10850450
,6.8,Omung Kumar,-,Film on Balakot air strikes 2019.,-,Accion,balakot: the true story,tt10852008
,7.3,Satoshi Morota,Nobuhiro Mouri,"In an alternative timeline of 2018, a group of high school students is pursuing their dreams. Sougo Tokiwa wants to become a king, and Keito Myokoin wants to become the judo champion while trying to impress his crush, Alpina Tsukuyomi.",64,Accion,"kamen raidâ jiô next time: geitsu, majesutî",tt10863950
44,2.5,Maqbool Khan,"['Sima Agarwal', 'Yash Keswani']",Follows a taxi driver who picks up a girl while he is on the run and ends up in a crazy roller-coaster of events.,119,Accion,khaali peeli,tt10885444
67,5.7,Trish Sie,Sarah Rothschild,-,100,Accion,the sleepover,tt10888708
,-,Valeri Lilov,Valeri Lilov,"When two brilliant women - Charlotte Holmes and Jame Bond face each other in a dangerous game of crime and espionage, the world begins to tremble beneath their feet.",-,Accion,bond and holmes: antiheroines,tt10905460
,-,David Kirkman,"['David Kirkman', 'Joshua Sykes']","In 1839, an alien being crashes to Earth in the deep south, taking on the form of an African-American man with supernatural abilities. Today the alien is still alive, in the guise of successful attorney Augustus Freeman. In partnership with his new friend ROCKET, they protect the... Leer todo",30,Accion,icon - a fan film,tt10908226
,6.9,Robert Peters,"['Samantha Iwowo', 'Nyaradzo Mutsauri', 'Nyaradzo Mutsauri']",Mugabe rises from being a prisoner to power as a guerrilla fighter but gradually becomes the world's top tyrant. After four decades in power his allies do the unexpected.,-,Accion,mugabe,tt10908892
,4.9,Rakesh Mehta,"['Jass Grewal', 'Anooj Kumar Sareen', 'Prince Kanwaljit Singh']",-,115,Accion,ik sandhu hunda si,tt10916120
,5.4,"['Hakan Kursun', 'Huseyin Ozden']",A. Kadir Bozkurt,The story of a group of soldiers going to Gallipoli War.,107,Accion,mendilim kekik kokuyor,tt10923534
-,7.3,Nehesh Poll,Nehesh Poll,-,90,Accion,it's about choices,tt10919858
,1.6,Joy Jones,-,-,92,Accion,the coming,tt10926356
,-,-,-,"A street fighter that clearly struggles with all types of issues in life, but wont go down, certainly without willing to look after his family. He''s had many wars and sometimes the toughest are simply at home, trying to lead a normal life. A feat of many men. He an established b... Leer todo",-,Accion,angel of the north,tt10931146
,-,Chris Hampshire,Chris Hampshire,"A year has passed since the mother boxes were destroyed. Unaware to the Justice League, the boxes have released a power surge that has attracted the attention of their creator, Brainiac.",132,Accion,justice league extinction,tt10937188
,-,Mavrick Vo,Mavrick Vo,"Live-Action fan film web series of Naruto, a story about a boy and his goal to achieve and become one the greatest Shinobi facing many obstacles, to hope one day become the Hokage.",-,Accion,naruto evolution episode one: bonds,tt10936240
,4.8,Paul Leyden,"['Joseph Downey', 'Hope Bryant']",-,97,Accion,chick fight,tt10944486
83,7.1,Ariel Winograd,"['Alex Zito', 'Fernando Araujo', 'Rodolfo Palacio']",-,114,Accion,el robo del siglo,tt10948718
,7.9,Ritam Srivastav,"['Akhilesh Choudhary', 'Mukesh Kumar', 'K. Rishab']","the life journey of the dreaded dacoit Shiv Kumar Patel who ruled the lands of Bundelkhand for twenty-eight years and had the entire police, administration and the politicians being obedient to him.",101,Accion,taanashah,tt10968008
,4.1,Vijay Anand,Vijay Anand,A conman tries to save an innocent girl from the clutches of a womanizer after realizing that he had fallen in love with her.,121,Accion,dagaalty,tt10966832
,-,Arthur J. Mangano,Arthur J. Mangano,-,-,Accion,brew,tt10978650
,-,S. Tynsong,S. Tynsong,"When a drunken father takes no responsibility for his family, will his wife and his son live a better life?",-,Accion,ka bor jong ka kyiad,tt10981056
,5.3,Pankaj Batra,"['Jatinder-Lall', 'Kamalpreet Singh']","Yaadi falls in love with Rehmat, an innocent and focused student. Rehmat's father decides to arrange her marriage with a law-abiding man called Yuvi which places Rehmat at a crossroad in her life.",141,Accion,jinde meriye,tt10984686
46,4.3,Gabriel Sabloff,"['Tommy Blaze', 'Steven Keller', 'Gabriel Sabloff']",-,90,Accion,beckman,tt10989808
29,5.3,Satish Vegesna,Satish Vegesna,"Balu loses both of his parents in his childhood and he grows up as an orphan. Because of this, he starts an organization named ""All Is Well"" to supply emotions to the needy.",152,Accion,entha manchivaadavuraa,tt10995146
-,5.7,Gary Lee Vincent,Jason Campbell,"Based on a true story, Officer Carl Thomas (Jeff Moore) was fearless at going after the bad guys. But Thomas had a dark side. In Dispatched, learn how God changed the heart of a street-hardened cop into an ambassador of God's love.",76,Accion,dispatched,tt11011508
