puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,anio
95,8.0,Timur Bootzin,Timur Bootzin,-,-,Drama,reflection,2020
nan,-,Kail Grösser,Kail Grösser,"A girl who's been beaten wants to take revenge by doing voodoo to those who have mistreated her. The mysterious girl can't get Tania, who has participated against her will, off her head.",9,Drama,cuatro espinas,2020
nan,-,Ryan Jamison,Ryan Jamison,"Under the pressure of his friends to make a move on his crush at a party, the typically shy Patrick attempts to overcome his insecurities in hopes of being accepted by a group to which he has struggled to truly belong.",17,Drama,also patrick,2020
nan,-,Ricardo Muñoz Senior,Ricardo Muñoz Senior,-,-,Drama,ecomienzo (begreenning),2020
nan,8.8,Partha Sarathy,-,"An Aspirant Police Officer is given an assignment to investigate the mysterious death of a senior Journalist were it tends to connect a link between a gang and it's rivalry,",-,Drama,karta,2020
nan,8.4,Rommel Villa,Rommel Villa,"1951, Mexico City. After synthesizing the main component of the contraceptive pill, young scientist Luis Miramontes deals with the religious and personal consequences of his groundbreaking invention.",30,Drama,sweet potatoes,2020
nan,-,Péter Dóczé,"['Zsuzsanna Bak', 'Péter DóczéDávid Kojnok']",-,-,Drama,dilemma,2020
nan,-,"['Tori Kotsen', 'Ilya Zorin']",Tori Kotsen,"Two incredibly close sisters, Annabel and May, whisk away to their beach house to have the best summer ever until one drunken night lands Annabel in an unsafe situation that alters the dynamic of their friendship.",13,Drama,unsafe,2020
nan,-,David L. Fernandez,David L. Fernandez,-,-,Drama,home is where the hatred is,2020
nan,6.6,Joscha Bongard,"['Joscha Bongard', 'Felix Schreiber']","At times of changing gender roles, a tinder date encourages young Leonid to live his own definition of ""masculinity."" A current reflection on love, sexuality and role models.",25,Drama,"young, fragile",2020
nan,-,Paolo Vincent,Paolo Vincent,-,24,Drama,l'autre maison,2020
nan,-,Lisa Dunning,"['Bryan Huynh', 'Chris Lee']","There aren't always the perfect words to make it better for Adam, a 20 something young man, has to endure right now. He feels his father is overbearing over him, while his mother is trying to do her best to support her son through his dark moments. The words are insightful to oth... Leer todo",-,Drama,tomorrow never came,2020
nan,-,Teddy Pryor,Teddy Pryor,A hitman reassesses his moral values after making a mistake on the job.,-,Drama,the reaper,2020
89,-,Jason Park,Joohun Lee,A brother finds his older sister digging holes at a deserted beach in the middle of the night for unknown reasons.,10,Drama,under the boardwalk,2020
nan,-,Giovanni Pugliese,Nicholas Bomparte,-,-,Drama,asethedeath,2020
nan,-,Nathaniel Foster,"['Nathaniel Foster', 'Manny Spero']","Playing catch, two guys attempt to make sense of the rapidly changing world of online dating.",-,Drama,catch,2020
nan,-,Vahid Keshavarz,Vahid Keshavarz,Emily is grappling with depression when a discovery from her past changes her world.,7,Drama,unexposed,2020
nan,-,Lorenzo Cassol,Alessia Buiatti,-,-,Drama,l'aurora,2020
nan,6.9,Ingrid Haas,Ingrid Haas,"Gertie and her sometimes boyfriend, Sam, are faced with a major life decision only to realize that even when they know what they want, life has other plans.",11,Drama,still wylde,2020
nan,-,Lars Soti,Tess Van Duijvenbode,A person suffering from severe OCD and paranoia (accompanied by the color red) must deal with his condition.,5,Drama,what if i didn't?,2020
nan,-,Madeline Silton,Madeline Silton,"Empty Space is about Matthew, who finds himself in an empty town, attempting to find his girlfriend. Touching on topics of depression and suicide, this short film explores the mind state of someone deeply affected by depression and isolation.",-,Drama,empty space,2020
nan,5.3,Yasemin Demirci,Yasemin Demirci,Iklim moves from Istanbul to London in hopes of a better future but starts having adaptation issues.,20,Drama,climate change,2020
67,-,Victoria Shefer,Victoria Shefer,"Desperate woman, tormented for a long time by guilt and grief, decides to take a step - forward to the light or back into the dark?",6,Drama,before i sleep,2020
nan,-,Nicole M. Brevard,Nicole M. Brevard,-,15,Drama,dreaming of sleep,2020
-,-,David M. James,Maxine Clement,"Alicia, a heartbroken mid 20s young woman, is still trying to get over the break-up from her long-term boyfriend. In the process she traverses the big city encountering obstacles, meeting new people, all the while trying to literally drag her heavy emotional baggage along for the... Leer todo",-,Drama,baggage,2020
nan,-,Kalainithan Kalaichelvan,Kalainithan Kalaichelvan,"Lucy and John,a pair of offish,insensitive marriage. On this distant relationship,just one witness testifies,a recorder.",-,Drama,80613,2020
52,-,Lucia Bellini,Naya James,"Stuck, is the story of a close-knit Italian-American family that must grapple with what it means when one of its members wishes to ""go in the goo,"" a colloquialism of the time that means to remove oneself from society by hooking up full-time to a virtual reality pod.",-,Drama,stuck,2020
-,-,Talon Gonzalez,"['Bo Galvin', 'Talon Gonzalez']","David, an aspiring social media influencer, receives a distressing call from a crying woman. The seemingly wrong number becomes personal when a kidnapper demands a ransom for his mother's life.",-,Drama,wrong number,2020
92,-,Brandon Russell,"['Derik Ha', 'Ryan Mc', 'Crory', 'Brandon Russell']",A man looks for clarity in the wrong things in life while he is trying to get even.,-,Drama,small world,2020
nan,7.3,Shawn Welling,"['Claire Elizabeth', 'Shawn Welling']","Two people find the most unexpected encounter on flight 483. From Shawn Welling, creator of If I Could Talk, comes a whole new adventure in K9 Human bond as created by the health and wellness producers Life in Sight.",12,Drama,flight 483,2020
nan,7.9,M.G. Evangelista,Stephanie Adams-Santos,"In the days following her suicide attempt, a queer lovelorn teen finds connection and solace with her Abuela through the secret language of dreams.",15,Drama,la gloria,2020
nan,-,Melik Kuru,Melik Kuru,"Haluk, an incompetent factory owner, competes with his wife and skillful operations manager Güler. As the power crisis between the husband and wife escalates, someone unexpected will suffer from it in a most tragic way.",18,Drama,we are a family,2020
nan,-,Léa Raud,Léa Raud,"Barbara arrives in Los Angeles to meet her favorite actor ever Johnny Depp, but soon she realizes that no one has never heard of the famous actor.",-,Drama,missing johnny,2020
nan,-,"['Connor Chadwick', 'Daniel J. Patton']","['Connor Chadwick', 'Daniel J. Patton']",-,-,Drama,uploading,2020
nan,6.0,Juan Sebastian Valencia,Juan Sebastian Valencia,"A heartbroken magician needs to fix his magic wand, but in order to mend it back together he must mend his broken heart.",17,Drama,magico,2020
nan,-,Mason Cade Packer,Mason Cade Packer,Birthday party clown Marshall attempts to reconnect with his father Jack before his untimely death at the hands of a government body. Set within an alternate-reality where elders are subjected to compulsory euthanasia at the age of 65.,15,Drama,eutha-nation,2020
50,-,Michael Benjamin Walker,Michael Benjamin Walker,"Hazel, a lonely woman suffering from Alzheimer's, decides to preserve a rose to help her recall her husband, Walter's face, but things don't go according to plan.",10,Drama,preservation,2020
nan,-,"['Andy Mc', 'Quade']",Felicity Wren,-,-,Drama,american english,2020
nan,-,Debanjan Majhi,-,"Hodophobia - It is the fear of travelling, especially alone. Though ignored by mainstream medical sciences, hodophobia is a big threat to the new generation, especially girls. Midnight Mirror delves deep into the psyche of what exactly one thinks, when put under such horrific cir... Leer todo",-,Drama,midnight mirror,2020
nan,-,"['Andrea Ballesta', 'Coni Samperi']","['Andrea Ballesta', 'Coni Samperi']",-,-,Drama,milkshake,2021
nan,-,"['Reece Mc', 'Cullagh', 'Finbar Somers']","['Reece Mc', 'Cullagh', 'Finbar Somers']","Dave has accepted his fate, consigning himself to miserable solitude, until an old friend arrives with a box of old records. Hearing the psychedelic sounds of his youth, something stirs deep within Dave that he thought was lost forever.",-,Drama,garden of paradise,2021
nan,-,Abhijeet Kamble,"['Abhijeet Kamble', 'Nayan Pachori']","Lallan, a migrant from U. P., loses his employer's important parcel on his very first day in Mumbai; little does he know it's pursuit is going to put him into some hilarious situations encountering some bizarre people.",32,Drama,welcome to mumbai,2021
nan,-,Jesko Thiel,"['Cornelis Kater', 'Sascha Vennemann']","David learns that the world will only be habitable for humanity for another 3 weeks, as a previously unknown side-effect of climate change is causing oxygen levels to fall inevitably.",24,Drama,lo2ss,2021
nan,-,Yasmin Gorenberg,"['Yasmin Gorenberg', 'Myra Noveck']",An immigrant boy of the Depression era soars above his family's tragedies.,28,Drama,40 nickels,2021
nan,-,Akash Motwani,"['Margaret Lockyer', 'Akash Motwani']",-,-,Drama,the long halloween,2021
nan,-,Maanasi Patel,Maanasi Patel,-,-,Drama,taken for granted,2021
nan,-,Paul Howard,Jemma Arnold,-,18,Drama,sour milk,2021
nan,9.6,Viktor Szabados,Viktor Szabados,Two men talk about a car accident and its consequences.,-,Drama,szembesülés,2021
nan,8.8,Alejandra Hou,"['Alejandra Hou', 'Angelica Reyes']","After a mysterious storm, Egypt is moved to a new planet away from Earth. There, the Pharaoh decides to impose a law where every kid belongs to him. Istar, the Pharaoh's obsession, decides to return after not seeing her mother for 12 years. Therefore, she will need to survive the... Leer todo",15,Drama,inside the notebook,2021
nan,-,Scott Burkhardt,Scott Burkhardt,"When a mother and daughter are stranded at his service station, Sayid's faith in his adopted country is put to the test.",-,Drama,girls are strong here,2021
54,5.4,Andy Heck,"['Jonathan Kittrell', 'Nick Shaner']",A young gay man thinks back to his childhood growing up in a conservative Christian home and wants to move on with his life.,7,Drama,burn,2021
nan,-,"['Daniel Fox', 'Sean Peter Fox']",Daniel Fox,"'God In The Sky' tells the story of a young woman dealing with a crisis of faith. One day, an interstellar object appears on Earth and begins sending everyone visions of the afterlife - everyone except her.",-,Drama,god in the sky,2021
nan,-,Louise Hylland,Louise Hylland,"A tragicomic existentialist tale of an alternative encounter between two misplaced, identity-confused teenagers, Mada and Ave, who, despite a failed rape attempt, develop empathy, understanding, and feelings for each other.",-,Drama,r[evol]ution of love,2021
nan,-,Alexei Gredinaru,Alexei Gredinaru,A man is born from the sea in what appears to be a mythical world only to realize he's no longer alive.,-,Drama,port radacini,2021
nan,-,Diana Chire,Diana Chire,"In this exploration of gender roles, Francesca, a horn player and music composition student is contemplating the pros and cons of continuing a relationship with Nick, an artist. The film explores and dissects the problematic idea of the female muse in the 21st century.",9,Drama,a living sculpture,2021
nan,-,"['Fiona Mc', 'Kenzie']","['Fiona Mc', 'Kenzie']","Trying to connect with his estranged son, and confronted with a neighbor who does things differently, Mark is forced out of his solitary comfort zone. All three find common ground in a way none of them could have foreseen.",12,Drama,peninsula,2021
nan,8.1,Ibrahim Faal,Ibrahim Faal,Anna lives with her alcoholic and controlling father and dreams of becoming an actress.,9,Drama,don't kill my dreams,2021
nan,-,Naomi Fryer,Naomi Fryer,-,-,Drama,this river,2021
