puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,anio
26,3.3,David Betances,"['David Betances', 'Sevier Crespo']","A high-speed accident on the freeways of Los Angeles reveals a turf war between two competing car-theft rings of sexy all-girl crews. Streetwise young cop Brandy Martinezis assigned by lieutenant Baynes (Steven Bauer) to go undercover and infiltrate one of the crews. When Brandy falls for Carlo, an undercover cop also investigating the gangs, the two find themselves i... Leer todo",74,Accion,fast lane,2010
nan,2.3,Andrew Wiest,"['John Bunyan', 'Andrew Wiest']","A child lives with a group of misfits in a junkyard, stealing to survive. When a travelling preacher tells him that his father is alive, he must leave his family of thieves and venture into the wilderness in search of a better life.",108,Accion,the wylds,2010
nan,6.4,Erik Skjoldbjærg,Christopher Grøndahl,"The movie portrays Norway's most spectacular robbery, where 11 men occupied central Stavanger for twenty minutes and escaped with 57 million kroner (appx $10 million). A police officer was shot and killed.",87,Accion,nokas,2010
nan,3.5,Jing Wong,Jing Wong,A cop travels back in time to take on a corporation that's out to eliminate a doctor who has created a new technology which can break up the monopoly on a energy resources.,99,Accion,mei loi ging chat,2010
nan,7.4,Aleksandr Kott,"['Aleksey Dudarev', 'Vladimir Eryomin', 'Ekaterina Tirdatova']","A war drama set during the Nazi invasion of the Soviet Union in June 1941, in which Soviet troops held on to a border stronghold for nine days.",138,Accion,brestskaya krepost,2010
29,3.9,Joseph Guzman,"['Joseph Guzman', 'Robert James Hayes II']",-,91,Accion,nude nuns with big guns,2010
nan,7.2,Mike Donis,Marsha Courneya,"'The Blue Seal' follows John Kraft, a socially awkward farmer who longs for secluded retirement but is held back by his sordid involvement with a criminal delivery organization. Victim to relentless attempts on his life, this good-natured man finds himself pushed onto a path of violence until his irreversible deeds leave him with more solitude than he could have wishe... Leer todo",123,Accion,the blue seal,2010
nan,-,Shivaji Lamichhane,-,-,-,Accion,jaljala,2010
87,8.8,Christopher Nolan,Christopher Nolan,-,148,Accion,inception,2010
40,6.4,William Phillips,William Phillips,A hardened American gunslinger is repeatedly thwarted in his attempts to mount a showdown in a friendly town in Canada where no one seems to understand or appreciate the brutal code of the American Wild West.,89,Accion,gunless,2010
