puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,anio
nan,8.1,Akkim Lee,Akkim Lee,Simone (Sissy) is an everyday type of girl...who is learning to be a mixed martial artist. And her first full contact fight will prove to be the challenge of her life.,21,Accion,what it takes,2015
nan,9.0,Yuri Alves,Yuri Alves,"Dane thought he left his demons and his drug addiction behind him, but his first day out of prison challenges both his promise to go clean and his very survival.",13,Accion,exit road,2015
-,8.9,Jake Thomas Armbruster,Jake Thomas Armbruster,"A godly man has everything taken from him, left questioning his faith and integrity, retaliation seems to be the only way to ease the Animus.",12,Accion,animus,2015
nan,-,Dan Liu,"['Mc', 'Kay Stewart']","The ""Jets"" chase the ""Sharks"" over a fence and land in... a warehouse! With swords in their hands. And Deadmau5 controls them all!",9,Accion,west side swordy,2015
nan,-,Joe Pavlo,"['Stuart Barr', 'Andy Mackie']","What if 'Downsizing' was taken literally? A bloody, funny, short action flick exploring that Work, not War is Hell.",12,Accion,downsizer,2015
nan,-,Lanlin Wong,"['Clark Koelsch', 'Lanlin Wong']","Three Marines out on a recon mission in the Iraq desert in 2006, find themselves in a morale dilemma that leads them to a power struggle between protocol, survival, and morality.",20,Accion,domino 21,2015
-,6.7,Teddy Cecil,Teddy Cecil,One worker sparks a revolution when he attempts to break free of his dystopian underworld.,20,Accion,helio,2015
nan,6.5,"['Jamie Stanton', 'Liam Tate']","['Jamie Stanton', 'Liam Tate']","Delivering justice, one innocent bystander at a time.",14,Accion,isaac and quincy,2015
nan,-,Paul Amstone,Paul Amstone,"Garrick Harland has a near death experience that allows him to see ghosts. but there is just one problem, he can't help the spirits he sees. And a new visitor aims to change that.",10,Accion,seeing ghosts,2015
-,7.2,Karel van Bellingen,Karel van Bellingen,"London, 2084. An interstellar migration cop's fateful encounter with a young prostitute leads to a violent shot at redemption.",30,Accion,the leap,2015
nan,-,"['Patrick Michael Canino', 'Keith Romine']",Patrick Michael Canino,A story of two professional hired killers who are face with a moral dilemma when executing a job. They are two brothers who do not share the same allegiance. One is loyal to his family and the other is loyal to the code he lives his life by. There is love and there is betrayal.,12,Accion,accept not,2015
nan,-,"['Hilton Belle', 'Romane Orlando Robb']",Hilton Belle,A secret government agency consisting of a group of highly trained females band together to fight the various forces that endanger mankind.,-,Accion,the sisterhood,2015
57,-,Mick Dow,Mick Dow,Footsteps always sound louder when they're behind you.,3,Accion,shortcut,2015
-,-,Eric Ramos,"['Jeff Mc', 'Comsey', 'Eric Ramos']","November 11th, 2041. Nobody celebrates Veteran's Day anymore. Victor Sheppard is an old man in a new world of peace and equality. Millions of people died and the world is a better place, but nobody remembers why. Haunted by his dead comrades. Now in his old, he fights an internal war of guilt, unsure if he will find peace in a warless world.",30,Accion,american terror,2015
nan,-,Ralph Henriquez,Ralph Henriquez,"A young woman's strength, power and courage are the only things standing between Earth's survival...or its annihilation!",9,Accion,fuerza,2015
nan,9.3,Todd Sklar,Todd Sklar,-,10,Accion,let's do it,2015
-,-,Matthew Byori Mann,"['Chris Gearhart', 'Chris Gearheart', 'Matthew Byori Mann']","Caught in a war between humans and vampires, Special Officer Michael Phoenix uncovers a conspiracy that forces him to question on which side should he fight.",14,Accion,twiceborn,2015
