puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,anio
54,-,Collin Lockett,Collin Lockett,"Craig, a teenager lost to the cesspools of high school unpopularity, is given a chance to upgrade socially at the expense of his best friend.",7,Comedia,flashback,2015
nan,-,Felipe Pilotto,Felipe Pilotto,A man sees his life ruined by his own uncontrollable thoughts - Meanwhile the woman of his dreams calls him to full life.,-,Comedia,a cartola,2015
21,-,Radomir Jordanovic,"['Radomir Jordanovic', 'Irvin Steele']",-,7,Comedia,tooken,2015
nan,-,Justin Youngs,"['Radomir Jordanovic', 'Justin Youngs']",-,1,Comedia,cats 'n cookys,2015
nan,-,Florian Schmidt-Convey,"['Markus Giefing', 'Florian Schmidt-Convey']",-,-,Comedia,l'atelier,2015
nan,-,"['Drew Bromley', 'Greysen Davis']","['Drew Bromley', 'Greysen Davis']","Two Hunters try to kill a victim when they encounter one, which they both succeeded in.",-,Comedia,the killer drown,2015
nan,-,Dany Campos,Dany Campos,-,5,Comedia,el método existencial,2015
nan,-,"['Bienve Ferro', 'Nakor Santamaría']",-,"Mikel, a young easily influenced, is tempted to spend a night of crazy revelry, before his commitment not to do so to go the next morning a job interview in good condition.",4,Comedia,beste patxaran bat,2015
nan,-,Lucas Echikson,Lucas Echikson,"A drunk man is challenged to a game of rock, paper, scissors where the loser dies.",4,Comedia,"rock, paper, death!",2015
nan,-,Lucas Echikson,Lucas Echikson,A boy goes on a quest for good food.,5,Comedia,the quest for good food,2015
nan,-,Lucas Echikson,Lucas Echikson,"When a boy finds strange notebook in his backyard, he's tormented by something called The Head Demon.",3,Comedia,the head demon,2015
nan,-,Tadas Vidmantas,Tadas Vidmantas,Young man accidentally finds God's phone number. The very next morning he calls him to ask an important question.,3,Comedia,question for god,2015
50,-,Jeremiah Budin,Jeremiah Budin,-,-,Comedia,robbery,2015
nan,-,Will Storie,-,-,-,Comedia,parent trap,2015
nan,-,Marie Moore,"['Michael Laughton', 'Marie Moore', 'Sammy Moore']",-,-,Comedia,nuclear blackout,2015
54,-,-,-,Ver la información de la producción en IMDbPro,-,Comedia,feed the fish,2015
nan,-,Robert Ramos,Robert Ramos,-,-,Comedia,no story,2015
100,-,Inbar Horesh,-,"Three sons as three queens portraying their three mothers - reveal the various facets of their lives in a political-comic documentary which exposes the tensions between drag performance and real life. Elias, Aviram and Oz are a trio of Jerusalemite drag- queens who perform together in underground queer parties called ""Jerusalem is Burning"". But as Oz has decided to le... Leer todo",40,Comedia,crossing,2015
nan,-,Piotr Matwiejczyk,Piotr Matwiejczyk,-,13,Comedia,dresik,2015
nan,-,Piotr Matwiejczyk,Piotr Matwiejczyk,-,10,Comedia,po drugiej stronie,2015
nan,-,Piotr Matwiejczyk,Piotr Matwiejczyk,-,18,Comedia,dresik na emigracji,2015
nan,-,Piotr Matwiejczyk,Piotr Matwiejczyk,-,19,Comedia,dresik i dwa pedaly,2015
nan,6.6,T.J. Misny,Paul Gale,-,-,Comedia,the truth about meeting women,2015
31,-,Vahagn Karapetyan,Vahagn Karapetyan,-,-,Comedia,the neighbors,2015
nan,-,"['Zack Bornstein', 'Adam Wagner']","['Zack Bornstein', 'Adam Wagner']",-,-,Comedia,if the earth treated us the way we treat the earth,2015
nan,-,Daniel Kupsa,-,-,-,Comedia,síla klacku,2015
nan,-,Jonny Fleet,"['Jonny Fleet', 'Kelly Mc', 'Gee']","A group of Mormons wake up to a zombie apocalypse, only to discover that zombies won't attack them if they're drunk.",16,Comedia,zombooze,2015
nan,-,-,Adam Weinrib,-,-,Comedia,adam weinrib at runnin' on empty,2015
nan,-,-,Dan Carroll,-,-,Comedia,superstitious cubs fans,2015
nan,-,Kym Oeser,"['Arial Elkin', 'Alejandro Japkin', 'Kym Oeser']","When faced with a choice, this poor man doesn't know what to do.",5,Comedia,pliegues cualitativos,2015
nan,-,Darya Perelay,Darya Perelay,-,3,Comedia,bonjour,2015
nan,-,Jonay Escarbajal,Jonay Escarbajal,-,-,Comedia,tenemos un plan,2015
nan,-,Ethen Lerose,-,"A man attempts to find the pages of the ""Phone Man"", but at what cost?",4,Comedia,who was phone man?,2015
48,-,Patrick Jorgenson,Patrick Jorgenson,"Two old cohorts reunite once again in their waning age to get back into ""the game"" one last time.",-,Comedia,back in the game,2015
nan,-,Minti Anirudh Mishra,Minti Anirudh Mishra,-,-,Comedia,ada - 3,2015
nan,7.6,Gustav Johansson,Gustav Johansson,"When you say, ""Just a minute,"" what do you really mean? In this Vogue.com original short, directed by Gustav Johansson, the actress is called to set from her dressing room, but isn't remotely ready. Watch to see just how long she can stretch out 60 seconds.",-,Comedia,just a minute,2015
nan,-,Shawn Adeli,-,-,-,Comedia,hocus broke-us,2015
nan,-,-,Rachel Joravsky,-,-,Comedia,jenny in the city: a snapchat story,2015
nan,-,Peter Kelly,Rachel Joravsky,-,-,Comedia,bad cribs,2015
99,-,Peter Kelly,Rachel Joravsky,-,-,Comedia,anarchy tv,2015
nan,-,Conrad Mericoffer,Conrad Mericoffer,"Victor Rebengiuc is an unknown actor from Bucharest. He is called to audition for a ""miracle lotion"" commercial. A satire about the actors' problems in Romania.",12,Comedia,casting call,2015
nan,-,Mercedes Sierra,Mercedes Sierra,-,-,Comedia,abre fácil,2015
nan,-,Craig Mooneyham,Kasey James,-,15,Comedia,my bully,2015
96,-,Inbar Horesh,Inbar Horesh,"Inbar takes a taxi from Jaffa to Tel Aviv central bus station. Everyday conversation with the driver raises many questions, some of which were hidden beneath the surface.",5,Comedia,taxi,2015
nan,-,José Pablo Celorico,-,"Supermaca is a superhero from Seville that got her powers after ingesting cleaning products at work, and her life will change drastically after receiving an eviction order.",-,Comedia,supermaca,2015
nan,-,Omar Khaled,Omar Khaled,-,5,Comedia,alien tale,2015
nan,-,Thomas Moody,Thomas Moody,Spoof documentary about a poor young man named Peter who takes us on a tour of the town and shows us what he does every day.,13,Comedia,benefits hartlepool,2015
-,-,Preston Michael Simpson,Preston Michael Simpson,"Two friends meet on campus for lunch, but one cannot pay.",2,Comedia,lunch break,2015
nan,-,Sterling Vaughn Jewell,Sterling Vaughn Jewell,-,1,Comedia,ticket sales,2015
nan,-,Adam Sacks,Benjamin Apple,-,-,Comedia,cut to,2015
nan,-,Jonathan van Tulleken,-,-,2,Comedia,date #1: heart,2015
nan,-,"['Jesús Abad', 'Guillermo Escobedo']","['Jesús Abad', 'Guillermo Escobedo']",-,10,Comedia,old ladies attack,2015
94,-,Alec Cohen,"['Jeremiah Budin', 'Jasmine Pierce']",-,-,Comedia,pillow talk,2015
