actor,año_nacimiento,que_hace,conocido_por,lista premios
Nihal G. Koldas,1956.0,"['Reparto', 'Producción', 'Arte']","['Çogunluk (2010)', 'Mustang (2015)']",['Turkish Film Critics Association (SIYAD) Awards']
Karen Soto,,['Reparto'],[],
Milan Murray,,"['Reparto', 'Dirección', 'Guion']",[],[]
Jonesy,,['Reparto'],[],[]
Kathleen McNenny,1962.0,"['Reparto', 'Producción']","['Morning Glory (2010)', 'Te puede pasar a ti (1994)', 'Escuela de rock (2003)']",[]
Gabriella Arlene,,['Reparto'],[],
Gregg Godfrey,,"['Producción', 'Guion', 'Dirección']",['Nitro Circus (2009)'],[]
Kislay Dutt,,['Reparto'],[],
John Byner,1938.0,"['Reparto', 'Guion', 'Banda sonora']","['Taron y el caldero mágico (1985)', 'As de plumas (1983)']",[]
Nathaniel Lee,1989.0,['Reparto'],"['Mi perro Skip (2000)', 'El crucero de los tigres (2004)', 'El arte de estrangular (2006)']",
Jung Doo-won,,['Reparto'],[],
Hallie Samuels,,['Reparto'],[],
Jarrett Galante,,"['Reparto', 'Guion']",[],
Dick,1925.0,"['Reparto', 'Producción', 'Guion']","['Mary Poppins (1964)', 'El regreso de Mary Poppins (2018)', 'El show de Dick Van Dyke (1961)']","['Academy of Science Fiction, Fantasy & Horror Films, USA', 'American Comedy Awards, USA', 'Daytime Emmy Awards', 'Primetime Emmy Awards', 'Golden Apple Awards', 'Grammy Awards', 'Laurel Awards', 'New York International Independent Film & Video Festival', 'Palm Springs International Film Festival', ""People's Choice Awards, USA"", 'Screen Actors Guild Awards', 'Television Critics Association Awards', 'Walk of Fame', 'BAFTA/LA Britannia Awards', 'Online Film & Television Association', 'The Kennedy Center Honors', 'New Mexico Film Critics']"
Fisher Stevens,1963.0,"['Reparto', 'Producción', 'Dirección']","['Cortocircuito (1986)', 'Cortocircuito 2 (1988)']","['Academy Awards, USA', 'Festróia - Tróia International Film Festival', 'Hollywood Film Awards', 'PGA Awards', 'Screen Actors Guild Awards', 'Hot Springs Documentary Film Festival', 'Cinema Eye Honors Awards, US', 'Pena de Prata']"
Wendy Arickx,,['Reparto'],[],
Sean Gullette,1968.0,"['Reparto', 'Dirección', 'Guion']","['Traitors (2013)', 'Réquiem por un sueño (2000)']","['Ft. Lauderdale International Film Festival', 'Gijón International Film Festival', 'Venice Film Festival']"
Alex Kaluzhsky,1984.0,"['Reparto', 'Edición', 'Dirección']",['Asalto al tren Pelham 1 2 3 (2009)'],[]
Margarette,1956.0,"['Agente de talentos', 'Dirección de casting', 'Producción']",[],
Mark Woolley,,"['Equipos adicionales', 'Producción']",[],
Irén Bordán,1953.0,['Reparto'],"['La deuda (2010)', 'Naplemente délben (1980)', 'Kísértet Lublón (1976)']",
Tom Connolly,,"['Reparto', 'Guion', 'Dirección']","['Perdidos (2004)', 'The Ambassador (1998)', 'Boys Night (2019)']",
Tudor Dixon,1977.0,"['Reparto', 'Guion', 'Producción']","['LexiBaby (2008)', 'Buddy BeBop vs the Living Dead (2009)']",[]
Thomas Middleditch,1982.0,"['Reparto', 'Música', 'Guion']",['Las últimas supervivientes (2015)'],['Satellite Awards']
Luke A. Walker,,"['Reparto', 'Dirección', 'Edición']",[],
Anna Maria Sturm,1982.0,['Reparto'],['Los traductores (2019)'],['German Screen Actors Awards']
Sofi Jikan,1970.0,"['Reparto', 'Guion']",['KL Gangster (2011)'],['Malaysian Film Festival']
Gloria Slade,,['Reparto'],"['Blues Brothers 2000 (1998)', 'Al límite del riesgo (1996)', 'Desafío total 2070 (1999)']",
Teodosio Barresi,,['Reparto'],[],['Taranto in Short']
Balbinka Korzeniowska,,"['Reparto', 'Dirección', 'Producción']","['Playing Through (2022)', 'Chances (2013)', 'A Change of Heart (2013)']",['Cleveland International Film Festival']
Dan Joffre,,"['Reparto', 'Guion', 'Banda sonora']",['Scary Movie (2000)'],
Annabeth Gish,1971.0,['Reparto'],"['Mystic Pizza (1988)', 'Nixon (1995)', 'Beautiful Girls (1996)']","['Rhode Island International Film Festival', 'Slamdunk Film Festival']"
Juan Carlos Castillo,,"['Diseño de producción', 'Dirección de arte', 'Diseño de vestuario']",[],
Joséphine de Meaux,1977.0,"['Reparto', 'Dirección', 'Guion']","['Intocable (2011)', 'Nos jours heureux (2006)', 'Les petits flocons (2019)']","[""Alpe d'Huez International Comedy Film Festival""]"
Akira Yamaguchi,1975.0,"['Reparto', 'Casting', 'Especialistas']","['Lost in Translation (2003)', 'Lady Joker (2004)', 'Sengoku basara 3 (2010)']",
Adrien Jolivet,1981.0,"['Reparto', 'Composición', 'Producción']","['Le rouge à levres (2013)', 'Voleurs de chevaux (2007)']",[]
Javi Ortuzar,,['Reparto'],[],
Thomas Szczepanski,,"['Dirección', 'Dirección de fotografía y cámara', 'Guion']",[],[]
Elsa Camp,,['Reparto'],[],
Nicholas Bell,1958.0,['Reparto'],['Dark City (1998)'],[]
Bathsheba Nichole Adams,,['Reparto'],[],
Vandit Bhatt,,"['Reparto', 'Dirección', 'Guion']",[],['Harlem International Film Festival']
Sonya Petrenko,,['Reparto'],[],
Roland Giraud,1942.0,['Reparto'],"['La jaula dorada (2013)', '3 solteros y un biberón (1985)', 'Ella ve enanitos por todas partes (1982)']",['CinEuphoria Awards']
Lee Schall,,['Reparto'],[],
Lisa Rinna,1963.0,"['Reparto', 'Producción', 'Guion']","['Days of Our Lives (1965)', 'Melrose Place (1992)']",['Soap Opera Digest Awards']
Harry Key,,['Reparto'],"['Dam999 (2011)', 'Dum Maaro Dum (2011)', 'Dostana (2008)']",
Alex Jordan,,['Reparto'],[],
Danny Keogh,2019.0,"['Reparto', 'Guion', 'Dirección de la segunda unidad o asistencia a dirección']","['Invictus (2009)', 'El asedio de Jadotville (2016)', 'The Salvation (2014)']",['Monaco International Film Festival']
Nathan Phillips,,"['Reparto', 'Cámara y electricidad', 'Producción']","['Serpientes en el avión (2006)', 'Wolf Creek (2005)', 'Las últimas horas (2013)']",['Sitges - Catalonian International Film Festival']
Ron Nakahara,1947.0,"['Reparto', 'Producción', 'Equipos adicionales']","['Daredevil (2015)', 'Creo que quiero a mi mujer (2007)']",
Alex Torres,,"['Guion', 'Producción']",[],
Lorenzo Ferrante,,['Reparto'],[],
Milica Majkic,,['Reparto'],[],
Zaki Rubenstein,,"['Dirección', 'Producción', 'Reparto']",['Evolver (2011)'],[]
Kamari Love,,['Reparto'],[],
Seyed Javad Hashemi,1966.0,"['Reparto', 'Dirección', 'Guion']","['Torna 2 (2019)', 'White Forehead 3 (2019)']",['Isfahan International Festival of Films for Children & Young Adults']
Judy Dickerson,1954.0,"['Equipos adicionales', 'Reparto', 'Producción']","['La fuerza del cariño (1983)', 'Contraband (2012)']",
Robert Downey Jr.,1965.0,"['Reparto', 'Producción', 'Guion']","['Iron Man (2008)', 'Iron Man 3 (2013)', 'Sherlock Holmes (2009)']","['Academy of Science Fiction, Fantasy & Horror Films, USA', 'BAFTA Awards', 'Critics Choice Awards', 'Sitges - Catalonian International Film Festival', 'Chicago International Film Festival', 'Dallas-Fort Worth Film Critics Association Awards', 'Golden Globes, USA', 'Hasty Pudding Theatricals, USA', 'Irish Film and Television Awards', 'Kansas City Film Critics Circle Awards', ""Kids' Choice Awards, USA"", 'L.A. Outfest', 'Las Vegas Film Critics Society Awards', 'London Critics Circle Film Awards', 'MTV Movie + TV Awards', 'Online Film Critics Society Awards', ""People's Choice Awards, USA"", 'San Diego Film Critics Society Awards', 'Santa Barbara International Film Festival', 'Screen Actors Guild Awards', 'ShoWest Convention, USA', 'Southeastern Film Critics Association Awards', 'Sundance Film Festival', 'Teen Choice Awards', 'Venice Film Festival', 'BAFTA/LA Britannia Awards', 'Vancouver Film Critics Circle', 'Capri, Hollywood', 'Central Ohio Film Critics Association', 'Austin Film Critics Association', 'North Texas Film Critics Association, US', 'Scream Awards', 'Iowa Film Critics Awards', 'Georgia Film Critics Association (GAFCA)', 'Utah Film Critics Association Awards', 'Online Film & Television Association', 'Golden Schmoes Awards', 'North Carolina Film Critics Association', 'Phoenix Critics Circle', 'Gold Derby Awards', 'Nevada Film Critics Society', 'Russian National Movie Awards', 'Philadelphia Film Critics Circle Awards', 'Atlanta Film Critics Circle', ""Music City Film Critics' Association Awards"", 'North Dakota Film Society', 'Chicago Indie Critics Awards (CIC)', 'San Francisco Bay Area Film Critics Circle', 'Critics Association of Central Florida Awards', 'Minnesota Film Critics Alliance Awards']"
Caroline Boisson,,['Reparto'],[],
Michele Lee,1942.0,"['Reparto', 'Dirección', 'Producción']","['California (1979)', 'Cómo triunfar sin dar golpe (1967)', 'Y entonces llegó ella (2004)']","['Soap Opera Digest Awards', 'Walk of Fame', 'TV Land Awards', 'Indie Series Awards']"
Ronnel Ricardo Parham,,"['Reparto', 'Guion', 'Producción']",[],"['Direct Monthly Online Film Festival', 'West Coast International Film Festival', 'Mindfield Film Festival Los Angeles', 'Frostbite International Film Festival', 'Oniros Film Awards', 'Mindfield Film Festival Albuquerque', 'AltFF Alternative Film Festival', 'Independent Shorts Awards', 'Royal Wolf Film Awards', 'Pinnacle Film Awards', 'Falcon International Film Festival (FIFF)', 'Los Angeles Motion Picture Festival', 'Eastern Europe International Movie Awards', 'Europe Film Festival U.K. (EFFUK)', 'FFTG Awards']"
Kiroshan Naidoo,,['Reparto'],[],
Behroz Sabz Wari,,['Reparto'],[],
Greta Grosch,,['Reparto'],[],
Bridie Connell,,"['Reparto', 'Guion', 'Guion y continuidad']",[],['ARIA Music Awards']
Bobur Uldashev,,['Reparto'],[],
DJ Lorence,,"['Reparto', 'Equipos adicionales']",[],
James Morosini,1990.0,"['Reparto', 'Dirección', 'Guion']","['I Love My Dad (2022)', 'La vida sexual de las universitarias (2021)']","['SXSW Film Festival', ""Film Club's The Lost Weekend"", 'Chicago Critics Film Festival', 'Cordillera International Film Festival']"
Diana Charles,,['Reparto'],[],
Jayne Houdyshell,1953.0,"['Reparto', 'Banda sonora']","['Solo asesinatos en el edificio (2021)', 'The Humans (2021)', 'Mujercitas (2019)']",[]
Carlos Chacón,,['Reparto'],[],
Vendula Pochylová,,['Reparto'],[],
Raimonda Skeryte,,"['Reparto', 'Cámara y electricidad']",[],
Christina Sicoli,2013.0,"['Reparto', 'Producción', 'Guion']","['Cero en conducta (1999)', 'Afterparty (2013)']","[""Canadian Filmmakers' Festival""]"
Erica Becker,,"['Reparto', 'Producción', 'Dirección de la segunda unidad o asistencia a dirección']","['The Brawler (2019)', 'The Perfect Murder (2014)']",
Antonio Bazaga,1964.0,"['Equipos adicionales', 'Reparto', 'Producción']","['Mar adentro (2004)', 'Carnages (2002)']",
Héctor Navaz,,['Reparto'],[],
Sylvie Weber,,['Reparto'],[],
