actor,año_nacimiento,que_hace,conocido_por,lista premios
Jan Strejcovský,1991.0,"['Reparto', 'Dirección', 'Producción']","['Film jako Brno (2011)', 'Maria Stock (2013)', 'Art Talent Show (2022)']",[]
Rick Pascal,,['Reparto'],[],
Sophie Desmarais,1986.0,"['Reparto', 'Banda sonora']","['Sarah préfère la course (2013)', 'Los amores imaginarios (2010)', 'The Forbidden Room (2015)']","['Buenos Aires International Festival of Independent Cinema', 'RiverRun International Film Festival', 'Vancouver Film Critics Circle', 'Toronto International Film and Video Awards']"
Jerry Habibi,,"['Reparto', 'Music Artist']",['The Persian Version (2023)'],[]
Eli Hadas,,['Reparto'],[],
Hvila Green,,['Reparto'],[],
Niels Justesen,,"['Reparto', 'Dirección', 'Guion']",[],
Rachana Dashrath,,['Reparto'],[],
Audry Gutiérrez Alea,,"['Reparto', 'Guion']",[],
Chelsea Noble,1964.0,"['Reparto', 'Equipos adicionales', 'Banda sonora']","['Desaparecidos (2000)', 'Los problemas crecen (1985)']",[]
Sebastian Weber,1976.0,['Reparto'],"['Shoppen Munich (2006)', 'Counterpart (2017)', '3096 días (2013)']",
Mathew Paul Chounlamontry,,['Reparto'],[],
Djénéba Dao,,['Reparto'],[],
Rosemary Harris,1927.0,"['Reparto', 'Banda sonora']",['Antes que el diablo sepa que has muerto (2007)'],"['Primetime Emmy Awards', 'Golden Globes, USA', 'Satellite Awards', 'Gotham Awards', 'National Board of Review, USA']"
Alex Kaluzhsky,1984.0,"['Reparto', 'Edición', 'Dirección']",['Asalto al tren Pelham 1 2 3 (2009)'],[]
Benny Casas,,"['Reparto', 'Diseño de producción']",[],
Eric Fleising,,"['Reparto', 'Producción', 'Guion']",['Burden (2022)'],[]
Julian Littman,1953.0,"['Reparto', 'Composición', 'Música']","['Evita (1996)', 'La prueba del crimen (2006)', 'Charlie y la fábrica de chocolate (2005)']",
Syaqila Afiffah Putri,,['Reparto'],[],
Meg Brogan,,['Reparto'],[],[]
Junhao Li,,"['Reparto', 'Equipos adicionales']",[],
Charles Ortiz,,"['Dirección', 'Guion', 'Producción']",[],
Irene Kugler,,['Reparto'],"['El sabor del Edén (2006)', 'Freunde (2000)']",
Jack Michel,,"['Reparto', 'Guion', 'Dirección']","['Cerulean Blue (2019)', 'All Night Gaming (2016)', 'All the Light That Never Fades (2022)']",[]
Leigh Zimmerman,1969.0,"['Reparto', 'Música', 'Banda sonora']","['La verdad oculta (2005)', 'United 93 (2006)']",[]
Nadja Hoyer-Booth,,['Reparto'],"['Grindsploitation (2016)', 'Off the Record (2010)', 'Blood Kisses (2012)']",
Ashley Hinson,,"['Transporte', 'Reparto', 'Localización']",[],
Maria Konarowska,,"['Reparto', 'Banda sonora']","['Pierwsza milosc (2004)', 'Kopciuszek (2006)', 'El juego más frío (2019)']",[]
Jennifer Edwards,1957.0,"['Reparto', 'Guion']",['El gran enredo (1986)'],[]
Miguel Ángel Farias,,['Reparto'],[],
Michaël Abiteboul,,['Reparto'],[],
Allison Irvine,,['Reparto'],[],
Jared Harris,2013.0,"['Reparto', 'Dirección', 'Equipos adicionales']",[],"['Angel Awards', 'BAFTA Awards', 'Sitges - Catalonian International Film Festival', 'Satellite Awards', 'San Diego International Film Festival', 'Screen Actors Guild Awards', 'Seattle International Film Festival', 'IGN Summer Movie Awards', 'CinEuphoria Awards', 'Online Film & Television Association', 'Behind the Voice Actors Awards', 'International Online Cinema Awards (INOCA)', 'Blogos de Oro']"
Ilyssa Fradin,,['Reparto'],"['Batman Begins (2005)', 'El asesino (2023)', 'Nación cautiva (2019)']",[]
Caroline Fernandez,,"['Edición', 'Edición']",[],
Laras,,['Reparto'],[],
Amber Benson,1977.0,"['Reparto', 'Guion', 'Dirección']","['Chance (2002)', 'Veneno en la piel (1993)', 'Latter Days (2003)']","['Sidewalk Film Festival', 'L.A. Outfest']"
Gangster,,['Efectos visuales'],[],
Rauno Juvonen,1965.0,"['Reparto', 'Arte']","['Un cuento gamberro de Navidad (2010)', 'Caza mayor (2014)', 'Lipton Cockton in the Shadows of Sodoma (1995)']",
Zainne Saleh,,['Reparto'],[],
Mehdi Amari,,['Reparto'],[],
Yvonne Niami,,['Reparto'],[],
Elise Hudson,,"['Reparto', 'Guion', 'Producción']",[],
Majed Ben Aissa,,['Reparto'],[],
Zachary Baharov,1980.0,['Reparto'],"['Slow Horses (2022)', 'Juego de tronos (2011)']",['Bulgarian Film Academy Awards']
Aspasia Alevra,,['Reparto'],[],
Moshe Abebe,,['Reparto'],['Vete y vive (2005)'],
Jill Hennessy,1968.0,"['Reparto', 'Dirección', 'Producción']","['Crossing Jordan (2001)', 'Ley y orden (1990)']","['Satellite Awards', 'Gracie Allen Awards']"
Rod Razor,,['Reparto'],[],
Carolina Caro,,"['Arte', 'Transporte']",[],
Bojan Zirovic,1971.0,['Reparto'],"['Dara of Jasenovac (2020)', 'TV teatar (1956)']",
Scott William Winters,1965.0,"['Reparto', 'Guion']","['El indomable Will Hunting (1997)', 'El escándalo de Larry Flynt (1996)', 'Jay y Bob el Silencioso contraatacan (2001)']",[]
Nighttrain Schickele,,"['Reparto', 'Composición']",[],
