,0,1,2,3,4,5,6
101,-,Mauro Blanco,Mauro Blanco,"Upon regaining consciousness, tainted with blood on her face, Katja, an FBI agent, realizes she was running for her life, after investigating a Russian spy ring. She can't trust anyone, not even the FBI. While trying to put the pieces of the past together, she's cornered into facing two powerful figures and their henchmen. Fear, betrayal and espionage become the last ... Leer todo",-,crossing shadows,2015
102,-,Van Dickranian,"['Arshag Dickranian', 'Van Dickranian']",An errand boy with unrealistic dreams gets more than what he asks for from the mob.,-,kill to live,2015
103,-,Jennifer Jordan,"['David Garver', 'Jennifer Jordan']","The Walking Shadow of Danny O'Shea In the shady and unforgiving world of International crime syndicates men are paid to kill with impunity on a whim. After years of toiling in theater as an underpaid actor, trying to please audiences by acting like someone he was not, Danny O'Shea has found salvation in the seedy underworld of Hit Men for hire. By accessing his most t... Leer todo",-,the walking shadow of danny o'shea,2015
104,5.2,"['Ryan Unicomb', 'Jordan Bailey']","['Jordan Bailey', 'Ryan Unicomb']","The rise and fall of the worlds first superhero, Guardian.",-,gifted,2015
105,-,Jacob Crumbley,Jacob Crumbley,Two young boys find themselves entangled in a notorious drug gangs' affairs after they witness a robbery gone wrong in their trailer park.,-,look twice,2015
106,-,Chris Westfield,Chris Westfield,"During a mandatory city wide evacuation, a devoted husband in a failed marriage struggles to reconcile with his estranged wife.",-,dead inside,2015
107,-,['D G Balazs'],"['D G', 'Balazs Lynn Spidell']","Have you ever gone into a store to make a purchase, only to be accosted by a Clerk that seemed to be there for no other reason than to royally screw up your day?",-,dark noir,2015
108,,,,,,vor,2015
109,-,Francisco Escobar,Paul Nandzik,"By the time the uninfected survivors of the zombie apocalypse start to rebuild their lives, their zombie foes evolve into clever and seemingly immortal enemies who not only use guns and set traps, but take slaves as well.",-,after the infection,2015
110,8.1,Akkim Lee,Akkim Lee,Simone (Sissy) is an everyday type of girl...who is learning to be a mixed martial artist. And her first full contact fight will prove to be the challenge of her life.,-,what it takes,2015
111,9.0,Yuri Alves,Yuri Alves,"Dane thought he left his demons and his drug addiction behind him, but his first day out of prison challenges both his promise to go clean and his very survival.",-,exit road,2015
112,6.5,Ray Rudy,"['W A', 'Greene William', 'A Greene', 'Gary Mc Clure']","The movie focuses on a young man named John Campbell, who sets out to uncover the truth about his missing life, and newfound abilities. Poway, CA. 1994, a young boy is reported missing; which marks the beginning of an extraordinary mystery. His father, a respected Government Scientist was reported missing less than a year prior to the disappearance of his son. The dis... Leer todo",-,animus,2015
113,-,Peter Lawton,Peter Lawton,"After the brutal murder of his clan, Kung Fu Bum sets out on a quest for vengeance. But will vengeance be enough?",-,kung fu bum,2015
114,-,Dan Liu,['Mc Kay Stewart'],"The ""Jets"" chase the ""Sharks"" over a fence and land in... a warehouse! With swords in their hands. And Deadmau5 controls them all!",-,west side swordy,2015
115,-,Joe Pavlo,"['Stuart Barr', 'Andy Mackie']","What if 'Downsizing' was taken literally? A bloody, funny, short action flick exploring that Work, not War is Hell.",-,downsizer,2015
116,-,Lanlin Wong,"['Clark Koelsch', 'Lanlin Wong']","Three Marines out on a recon mission in the Iraq desert in 2006, find themselves in a morale dilemma that leads them to a power struggle between protocol, survival, and morality.",-,domino 21,2015
117,6.7,Teddy Cecil,Teddy Cecil,One worker sparks a revolution when he attempts to break free of his dystopian underworld.,-,helio,2015
118,6.5,"['Jamie Stanton', 'Liam Tate']","['Jamie Stanton', 'Liam Tate']","Delivering justice, one innocent bystander at a time.",-,isaac and quincy,2015
119,-,Paul Amstone,Paul Amstone,"Garrick Harland has a near death experience that allows him to see ghosts. but there is just one problem, he can't help the spirits he sees. And a new visitor aims to change that.",-,seeing ghosts,2015
