puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,anio
6.1,Steen Agro,Steen Agro,"Long-suffering Czech Pavel Zeman works six jobs, so his ungrateful wife Liba can buy designer shoes and clothes. Colin Frampton is an Englishman who never stops worrying, not even on holiday in Prague. When Colin's wife is accidentally squashed by a statue, he decides that he can't face life without her. So Colin bribes Pavel to help him die. An unlikely friendship de... Leer todo",90,Comedia,shut up and shoot me,2005
5.1,Rodney Henson,Rodney Henson,"Two rebellious teens, on the run from a desert survival camp, steal the car of two naive Mormon missionaries. They end up in New Harmony, the town that's been anxiously awaiting their Mormon missionaries.",94,Comedia,suits on the loose,2005
7.1,Judd Apatow,"['Judd Apatow', 'Steve Carell']",-,116,Comedia,the 40 year old virgin,2005
5.7,Rick Rosenthal,"['Scott Sommer', 'Jacob Estes']","In the shadow of a family loss, the youngest son develops interest in an attractive high school classmate, paying little mind of her athletic boyfriend or of his own female best friend.",105,Comedia,nearing grace,2005
6.2,Michael Traeger,Michael Traeger,"Citizens of a small town, under the influence of a man in the midst of a mid-life crisis, come together to make an adult film.",96,Comedia,the moguls,2005
6.3,Jon Favreau,"['Chris Van Allsburg', 'David Koepp', 'John Kamps']",-,101,Comedia,zathura: a space adventure,2005
7.6,Gary D. Rhodes,"['Gary D. Rhodes', 'Alexander Webb']",Frank Buckley (Darryl Cox) is a college professor whose tenure is threatened by a female student. His unstable friend Milburn (Mike Waugh) talks him into an extreme solution to his problem that sends him on a surreal odyssey.,-,Comedia,wit's end,2005
6.9,"['Alejandro Fadel', 'Martín Mauregui', 'Santiago Mitre']","['Alejandro Fadel', 'Martín Mauregui', 'Santiago Mitre']","A young couple meet each other on a trip and begin a relationship, but problems arise when they move in together.",102,Comedia,el amor - primera parte,2005
7.1,Til Schweiger,"['Til Schweiger', 'Jann Preuss', 'Nika von Altenstadt']",Hedonistic bachelor Nick falls for an escaped mental patient.,118,Comedia,barfuss,2005
7.1,Tomás Vorel,Tomás Vorel,"A tragicomedy full of slapstick and vignettes, and even an unexpected shootout. A family of villagers moves up in the world - to the county seat. Dad works as a butcher at a meatpacking plant, mom is a checker at a supermarket. The daughter is at odds with her homeroom teacher, while the son - a vegetarian, anarchist, and avid pothead - is apprenticing as a butcher to... Leer todo",90,Comedia,skrítek,2005
6.8,Arie Posin,"['Zac Stanford', 'Arie Posin']",A darkly satiric story about life crumbling in the midst of a seemingly idyllic suburbia.,108,Comedia,the chumscrubber,2005
7.0,Benjamin Filipovic,"['Benjamin Filipovic', 'Fedja Isovic']",A couple of morticians entertain themselves by betting on how many cold customers will come in that day. But one of the corpses refuses to cooperate...,92,Comedia,dobro ustimani mrtvaci,2005
7.4,Duncan Tucker,Duncan Tucker,-,103,Comedia,transamerica,2005
4.1,Ákos Barnóczky,Csaba Novák,"In order to regain his lost documents, a successful but sniffy and selfish builder must associate with a kind-hearted gypsy car-mechanic. The two men must end up the prejudices against each other.",96,Comedia,szöke kóla,2005
5.7,David Kendall,"['Jon Land', 'Jonathan Thies']",-,87,Comedia,dirty deeds,2005
5.3,John Hay,"['William Johnston', 'Peter Bloore', 'Rik Carmichael']",-,100,Comedia,the truth about love,2005
7.2,Jan Svankmajer,"['Edgar Allan Poe', 'Marquis de Sade', 'Jan Svankmajer']","A man takes up residence with a mysterious marquis and is soon persuaded to enter into an asylum for preventative therapy. Things are not what they seem, and the marquis may be even more sinister than what the young man may've predicted.",118,Comedia,sílení,2005
6.4,Frank Nissen,"['Brian Hohlfeld', 'Evan Spiliotopoulos', 'A.A. Milne']",-,68,Comedia,pooh's heffalump movie,2005
