puntuacion_imdb,direccion,guion,argumento,genero,duracion,titulo,anio
-,Ciaron Davies,Ciaron Davies,"Area 51 is yet again witness to the worlds most sinister conspiracy plot when an alien Swamp monster runs amok, killing all in its wake, with a paranoid scientist, two stoned security guards and the FBI hot on its trail.",90,Comedia,it came from dimension x,2022
5.2,"['Henry Joost', 'Ariel Schulman']","['Christopher L. Yost', 'Josh Koenigsberg', 'Henry Joost']",-,104,Comedia,secret headquarters,2022
6.1,Sönke Wortmann,"['Claudius Pläging', 'Alexandre de La Patellière', 'Matthieu Delaporte']","It should have been a harmonious reunion on Lanzarote, but no sooner do the couple Stephan and Elisabeth and the new parents Thomas and Anna arrive at the family home than new quarrels break out in the Böttcher family.",87,Comedia,der nachname,2022
5.5,Analeine Cal y Mayor,"['Analeine Cal y Mayor', 'Geoff Deane', 'David Quantick']",-,106,Comedia,book of love,2022
-,"['Jojo Quiroz', 'Maricel Quiroz']",Jojo Quiroz,-,45,Comedia,sunny hills,2022
7.6,"['Igor Buharov', 'Ivan Buharov']","['Igor Buharov', 'Ivan Buharov']","The Buharovs, as the harbingers of a supra-human world, blend their instinctive cosmos with a kind of quiet poetry to lead the viewer into the Land of Warm Waters and onwards to new dimensions of storytelling.",-,Comedia,melegvizek országa,2022
6.0,Pau Durà,Pau Durà,-,82,Comedia,toscana,2022
-,-,"['Eva Casey', 'Jake Casey']",-,-,Comedia,sweetie,2022
-,Alex Willemin,Alex Willemin,"A psychedelic mushroom-infused journey to the fountain of youth for two ""mortal"" enemies.",-,Comedia,albert and claude,2022
5.1,David Moreau,"['Jean-Baptiste Andrea', 'Gael Malry', 'David Moreau']",-,105,Comedia,king,2022
3.8,Crystal Ellis,Crystal Ellis,Jewel cannot catch a break in the love department these days-she is failing in everything from her clothing design business to finding love.,-,Comedia,hanging on to love,2022
-,-,"['Danielle Hoover', 'David Monahan']",-,-,Comedia,untitled hoovahan project,2022
-,Ilya Novikov,"['Akhmetov Georgy', 'Novikov Ilya', 'Kalinin Roman']",-,-,Comedia,sokrushiteli,2022
6.8,Amar Kaushik,Niren Bhatt,-,156,Comedia,bhediya,2022
6.1,Ol Parker,"['Ol Parker', 'Daniel Pipski']",-,104,Comedia,ticket to paradise,2022
5.8,Julia Hart,"['Julia Hart', 'Jordan Horowitz', 'Jerry Spinelli']",-,105,Comedia,hollywood stargirl,2022
-,Tim Fields,"['Bradley Burkhard', 'Tim Fields']","After failing to close a 100 million dollar deal, blackballed professional gambler Tommy O'Quinn recounts his deadly narrative to a film director, angling to recoup lost profits, and reunite with his estranged family.",-,Comedia,north vegas,2022
-,Sandro Ventura,Sandro Ventura,"Carolina and Bernabé decide to separate after 15 years of marriage, just as the world faces the pandemic and social confinement. The problem is that Bernabé is a hypochondriac epidemiologist who will soon return home.",-,Comedia,prohibido salir,2022
3.9,Anika Decker,Anika Decker,-,99,Comedia,liebesdings,2022
-,Adrian Doll,"['Adrian Doll', 'Lennart Markmann']",-,100,Comedia,an ideal to die for,2022
6.2,Cesc Gay,"['Tomàs Aragay', 'Cesc Gay']",-,100,Comedia,stories not to be told,2022
-,-,-,The fascinating story of a Fernando Botero sculpture that was real one minute and gone the next .,90,Comedia,the last botero,2022
6.1,Tina Adams,Tina Adams,"Tanya's parents are Russian spies posted as a sleeper's cell to North America. With no mission, they got a lot of time in their hands. So, they spend most of it spying on their daughter.",85,Comedia,my wacko parents,2022
6.1,Mariloup Wolfe,Marie Vien,"-Approached by the Prime Minister of Quebec (Canada) to rejuvenate the image of his government, Arlette Saint-Amour becomes, overnight, Minister of Culture. She succeeds by her look and her daring in creating a real buzz around Culture.",118,Comedia,arlette,2022
4.9,Lena Dunham,Lena Dunham,-,92,Comedia,sharp stick,2022
4.1,Tuukka Temonen,Tuukka Temonen,"A Finnish farming family struggles to make ends meet. With the promise of an end to their financial strife, they switch crops to a field of cannabis. But their problems have only begun.",106,Comedia,pohjolan satoa,2022
