,puntuacion_imdb,direccion,guion,argumento,duracion,titulo,anio;;;;;
46,6.3,Thaddeus O'Sullivan,Gerard Stembridge,-,93,ordinary decent criminal,2000;;;;;
47,6.0,Lisa Abbatiello,Lisa Abbatiello,A young woman is looking for her Prince Charming and a career in Manhattan when she realizes that maybe happily ever after isn't just about escaping suburban New Jersey.,88,killing cinderella,2000;;;;;
"48,7.6,Christina Post,Christina Post,""GABBY retreats to her New Jersey hometown. It's not what she expected. Her frustrated friends, frenzied family and new love aren't quite the stress-release she was looking for."",-,open return,2000";;;;;
"49,5.9,Michel Spinosa,Michel Spinosa,""Summer 1969 on the Mediterranean coast. Paul and Vincent are childhood buddies. On a beach one day, they meet Alice and her friend Eve. After a series of memorable adventures, couples fall into place but not quite in the right order. Alice blossoms elsewhere, Paul marries Eve and Vincent weds Marie. The 70s are in full swing. Thanks to the pill, women's lives change r... Leer todo"",88,la parenthèse enchantée,2000";;;;;
"50,4.8,Diane Keaton,""['Delia Ephron', 'Nora Ephron']"",-,94,hanging up,2000";;;;;
"51,5.3,Jon Dichter,Jon Dichter,""A telephone operator takes revenge an a rude customer by ruining his credit rating, his reputation, and his marriage."",102,the operator,2000";;;;;
"52,4.9,Alan Rudolph,""['Alan Rudolph', 'John Binder']"",""An eccentric, unconventional woman whose naive aspirations to rise from her job as a security guard to full-fledged private eye lead her into a tangled PL: mess."",116,trixie,2000";;;;;
"53,6.4,Gene Cajayon,""['Gene Cajayon', 'John Manal Castro']"",A young man struggles with his desire to study art when his family thinks he's headed for premedical studies. Conflicts between Filipino traditions and expectations vs. personal dreams in the contemporary world erupt at his sister's debut.,94,the debut,2000";;;;;
"54,4.7,""['Mitch Marcus', 'John Blush']"",Dave Payne,-,92,big monster on campus,2000";;;;;
"55,7.0,Tor Ramsey,Tor Ramsey,""A cornucopia of unusual characters are sprinkled throughout this Middle-American community in which the characters are constantly encountering the stuff of urban legends and myths. This dark comedy examines the stereotypes in society through misconceptions and misunderstandings as the stories begin to ravel into each other, eventually explaining each other."",109,urban mythology,2000";;;;;
"56,5.6,Lynn Hamrick,""['Susanne Santoro Whayne', 'Monty Mickelson']"",""Two teenage detectives, who started off finding lost kittens, begin searching for a missing high-school senior."",88,finding kelly,2000";;;;;
57,4.8,Irene Turner,Amanda L. Beall,Grace and her roommate Casey don't get along. Grace is in a happy relationship with Charlie and they are planning to get married soon and that frustrated Casey because she thinks Grace just has everything. As the time goes by their relationships will get more complicated and nothing will be as it seemed...,101,the girls' room,2000;;;;;
58,6.2,Gabriel Auer,Gabriel Auer,-,84,le birdwatcher,2000;;;;;
59,7.8,Ty Bradford,-,A struggling writer is torn between the girl he loves and the horror movie he is living.,89,screenland drive,2000;;;;;
"60,7.1,Günter Knarr,""['Günter Knarr', 'Philipp Weinges']"",-,90,holgi,2000";;;;;
61,7.1,Sally Kirkland,Robert W. Filion,-,-,the boys behind the desk,2000;;;;;
"62,5.5,Laura Belli,""['Laura Belli', 'Laura Betti']"",-,92,film,2000";;;;;
"63,4.4,Jeremy Wagener,Jeremy Wagener,""Just as a man discovers that the girl of his dreams has been with him all the time, she walks out the door."",93,""chicks, man"",2000";;;;;
"64,6.0,""['Stefan Fjeldmark', 'Greg Manwaring', 'Michael Donovan']"",""['Tracy J. Brown', 'Stefan Fjeldmark', 'Karsten Kiilerich']"",""Three children accidentally get turned into fish after drinking a potion made by an eccentric scientist. When the kids end up in the sea, they must find the antidote within 48 hours or remain as fish forever."",80,hjælp! jeg er en fisk,2000";;;;;
65,5.6,Scott Wiper,Scott Wiper,A Chicago cop quits the force and finds himself threatened by the Mafia.,101,a better way to die,2000;;;;;
"66,7.0,Iva Svarcová,Iva Svarcová,""1969, the first winter after the violent end of the Spring of Prague: 13-year-old Hannah and her crazy young parents land as though on a completely different planet in the German economic wonderland."",90,ab ins paradies,2000";;;;;
"67,6.3,Ron Howard,""['Dr. Seuss', 'Jeffrey Price', 'Peter S. Seaman']"",-,104,dr. seuss' how the grinch stole christmas,2000";;;;;
68,6.4,Edward Norton,Stuart Blumberg,-,128,keeping the faith,2000;;;;;
"69,5.6,Roberta Torre,""['Franco Maresco', 'Francesco Suriano', 'Roberta Torre']"",-,-,sud side stori,2000";;;;;
