,0,1,2,3,4,5,6
1344,9.3,Robert L. Camina,"['Robert L. Camina', 'Katherine Connella', 'Steven Jay Crabtree']","""Martini the Movie"" is an original comedy musical about Martini Glass, the legendary actress of Hollywood's Golden Age. Set in the present, the story follows Martini as she prepares to audition for the comeback role of a lifetime. Along the way, with cocktail in hand, she dishes the Tinseltown dirt with a flourish. With her fame fading, she is left to question whether... Leer todo",19,martini the movie,martini the movie
1345,8.2,Jennifer Sanett,Jennifer Sanett,"Best friends Amber and Katie are the popular girls in their high school, and they have to survive attack from zombies whose only weakness is music - when it plays, they cannot fight the urge to dance. With the help of the school nerd and Amber's crush, the four formulate a plan to capture the zombies' summoner, and get rid of the zombies for good.",13,attack at zombie high!,attack at zombie high!
1346,8.2,Jonathan Emmerling,Jonathan Emmerling,-,16,the funeral,the funeral
1347,-,Lagueria Davis,Lagueria Davis,"Bradley Cooper just wants to be 'normal'. With the help of the book Help Your Self and the support of his wife he learns about the power of positive thinking, and the power of not so positive thinking. Bradley soon discovers that being 'normal' comes at a price. Unfortunately, for Bradley it's a price he can't afford, but boy will he pay for it!",35,help yourself,help yourself
1348,8.6,Harry Frishberg,"['Chad Mathews', 'Gary Weeks']",-,-,clones gone wild,clones gone wild
1349,-,Josh Slater,Brandy Berry,-,8,cock block,cock block
1350,8.6,Peter Besson,Peter Besson,"Last night, Rhett Somers met the love of his life. Now all he has to do is convince her that she's the one. Not an easy feat considering how they met.",10,true beauty this night,true beauty this night
1351,-,Stephanie Zari,Stephanie Zari,"Hope turns to despair when a successful yet lonely woman is bombarded throughout the day of what she doesn't have, propelling her into secret acts, desperate thoughts and hard truths, magnifying her loneliness in a city full of lonely people.",15,faith alone,faith alone
1352,-,Steven Ameche,Steven Ameche,-,12,the ad,the ad
1353,6.6,Shanra Kehl,"['Shanra Kehl', 'Mark La', 'Fleur']","William: a Los Angeles stud, Jimmy: a fun-loving Miami boy and Farrell: a hard-working Kansas man all reached an important moment in their lives...Manscaping. Each man chooses the best option for himself as they embark on a journey towards genital hairlessness. The road is wrought with danger, embarrassment and pain. As these three men look down and see who they are u... Leer todo",17,manscaping,manscaping
1354,-,Nathan Morse,Nathan Morse,A classic tale of the struggle of power to escape seemingly preordained roles and the fragile reality of an existential being.,7,becoming roman,becoming roman
1355,-,Christy Chan,Christy Chan,-,10,wash n' fold,wash n' fold
1356,-,Eric Wobma,Eric Wobma,"A man in a suit calmly tries to solve a crosswords puzzle while enjoying public transportation. He almost dozes of, when the next station is due.",5,intermezzo,intermezzo
1357,9.3,George Westberg,George Westberg,"Eric is always late for everything, including his job and dates with his apathetic girlfriend, and he stands on the brink of losing them both. When he misses the bus yet again, he discovers a pen that allows him to travel back in time, allowing him to get his life back on track. But something goes terribly wrong.",20,time keeps on skippin',time keeps on skippin'
1358,-,Yoshitsugu Sagami,"['Yoshitsugu Sagami', 'Kyosuke Usuta']",-,19,eto,eto
1359,7.2,Frank Feldman,"['Frank Feldman', 'Chris Lemon', 'David Luna']","Vapid Lovelies follows a pair of young gay men on their quest for the perfect Sundance outfit. Self-proclaimed fashion designers Skyler and PJ, armed with thread, bobbin, hyperactive imaginations and massively inflated egos, attack life (and their straight neighbor) with fierce ferociousness and ferocious fierceness.",20,vapid lovelies,vapid lovelies
