puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,anio
6.9,-,-,"820 years ago, Mujaka, the lord of werewolves finally visits Raizel after a long journey. But the werewolf Maduk interferes in a war of human plotting some scheme.",37,Accion,noblesse: the beginning of destruction,2015
-,Franklin Carpio,Franklin Carpio,"A government agent goes to sell a mysterious package to the Russian Mob, when things suddenly take a turn for the worse.",-,Accion,breathe,2015
-,Laurent Bouzereau,Colin Trevorrow,-,-,Accion,ingen innovations,2015
-,Connor White,Connor White,"With Jon Black in a coma, after being shot for saving her life as a child, Agent Val Calloway goes on a mission to find a missing H-Bomb stolen by the same man that had once kidnapped her, Vinny The Butcher Van Cleef.",19,Accion,swag royale,2015
-,Amir Ovadia Steklov,"['Avner Cohen', 'Amir Ovadia Steklov']",A poor teenager is trying to get some money to fuel his fathers addiction to gambling by selling lighters. His journey to the Jerusalem Market will shock him and will led him to revenge his father.,4,Accion,hmudi,2015
-,Gugun Arief,Gugun Arief,"Knowing that his daughter was taken as hostage by an unidentified group, SUBROTO was panic. The group knows the exact amount of money SUBROTO had illegally taken. They ask some money in exactly the same amount as he had taken. In that critical time, GARDA, one of the hostage-takers betrays his group. He plans to help SUBROTO's daughter to escape. But GARDA is asking S... Leer todo",26,Accion,sandera,2015
-,Smith Co,Smith Co,-,-,Accion,all da videos,2015
-,"['Séby Ez', 'Max Jones']","['Steve Ditko', 'Max Jones']",-,20,Accion,avenging spider-man,2015
-,Taj L. Cooper,Sachiko Ishida,"While working late, a young woman on her lunch break encounters strange and bizarre circumstances to fight for her life.",9,Accion,aya's mirage,2015
-,Luke Schuelke,Luke Schuelke,What happens when you get a new roommate who is never around and then all of a sudden appears with daunting news? 'We are going to DIE!!!'. Do you believe him? Should the roommates believe him? They better because their roommate got himself in trouble with some unforgiving characters that are coming to the house to seek revenge for who knows 'WHAT?'.,13,Accion,what?,2015
-,Roane Borger,-,Trailer for a film to never come out; detectives fight an urban legend,1,Accion,blood,2015
-,Yoni Segal,"['Nadav Avny', 'Yoni Segal']",-,7,Accion,2121,2015
-,Hannah Beadman,-,-,-,Accion,at the center of the world,2015
-,Shigehito Kawada,-,"Bell and Aida are scouting the zone around Towasanga, when they're attacked by Mask Squad. Mask is piloting a new unit, a pitch black Phenex.",9,Accion,gundam g no reconguista from the past to the future,2015
-,Ariel Luque,Ariel Luque,Brunella and Abril try to escape the husband of the woman they murdered. But the thirst for revenge is quenched with blood,-,Accion,dropin (no matarás),2015
-,Tripp Pickell,-,-,-,Accion,dark cover,2015
-,"['David Mc', 'Cracken']","['David Mc', 'Cracken']","Robert Oppenheimer, the real-life creator of the atomic bomb, travels back in time to prevent himself from detonating it.",7,Accion,i am become death,2015
-,Joshua Durham,"['Joshua Durham', 'John Patrick Hayden']",An aspiring boxer must face the shadows that haunt him before he can step inside the ring.,35,Accion,shadowboxing,2015
-,Harrell D Williams Sr.Harrell Williams,Harrell D Williams Sr.Harrell Williams,"A young man is hit with the realization that his father is going to remarry a woman who is all wrong for him. He then goes into panic mode, carrying out a dangerous deadly plan to get rid of her.",28,Accion,they lost it,2015
-,"['Stoyan Nikolaev', 'Rumen Pavlov']","['Stoyan Nikolaev', 'Rumen Pavlov']",Occupational safety manual.,3,Accion,such appetite,2015
-,Kevin Bertazzon,Kevin Bertazzon,"Due to an insult, Tsuki must battle Master Kobatzu to the death - if they can stop insulting each other first.",6,Accion,honor,2015
-,John Wyatt Dossey,John Wyatt Dossey,A young woman is attacked while Christmas shopping and a bystander comes to her aid.,5,Accion,altruist,2015
-,Francesco Bovinò,Francesco Bovinò,Professionals criminals are hired by a mysterious organization which considers a duty to put remedy on worldwide corruption and economic decay using extreme measures. The selected group of criminal's task is to eliminate supporters of illegality with the intent to re enter new liquidity of money into market and give oxygen to the international economic system.,6,Accion,"murder, inc. - pilot",2015
-,Matt Hoyt,Matt Hoyt,"A comedic saga that follows Preston, a disenfranchised Southern Californian, who accepts a job manning a landfill in Antarctica to finish writing his novel free from distractions. Preston soon realizes that life on the icy continent is anything but peaceful and desolate, as Dougie and Knosh guide him through his first days on the job. Written & Directed by Matt Hoyt(T... Leer todo",25,Accion,antarctic... huh?,2015
7.1,Gary H. Lee,Gary H. Lee,"A powerful multi-national corporation, Aden, must deploy a bounty hunter in order to stop an unseen creature forged from a child's imagination.",10,Accion,aden,2015
8.0,"['Reed Clare', 'Mike Donis']",Reed Clare,"It is 50 B.C. A Roman invasion of Celtic lands hangs on the knife's edge of success as the chieftain Ambiorix (REED CLARE) wages war against the Roman general Eydis. A deadly battlefield blow costs Ambiorix the life of his son, Conall, resulting in the unceasing deterioration of his soul and sanity. In his dying moments he is haunted and fractured as he relives the ep... Leer todo",14,Accion,valor's dawn,2015
-,Sean Lawless,Sean Lawless,An FBI agent investigates a possible mole leaking out classified information from a Federal Bank.,13,Accion,compromise,2015
7.4,Fabien Martorell,"['Fabien Martorell', 'Michael Marshall Smith']","Two men meet in a park. It's Christmas Eve. Kane is an assassin, on his way to do a job that means more to him than the usual killings he is paid to do. This time it's personal.",16,Accion,unbelief,2015
-,Rod Johns,"['Rod Johns', 'Tonci Pivac']",A journalist has been targeted for assassination by an underground organization. The hit woman has a sudden dose of conscience and decides to help him instead.,15,Accion,moral prerogative,2015
-,Danny Miguel,Danny Miguel,An Ex-federal agent withholds information during a criminal search.,25,Accion,discredit,2015
-,Daniel Shojaei,"['Robin Barker', 'Daniel Shojaei']",-,-,Accion,breaking the law,2015
6.8,Gregg Meller,Gregg Meller,"Shot and left for dead by the commune of murderers and thieves who raised him, an 18-year-old pure-bred killer must trek across the lawless desert waste to exact his revenge and rid the world of their evil.",22,Accion,a killer of men,2015
-,Gil O'Brien,Gil O'Brien,The Final Table is being robbed.,9,Accion,the final table,2015
-,Pavan Sharma,"['Pavan Sharma', 'Pranav Sharma']","The witnesses to a horrific high school shooting, sweethearts Jen and Ted are both on the run after having robbed a bank. As they escape the city it becomes obvious that not everything is fine in this perfect love story.",12,Accion,in the pin we trust,2015
5.3,Bryn Pryor,Bryn Pryor,"Cowboys & Engines is a steampunk western short that stars Richard Hatch (Battlestar: Galactica) and Libby Letlow (Masked Rider). Set in an alternate 1876, Cowboys & Engines follows Cade Ballard, the former Texan ambassador, as he encounters Guinivere Wheeler, a sexy gunslinger and con artist.",7,Accion,cowboys & engines,2015
