puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,id_pelicula
38,5.3,Charley Stadler,"['Thomas Geiger', 'Adam Kreutner', 'David Mitchell']","Traitors, killers and lovers collide in London.",98,Accion,dead fish,tt0379240
35,4.5,David van Eyssen,"['Louis Morneau', 'Phillip Badger']",A scientist goes to a bank to meet a pretty bank-teller. His time-machine allows him to go 10 minutes back in time and correct his approaches to her. He's shadowed by 2 FBI agents and the bank gets robbed.,89,Accion,slipstream,tt0381601
,6.1,Tim Oliehoek,"['Anders Thomas Jensen', 'Wijo Koek', 'Jean-Claude Van Rijckeghem']","Bennie, a clumsy criminal who's touchy about his weight, teams up with his adoptive father's biological (serial killer) son, his employees who in his absence turned his snack-bar into a quiche bakery, a suicidal manic-depressive woman and a Yougoslavian who keeps blowing things up unintended. They need to get 300000 Euro to get Bennies father a new liver. Complicating... Leer todo",88,Accion,vet hard,tt0382365
,6.6,Dominique Deruddere,"['Jean Van Hamme', 'Dominique Deruddere', 'Hermann Huppen']","Screaming, shooting, tears and blood changes the party into a nightmare.",92,Accion,die bluthochzeit,tt0382572
11,2.7,Michael J. Heagle,"['Matt Saari', 'Michael J. Heagle']","A spaghetti western in science fiction clothing. Competing female bounty hunters track down the ultimate treasure on a planet wracked with turmoil. A drug named psylenol has hit the streets, stolen from a secret military program and reconditioned to be an over-the-counter psychedelic. When the general populace starts developing telekinetic powers, the corrupt governme... Leer todo",90,Accion,planetfall,tt0382910
4,3.0,Uwe Boll,Guinevere Turner,-,95,Accion,bloodrayne,tt0383222
,5.1,Rob Cohen,W.D. Richter,-,121,Accion,stealth,tt0382992
,5.1,John Pasquin,"['Marc Lawrence', 'Katie Ford', 'Caryn Lucas']",-,115,Accion,miss congeniality 2: armed & fabulous,tt0385307
28,3.7,Jim Wynorski,"['Jim Wynorski', 'William Langlois', 'Paul A. Birkett']",-,88,Accion,crash landing,tt0385622
,7.2,"['Tetsuya Nomura', 'Takeshi Nozue']","['Kazushige Nojima', 'Brian Gray', 'Yoshinori Kitase']",-,101,Accion,fainaru fantajî sebun adobento chirudoren,tt0385700
60,7.3,Dana Brown,Dana Brown,"A documentary on the Baja 1000, an annual off-road race held in Baja, Mexico that attracts hundreds of racers, their souped-up machines, and thousands of fans.",97,Accion,dust to glory,tt0386423
22,2.4,Ric Moxley,"['Sean Atkins', 'Cauri Jaye', 'Sam Crystal']","A band of mercenaries overtake the city's largest museum to steal its most prized possession, ""The Star of Nefertiti."" However, they didn't expect a notorious jewel thief to be there for the same job.",87,Accion,the vault,tt0386846
28,5.9,Martin Campbell,"['Roberto Orci', 'Alex Kurtzman', 'Ted Elliott']",-,129,Accion,the legend of zorro,tt0386140
40,5.9,Vincent Ward,"['Vincent Ward', 'Toa Fraser', 'Kely Lyons']",An intimate story set during the 1860s in which a young Irish woman Sarah and her family find themselves on both sides of the turbulent wars between British and Maori during the British colonization of New Zealand.,114,Accion,river queen,tt0388377
52,6.3,Louis Leterrier,"['Luc Besson', 'Robert Mark Kamen']",-,87,Accion,transporter 2,tt0388482
