,titulo,anio,puntuacion_rotten
848,Outside,2021,
849,Nebesa,2021,
850,The Justice of Bunny King,2021,95
851,Toofaan,2021,50
852,The Taste of You,2021,
853,Les oiseaux ivres,2021,
854,Los Angeles,2021,
855,Untitled Ground Breaking Feature,2021,
856,El Rey de la Fiesta,2021,
857,Miles Away,2021,
858,Aangal Jaakirathai,2021,
859,Plavi cvijet,2021,
860,Barah by Barah,2021,
861,A Hard Problem,2021,
862,Collision Course,2021,-
863,Destrucción Total de la Existencia,2021,
864,Dante's Heaven,2021,
865,Nebenan,2021,
866,Un monde,2021,
867,De son vivant,2021,
868,Rendir los machos,2021,
869,Nije lose biti covek,2021,
870,Tribhanga,2021,
871,Plantados,2021,
872,O Novelo,2021,
873,The Bewailing,2021,
874,Broken Keys,2021,
875,À l'ombre des hommes de sa vie,2021,
876,They/Them/Us,2021,80
877,Blue Bayou,2021,75
878,Swans,2021,
879,I Don't Wanna Dance,2021,
880,Boiling Point,2021,99
881,Everything in the End,2021,
882,Well Done Baby,2021,
883,Fino ad essere felici,2021,
884,The Novice,2021,93
885,YOUTH TOPIA,2021,
886,Azor,2021,
887,Pagglait,2021,71
888,Sarbath,2021,
889,Kasada Thapara,2021,-
890,Kombu Vatcha Singamda,2021,
891,Broadcast Signal Intrusion,2021,67
892,Governance,2021,
893,The Ravine,2021,
894,Fly,2021,
895,Angel Mountain,2021,
896,On the Count of Three,2021,85
897,Orangutan,2021,
898,Apocalypse A-Go-Go,2021,
899,The Drover's Wife,2021,
900,North Hollywood,2021,78
901,She Watches from the Woods,2021,
902,Matriarch,2021,85
903,De l'autre côté du mur,2021,
904,The Winter House,2021,100
905,Yaar Anmulle Returns,2021,
906,Qismat 2,2021,
907,The Final Code,2021,
908,Poser,2021,83
909,All Who Loved Her,2021,
910,Soul Pursuit,2021,84
911,Smagen af sult,2021,
912,Nobody Has to Know,2021,83
913,Red,2021,
914,Bitter Taste of Ginger,2021,
915,The Card Counter,2021,87
916,Bu Lao Qi Shi,2021,
917,Pagten,2021,
918,The Test,2021,
919,10 Songs for Charity,2021,-
920,Azizler,2021,
921,The Gardener,2021,0
922,Sardar Ka Grandson,2021,
923,House of Gucci,2021,61
924,A1 Express,2021,
925,Hanataba mitaina koi wo shita,2021,
926,When the Sky Fell,2021,
927,The Voyeurs,2021,
928,Tel Aviv,2021,
929,The Unforgivable,2021,39
930,Peace by Chocolate,2021,86
931,Zahorí,2021,
932,Superhero,2021,
933,COVID-21: Lethal Virus,2021,30
