,puntuacion_imdb,direccion,guion,argumento,duracion,titulo, anio
42,,,,,,high fidelity,2000
43,4.7,-,-,Reparto principal,-,the legend of bagger vance,2000
44,,,,,,looking for an echo,2000
45,,,,,,all the pretty horses,2000
46,,,,,,where the money is,2000
47,6.1,Mansoor Khan,"['Aatish Kapadia', 'Mansoor Khan', 'Nidhi Tuli']","Max, who lives with his twin sister Shirley in Goa, is enraged when he finds out that she has fallen in love with Rahul, his bitter rival Prakash's younger brother.",162,josh,2000
48,4.0,"['L P', 'Brown I', 'I I', 'John Sjogren']","['L P', 'Brown I', 'I I']",Jack (an ex P.I.) steals a briefcase from local mobsters. A stripper joins him on the run. Other local mob groups are also interested in the contents of the briefcase.,84,the thief & the stripper,2000
49,7.2,Francis Delia,"['Francis Delia', 'Norman Mailer']","A thirty-something Irish-American former matador teaches a bull-fighting class in Greenwich Village. After the sexual conquest of a number of his female students, he meets his match in a 19-year-old co-ed.",93,time of her time,2000
50,,,,,,up at the villa,2000
51,,,,,,a good baby,2000
52,6.1,Peter Filardi,"['Peter Filardi', 'David St Clair']","Based on the true story of drugs, satanism, and murder in the upper class town of Northport, Long Island in 1984.",111,ricky 6,2000
53,,,,,,i'll remember april,2000
54,4.8,Adele Bertei,James Campbell,"After a rich woman dies, her friends and relatives meet at her mansion to await the reading of her will. Over the evening, many of them hook up and have a passionate night together, including the maid. But someone's watching them.",99,secrets of a chambermaid,2000
55,4.8,Glenn Klinker,Glenn Klinker,"A deranged street person has flashes of sanity, and his outrage at, and disgust for, the nightly news body count inspires him to vanquish not only his inner demons, but also the very real ones that are preying, unchecked upon the innocent.",90,yup yup man,2000
56,,,,,,the next best thing,2000
57,5.4,Ron Krauss,"['Oona Croese', 'Ron Krauss', 'Mario Zavala']",Kids go to a rave and not all of them make it home the next day.,85,rave,2000
58,8.4,Al Leong,Al Leong,-,-,daddy tell me a story...,2000
59,,,,,,my dog skip,2000
60,5.9,John Forte,John Forte,A Catholic high-school student trying to perfect his soccer timing by practicing dance falls in love with his dance partner.,92,mad about mambo,2000
61,,,,,,trolösa,2000
62,5.9,Pat Murphy,"['Brenda Maddox', 'Pat Murphy', 'Gerard Stembridge']","Dublin, 1904, James Joyce chats up Nora Barnacle, a hotel maid recently come from Galway. She enchants him with her frank, uninhibited manner, and before long, he's convinced her to come with him to Trieste.",-,nora,2000
63,7.3,['Christopher Robin Hood'],['Christopher Robin Hood'],"Rob's successful life is interrupted when he crosses paths with smart beautiful Leslie. After being suddenly and mistakenly arrested, Rob begins a city-wide search for the woman of his dreams unsure of her last name or where to find her.",90,coping,2000
64,5.7,-,-,Life story of John Lennon.,-,lennon,2000
65,5.5,['Aage Rais Nordentoft'],"['Jens Dahl', 'Aage Rais Nordentoft']","A Sergeant in the UN peacekeeping force in Bosnia charges money to take some gun toting civilians on a guided tour to shoot some real Serbs 'for the excitement of it'. Fatal events unfold, revealing the starkness of war and armed strife.",93,på fremmed mark,2000
66,,,,,,luckytown,2000
67,,,,,,more dogs than bones,2000
68,6.3,Aleksandr Zeldovich,"['Vladimir Sorokin', 'Aleksandr Zeldovich']","The film centres on Mike, a businessman in decidedly the new Russian mould. When Mike gets stung on a deal, his suspicions immediately fall on Lev, who receives the customary torture to make him reveal where the money has gone.",139,moskva,2000
69,5.5,Martin Schenk,Martin Schenk,Four teenagers pull a prank that goes awry.,88,blast,2000
70,,,,,,passion of mind,2000
71,,,,,,four dogs playing poker,2000
72,,,,,,takedown,2000
73,,,,,,steal this movie,2000
74,6.6,António Ferreira,António Ferreira,"What stops two people from being together? A third one. What stops one person from fighting for another? Nothing. Pedro lives in the suburbs, where he works with his father in a garage. Everyday he takes the bus downtown where he goes to school and meets his friends. It's summertime and they all go down to the river where they spend their free time or even their schoo... Leer todo",45,respirar (debaixo d'água),2000
75,-,Robert Benjamin,Robert Benjamin,"A young successful businessman catches his wife in bed with another man. This is the last thing he expected to happen in his life. He quits his job, looses everything and starts drinking. He finds love in the arms of a young waitress who teaches him to trust people and to live again.",26,lost souls,2000
76,,,,,,rules of engagement,2000
77,7.9,Carl Kress,Steve Withem,"A once devoted family man, who has fallen into the depths of alcoholism and homelessness after a tragic accident took the life of a daughter, longs for the day that he may somehow reunite with his only living daughter.",105,the redemption,2000
78,6.1,Tag Purvis,Tag Purvis,"Red Dirt offers the story of a young man's search to belong in this sublime expression of love and reconciliation. At only twenty, Griffith is struggling with the responsibilities of caring for his unwell aunt, grieving the loss of their family's matriarch, and his own dreams of leaving Pine Apple. With the arrival of a stranger, Griffith's carefully constructed walls... Leer todo",110,red dirt,2000
79,5.1,Rel Dowdell,Rel Dowdell,What started out as an innocent night of fun and games with upperclassmen and younger freshman college women turns into lies betrayal and an ultimate journey on the train ride,93,train ride,2000
80,5.7,['Dan Mc Cormack'],['Dan Mc Cormack'],"This stylized turn-of-the-millennium thriller follows troubled couple Phil and Anna, each suspecting the other of infidelity, as they try to keep their paranoia and distrust from further fracturing the strange world around them.",104,other voices,2000
81,,,,,,cast away,2000
82,,,,,,what lies beneath,2000
83,,,,,,hanging up,2000
84,,,,,,the operator,2000
85,5.8,Mariano Barroso,"['Mariano Barroso', 'Luis Mar', 'Joaqu Notario']",-,-,kasbah,2000
86,8.3,Stephen Erickson,Stephen Erickson,"A heart-hardened son returns home to keep a promise to his dying father, a master stonecutter. This story touches a universal chord as it explores the passing on of an artistic legacy in spite of the dark shadows of an unresolved past.",95,the stonecutter,2000
87,,,,,,under suspicion,2000
88,,,,,,bless the child,2000
89,4.6,Mary Lambert,"['Mark Gibson', 'Philip Halprin']","A mentally disturbed young woman takes a job at a posh country club and falls in with a clique of wealthy college kids where she's taken under the wing of the clique's twisted leader, who harbors some dark secrets too terrifying to tell.",-,the in crowd,2000
90,,,,,,the beach,2000
91,,,,,,the debut,2000
92,,,,,,across the line,2000
93,,,,,,doomsday man,2000
94,3.2,Rafael Eisenman,"['Zalman King', 'Elise D Haene']","Gabe, a photographer, his assistant, Annie, and his boss hire a ship to take them out to sea on a modeling shoot. What Gabe doesn't know is that an old friend-turned-enemy of his has indirectly lured him into the situation, and the models that were hired locally are skilled weapons handlers and dealers. The ship is on its way to meet a South African submarine to whom ... Leer todo",85,black sea 213,2000
95,,,,,,when the sky falls,2000
96,,,,,,the giving tree,2000
97,,,,,,the girls' room,2000
98,7.1,['Hans Petter Moland'],"['Hans Petter', 'Moland Kristin', 'Amundsen Lars', 'Bill Lundholm']","A mom dying in Aberdeen, Scotland, asks her coke snorting, nympho, London lawyer daughter to get her estranged, alcoholic dad in Oslo, Norway, to Aberdeen. He's drunk at the airport, so they travel together by car and ferry.",113,aberdeen,2000
99,,,,,,dancer in the dark,2000
100,6.2,Gabriel Auer,Gabriel Auer,-,84,le birdwatcher,2000
101,,,,,,i dreamed of africa,2000
102,6.6,Aleksandr Proshkin,"['Alexander Pushkin', 'Galina Arbuzova', 'Stanislav Govorukhin']",A historical drama based on the novel of the same name.,130,russkiy bunt,2000
103,,,,,,tick tock,2000
104,5.3,Greg Morgan,['Robert David Cochrane'],"A gritty tale of how the game of life plays out in Inglewood, California. When a pickup basketball game turns deadly, Reggie seeks revenge as he tracks down his best friend's killers. When Reggie locates who he believes are the perpetrators, everyone around wants to ensure the matter is handled fairly and without any additional bloodshed.",97,the playaz court,2000
105,,,,,,perfumed garden: tales of the kama sutra,2000
106,,,,,,hjælp! jeg er en fisk,2000
107,,,,,,a better way to die,2000
108,,,,,,dark summer,2000
109,-,Patrick Mark,-,-,-,keeping the faith,2000
110,6.3,"['Campbell Scott', 'Eric Simonson']","['William Shakespeare', 'Eric Simonson']","The classic Shakespeare tragedy is revisioned in America at the turn of the 20th Century. Campbell Scott (Singles, The Spanish Prisoner) adapted, co-directed and stars in the title role with Tony Award winner Blair Brown (Copenhagen) as his mother Gertrude.",178,hamlet,2000
111,,,,,,prince of central park,2000
112,6.9,Joel Schumacher,"['Ross Klavan', 'Michael Mc Gruther']",-,-,tigerland,2000
113,,,,,,gladiator,2000
114,6.5,Darren Walsh,"['Mike Cooper', 'Ian Dagger', 'Darren Walsh']",Kid's arm bone is sticking out and the dog is trying to pull it out!,1,bone,2000
115,,,,,,nurse betty,2000
116,9.0,"['Donald Borza', 'I I']","['Donald Borza', 'I I']","Veteran WWII fighter pilot, Joe Sarnowski, reflects back on his service as an American fighter ace. His pained memories of both love and war are told in the classic WWII movie tradition with a very unique and bold style.",100,the thundering 8th,2000
117,9.0,"['Donald Borza', 'I I']","['Donald Borza', 'I I']","Veteran WWII fighter pilot, Joe Sarnowski, reflects back on his service as an American fighter ace. His pained memories of both love and war are told in the classic WWII movie tradition with a very unique and bold style.",100,labor pains,2000
118,,,,,,joe gould's secret,2000
119,,,,,,l.a.,2000
120,6.3,Tony Barbieri,Tony Barbieri,"A 10-year-old boy shares an intense bond with his mentally ill mother. The youth's life is turned upside down when his mother lapses into violent psychosis. A former psychiatrist takes pity on, and then custody of, the child.",100,the magic of marciano,2000
121,,,,,,"6,000 miles from hollywood",2000
122,6.4,['Mohamed Rachid Benhadj'],['Mohamed Rachid Benhadj'],-,107,mirka,2000
123,,,,,,autumn in new york,2000
124,6.5,Gil Brenton,Gil Brenton,A beautiful woman comes between a father and son.,79,just for the time being,2000
125,5.5,-,Ben Coltrane,An abused wife (Kate Walker) convinces her psychiatrist (Kirk Westwood) to kill her wealthy husband (Peter Maxtone-Graham).,-,hangman,2000
126,6.9,"['Jimmy Bridges', 'Todd Bridges']","['Jimmy Bridges', 'Todd Bridges']","A short film about the rise, fall and rise of child star Todd Bridges (Arnold (1978)).",45,building bridges,2000
127,4.8,Colin Nutley,Colin Nutley,A day in the life of ten Swedish actresses up for the same big Hollywood movie role.,134,gossip,2000
128,4.1,Clinton Smith,"['Clinton Smith', 'Peter Buckmaster', 'Anthony O Connor']","This edgy Australian film stars an ensemble cast headed up by pop superstar Kylie Minogue, David Field, and Simon Lyndon. Various characters interact under strange circumstances, calling to mind movies such as GO and PULP FICTION.",97,sample people,2000
129,,,,,,the perfect storm,2000
130,5.9,['Seth Zvi Rosenfeld'],['Seth Zvi Rosenfeld'],"Seymour's happy New York existence comes to a tragic end after he witnesses the murder of his mother, a renowned civil rights activist. When he finds a firearm in the home of his best friend, he embarks on a deranged quest for revenge.",99,king of the jungle,2000
131,7.1,Silvio Caiozzi,"['Silvio Caiozzi', 'Jos Donoso']",A lonely man becomes increasingly obsessed with the beautiful teenager he used to help care for his grandmother.,-,coronación,2000
132,,,,,,once in the life,2000
133,5.6,Adam Collis,"['Randall Jahnson', 'Russell De Grazier']","A comedy that takes place over twenty-four hours on the Sunset Strip, in 1972.",90,sunset strip,2000
134,,,,,,"south of heaven, west of hell",2000
135,3.6,David Giancola,David Giancola,At the the Killington ski resort something has gone awry. Evil terrorists led by the sinister Greig have taken the resort hostage with a stolen nuclear device. It's up to Ski Patrol bum Matt Foster to save the day... and his fiancé.,90,icebreaker,2000
136,,,,,,rancid aluminium,2000
137,,,,,,requiem for a dream,2000
138,7.2,Philip Kaufman,Doug Wright,-,-,quills,2000
139,7.1,Nick Efteriades,Nick Efteriades,"In Queens, NY, aka ""Little Athens,"" a blue-collar Greek-American family struggle to hold on to the American Dream. Follow the journey of 28-year-old Alex and his desire to escape his urban hometown to pursue an off-beat dream.",103,astoria,2000
140,5.6,['Mary Mc Guckian'],"['John Lynch', 'Mary Mc Guckian']",-,102,best,2000
141,5.7,Richard Hobert,Richard Hobert,"Mikael turns 50 and celebrates big time, inviting all his friends to a gigantic party. He has a secret he intends to announce during the party.",114,födelsedagen,2000
142,6.3,Bruno Barreto,"['Alexandre Machado', 'S Sant', 'Anna Fernanda Young']",A separated attorney in Rio sees an English teaching American widow and tries to woo her.,-,bossa nova,2000
143,7.6,Steven Soderbergh,"['Simon Moore', 'Stephen Gaghan']",-,-,traffic,2000
144,,,,,,a piece of eden,2000
145,6.8,Arnaud Desplechin,"['Arnaud Desplechin', 'Emmanuel Bourdieu', 'Arthur Symons']","A Jewish girl in nineteenth century London, dreams of becoming a stage actress.",157,esther kahn,2000
146,,,,,,intrepid,2000
147,4.5,['C Grant Mitchell'],"['David A', 'Goodman Daniel', 'Riordan Robert', 'Louis Stevenson']",The story of Frank Cassilis and Northmour as both seemingly try to protect the Huddlestone family against mexican separatists while each has their own purposes and agenda.,94,the pavilion,2000
148,,,,,,pollock,2000
149,5.9,Matthew Miele,"['Chris Fetchko', 'Matthew Miele']",A homeless man takes a newly homeless man under his wing and teaches him how to survive on the streets.,92,everything's jake,2000
150,6.8,-,-,Reparto principal,-,finding forrester,2000
151,,,,,,my mother frank,2000
152,3.8,Kennedy Goldsby,Kennedy Goldsby,"Four friends all going a painful breakup, know too much about each other, and the hostility they've been expressing gets turned toward each other.",89,love beat the hell outta me,2000
153,6.8,Jon Shear,"['Daniel Reitz', 'Jon Shear']",A series of urban legends take place around the life of a troubled man who is searching New York City for a mysterious stranger.,103,urbania,2000
154,,,,,,almost famous,2000
155,,,,,,boiler room,2000
156,4.9,Oz Scott,William Rehor,"A con-artist hires two low-lifes to cover him during a deal, ending with three criminals, two dueling pistols, and one night they'll never forget.",98,spanish judges,2000
157,7.3,Rémi Lange,"['R Lange', 'Antoine Parlebas']",Antoine and Rémi have been living together for over three years. Rémi films their life using a Super 8 camera.,85,les yeux brouillés,2000
158,5.5,['Matthias X Oberg'],"['Tim Dabringhaus', 'Matthias X Oberg']","Black comedy feature about a young undertaker, starting his own firm in a seaside resort.",91,undertaker's paradise,2000
159,,,,,,reindeer games,2000
160,6.0,Lucas Lowe,Brian Leslie,-,-,diaries of darkness,2000
161,6.2,Suri Krishnamma,Ralph Brown,Two 17-year-old boys mark the new year by doing twelve dangerous but exciting tasks set for them by their friends.,101,new year's day,2000
162,,,,,,toreros,2000
163,7.8,['Karl W Lohninger'],['Karl W Lohninger'],A young couple faces its darker sides when the prospective buyers of their house offer more than what was asked for.,93,a house by the sea,2000
164,,,,,,the guilty,2000
165,5.7,Mika Kaurismäki,"['Paul Charles', 'Bailly Mika Kaurism']",The mechanic Jack tries to get rid of his criminal background.,90,highway society,2000
166,7.4,Gregory Hoblit,Toby Emmerich,-,-,frequency,2000
167,,,,,,the patriot,2000
168,5.1,Alex Munoz,"['Lynne Ewing', 'Esther Shapiro']","Two childhood friends, now in a street gang, look to their dancing ability as a way out.",90,living the life,2000
169,,,,,,down to you,2000
170,,,,,,wonder boys,2000
171,5.1,Elyse Lewin,Patrick Newall,A young man must decide between a life on the streets and a career in the theater.,95,brooklyn sonnet,2000
172,6.0,Patricia Mazuy,"['Yves Dangerfield', 'Philippe Lauro', 'Baranes Patricia Mazuy']","Madame de Maintenon rises from humble beginnings to become a courtesan to the royal court and eventually marries King Louis XIV. With the king's indulgence, Maintenon opens a special school for girls.",119,saint-cyr,2000
173,4.1,Catherine Jelski,"['Wolfgang Bauer', 'Catherine Jelski']","Charlie, his sexy girlfriend, and his moronic best friend drink, drug, and self-destruct over the course of one day at the home of Charlie's father in Los Angeles.",87,the young unknowns,2000
174,5.4,Linda Yellen,"['Linda Yellen', 'Michael Leeds', 'Gisela Bernice']","In addition to declaring that Katharine's (Lynn Redgrave) head and heart line are hopelessly fused into one ""simian line"", eccentric palm reader/fortune-teller Arnita (Tyne Daly) makes a dire prediction: By the end of the year, one of the couples present at a Halloween party will have broken up. But will it be Katharine and her much-younger boyfriend Rick (Harry Conni... Leer todo",106,the simian line,2000
175,7.2,-,-,"Enjoyed the original Bounce game on your Nokia phone well, Now It's available on your mobile devices, Remade from the ground up.",-,bounce,2000
176,,,,,,point doom,2000
177,6.5,Charlie Ahearn,Charlie Ahearn,"A young novelist with a bad case of writer's block clears her mind by answering an ad placed by a man who is driving cross-country and needs a partner. Along the way, she ends up with more writing material than she ever bargained for.",99,fear of fiction,2000
178,,,,,,price of glory,2000
179,,,,,,pelon maantiede,2000
180,5.8,Gavin Millar,"['Iain Banks', 'Bryan Elsley']","Cameron Colley is a young scottish journalist, with an interest in exposing the wrongs committed by the rich and powerful. Life is comfortable enough but uneventful, until someone starts murdering the people in his articles.",99,complicity,2000
181,-,"['Hombeline Dumas', 'Andr Jade', 'Simon Madore']","['Michael Jorden', 'Colton Hombeline', 'Dumas Uriel Isaac']",Life as it is is a compilation of episodes from the first webshow broadcast daily on the internet in Canada.,-,aliendog: life as it is,2000
182,6.3,Guylaine Dionne,Guylaine Dionne,Three generations of women in a French family come to know each other better as they road trip for a photography assignment.,81,les fantômes des trois madeleine,2000
183,6.6,Will Conroy,-,A young man is forced to choose between his fianceé and his family's hotel.,92,catalina trust,2000
184,4.6,Mike Sedan,Helen Haxton,"Donna is unfulfilled. In an unsatisfying marriage, she finds herself fantasizing about her sultry friends' lovers. But for her, fantasy and forbidden desires are about to be reawakened. Each morning, she will find herself in the arms of a new lover, while her sexy friends seduce her husband, Tom in more ways than one. The art of seduction is animalistic. In a world ob... Leer todo",78,insatiable wives,2000
185,5.4,Ruy Guerra,"['Chico Buarque', 'Janaina Diniz', 'Guerra Ruy Guerra']",The journey of a middle-class amateur.,95,estorvo,2000
186,4.2,Kelley Cauthen,Sahara Riley,"A beautiful woman has a sexual fantasy that she passes on. Then she is visited by a supernatural being, and things start to get more interesting.",94,surrender,2000
187,,,,,,bad faith,2000
188,,,,,,left behind,2000
189,,,,,,shadow of the vampire,2000
190,,,,,,wo hu cang long,2000
191,6.6,Roland Joffé,"['Jeanne Labrune', 'Tom Stoppard']",-,-,vatel,2000
192,-,-,Meg Staahl,-,15,28 days,2000
193,,,,,,the skulls,2000
194,,,,,,vertical limit,2000
195,6.7,Predrag Velinovic,Predrag Perisic,"Actor who used to be a celebrity once upon a time, when he played in number of films and theatre shows, lives his elderly days monotonously... Up until he meets a girl wanting to become an actress. In their encounters actor revives his love affairs from his young age...",122,senke uspomena,2000
196,5.6,Paulo Rocha,"['Raquel Freire', 'Regina Guimar', 'Paulo Rocha']","In Lisbon, during the feasts of St. Anthony, the cross breeders of politicians in black shirts and transvestites all dressed in pink. An exuberant allegory of freedom against dictatorship.",118,a raiz do coração,2000
197,5.7,Joseph Vilsmaier,Christian Pfannenschmidt,The movie follows the life and personality of the famous actress Marlene Dietrich.,132,marlene,2000
198,4.2,Matt Palmieri,Matt Palmieri,"A young man tries running from his past by hiding from his two violent brothers, only to have them track and harass him and his friends.",89,sand,2000
199,,,,,,circus,2000
200,-,Ian Mantgani,Ian Mantgani,-,-,jim's camera,2000
201,,,,,,la veuve de saint-pierre,2000
202,,,,,,no alibi,2000
203,5.7,Frédéric Garson,"['Luc Besson', 'Jessica Kaplan']","A mute female dancer who wows audiences in club competitions but can't get Broadway jobs because of her handicap, develops a ""voice"" when a young scientist invents a device that allows her to make music via her dance movements.",89,the dancer,2000
204,,,,,,stardom,2000
205,6.2,José Álvaro Morais,"['Jos Morais', 'Jeanne Waltz']",-,124,peixe-lua,2000
206,6.2,Luigi Magni,Luigi Magni,-,100,la carbonara,2000
207,5.3,Miguel Littin,"['Francisco Coloane', 'Tonino Guerra', 'Miguel Littin']","The chronicles of the Romanian engineer Julius Popper, a nationalized Argentine and one of the principle actors in the genocide of the Selk'nam, one of the indigenous peoples who inhabited the Tierra del Fuego Archipelago.",-,tierra del fuego,2000
208,5.9,Markku Pölönen,"['Esko Janhunen', 'Heikki Mets', 'Markku P']","The life of Rauli ""Badding"" Somerjoki, a Finnish singer.",103,badding,2000
209,,,,,,a shot at glory,2000
210,5.5,Lauri Törhönen,"['Lauri T', 'Laila Hietamies', 'Pekka Parikka']","Summer 1944 in Finnish Karelia; after a long lull, the Soviet army launches an overwhelming offensive that throws everything into disarray. Martta has barely time to marry Aarne before she is evacuated with relatives Hilkka who has just given birth to a son Helmi Elisa, the children, and their grandmother. In the confusion of the retreat, the women try to hold togethe... Leer todo",103,"hylätyt talot, autiot pihat",2000
211,,,,,,panic,2000
212,6.7,Lars Becker,"['Feridun Zaimoglu', 'Bernhard Wutka', 'Lars Becker']",-,86,kanak attack,2000
213,5.4,['Agneta Fagerstr Olsson'],"['Peter Birro', 'Agneta Fagerstr Olsson']","""Plutten"" is a former European champion in boxing who tours in northern Sweden, Finland, Norway and Russia as a country musician with his manager ""Råttan"". ""Plutten's"" big problem is handling the fact that his career is finished and that he has got to start on something completely new.",110,knockout,2000
214,5.2,Elaine Proctor,Elaine Proctor,"While on a hunt for elephant poachers in Namibia, a white female conservationist and a black lawyer fall for each other, despite the condemnation by the local community.",89,kin,2000
215,6.8,Javier Torre,"['Isabel Estrada', 'Javier Torre']","Estela Canto y Jorge Luis Borges se conocieron en 1944. Estela era mujer culta, inteligente, bella e inquietante. Trabajaba como locutora de radio, traducía textos de inglés y quería ser escritora. Borges era un hombre tímido, apegado a su madre, conservador, empleado en un modesta Biblioteca pública. Todavía era un desconocido para el gran público. Comenzaron una rel... Leer todo",92,un amor de borges,2000
216,6.1,Dana Nechushtan,"['Dana Nechushtan', 'Paul Ruven', 'Karst Woudstra']","A drifter, the doctor who has fallen for him and a third man who has recently lost his father are involved in a fiery auto crash.",95,total loss,2000
217,,,,,,the right temptation,2000
218,4.2,Serge Rodnunsky,Paul Tarantino,"A reporter risks his life to get to the bottom of a stack of lies, corruption and murder surrounding the opening of a local power plant.",94,newsbreak,2000
219,7.4,Steven Soderbergh,Susannah Grant,-,131,erin brockovich,2000
220,-,-,-,Ver la información de la producción en IMDbPro,-,la donna falco,2000
221,,,,,,here on earth,2000
222,,,,,,alone with a stranger,2000
223,,,,,,the wrecking crew,2000
224,5.7,John Berry,"['Athol Fugard', 'John Berry']",Intense love and hate bring a man and woman through personal tragedy.,90,boesman and lena,2000
225,9.6,Nic Phillips,Candy Denman,"A teenage diabetic fails to keep an appointment, and Mac regrets coming to the assistance of an old colleague who's due in court for negligence. Anoushka is worried about a bruise on a patient's shoulder.",27,under pressure,2000
226,,,,,,crime + punishment in suburbia,2000
