,0,1,2,3,4,5,6
85,6.1,David Anspaugh,"['Geoffrey Douglas', 'Angelo Pizzo']","Based on a true story, this film tells the tale of the 1950 U.S. soccer team, who, against all odds, beat England 1 - 0 in the city of Belo Horizonte, Brazil. Although no U.S. team has ever won a World Cup title, this story is about the family traditions and passions which shaped the lives of the players who made up this team of underdogs.",101,the game of their lives,the game of their lives
86,5.9,Kriv Stenders,"['Kriv Stenders', 'David Snell']","""The Illustrated Family Doctor"" is a dark comedy, that centres on the story of Gary Kelp, a young man who condenses reference books for a company called the Info Digest.",102,the illustrated family doctor,the illustrated family doctor
87,6.5,Rebecca Miller,Rebecca Miller,-,112,the ballad of jack and rose,the ballad of jack and rose
88,-,Javier van de Couter,Javier van de Couter,-,65,perro amarillo,perro amarillo
89,6.3,Thomas Bezucha,Thomas Bezucha,-,103,the family stone,the family stone
90,4.2,Stephen Kay,"['Eric Kripke', 'Juliet Snowden', 'Stiles White']",-,89,boogeyman,boogeyman
91,6.2,Gustavo Postiglione,Gustavo Postiglione,-,65,ipanema,ipanema
92,7.8,James Mangold,"['Johnny Cash', 'Gill Dennis', 'James Mangold']",-,136,walk the line,walk the line
93,6.3,Erich Lyttle,-,"Despite living in one of the most affluent countries in the world, millions of people in the United States live in poverty, and hundreds of thousands are homeless. Jaymo, an aspiring filmmaker, suddenly finds himself homeless and living out of his car. Desperate to find his way out, he begins shooting a documentary about the overlooked homeless people in this sharply ... Leer todo",90,have you seen clem,have you seen clem
94,5.6,Matthew Cole Weiss,"['Matthew Perniciaro', 'Timm Sharp']",Standing Still is the story of a popular yet drunken actor who reconnects with a group of his college friends for a wedding several years after graduation.,90,standing still,standing still
95,4.1,Stephanie Sinclaire,Stephanie Sinclaire,"The tale of two sisters, bound by more than blood, who bring home a man on a dare, only to see the situation spiral out of control.",88,silence becomes you,silence becomes you
96,7.5,Joshua Rofé,Joshua Rofé,-,-,brooklyn battery,brooklyn battery
97,-,Patricia Martín García,"['Patricia Martín García', 'Elsa Ramos']",-,102,el jardín de las hespérides,el jardín de las hespérides
98,4.6,Mark Clayborne,Keith Moody,"Ron (Brice McMillon) is a rapper who becomes the victim of flimflam thanks to his record label's duplicitous CEO (Maleik Ramsey). The rat refuses to fork over $1 million in bank royalties for it seems he funneled the cash into drug deals with the Russian mob. So, Ron joins forces with his brother, a narc and the DEA to set up the mogul. But when the deal finally goes ... Leer todo",90,the record deal,the record deal
99,7.2,Peter Jackson,"['Fran Walsh', 'Philippa Boyens', 'Peter Jackson']",-,187,king kong,king kong
