INDICE,puntuacion,direccion,guionista,descripcion,mes_estreno,titulo,anio
1261,-,Vania Ivena,Vania Ivena,"A dilemma of an illegal immigrant to stay in America and keep pursuing his dream, or go back home to say goodbye to his dying Mother.",7,miguel's american dream,2017
1262,-,John Mckelvey,-,-,-,merrell manifesto film,2017
1263,-,Danielle Dawson,Danielle Dawson,"In this exploration of the dangers of social media and how it can be weaponized, a rich businessman teams with a group of Russian hackers to influence social media.",6,social error,2017
1264,-,Monet Massac,Monet Massac,A young woman struggles to find her voice in High School.,10,a matter of speaking,2017
1265,-,Roodabeh Izadi,Roodabeh Izadi,"A girl named Marjan, who should go to an exhibition design company for an interview Faces a seemingly simple accident that has a large impact in the life of her .",15,adam barfi,2017
1266,-,Jaegar Moore,Jaegar Moore,"Every man remembers the day he became a man. For Eugene, it's a day he'd rather forget.",23,man's memory,2017
1267,-,Mykola Yeriomin,Mykola Yeriomin,Dreaming about a mysterious man named Eli Silverman makes someone to wake up.,2,dreaming of eli silverman,2017
1268,-,Jordan Collard,Jordan Collard,-,-,earth caller: crystal death album teaser,2017
1269,-,Mimi Lee,Mimi Lee,"A Japanese-American woman becomes inspired, through the friendship and leadership of Malcolm X, to be a voice for her own people and other oppressed groups after her experience in the Japanese Internment camps.",-,power to the people: the yuri kochiyama story,2017
1270,-,Julien Magnan,"['Julien Magnan', 'Julien Prévost']","Childhood friends and fans of violent paintball games, Louis and Polo are two young cooks in Normandy. Louis dreams of going to Paris but Polo does everything to stop him for fear of losing his friend.",18,petits soldats,2017
1271,-,Anastasija Nikitina,Anastasija Nikitina,-,-,heartbreak hotel,2017
1272,-,Marcello Mazzarella,"['Marcello Mazzarella', 'Paolo Pintacuda']",-,20,l'ombra delle muciare,2017
1273,-,"['Matthew Fisher', 'Kevin Ray']",Matthew Fisher,"When a downhearted southerner finds out his wife is pregnant, he embarks on an odyssey to reclaim his life -- and it starts with an overgrown yard.",11,lawn,2017
1274,-,James Fink-Jensen,Anita Soleimani Zohrshiri,-,2,the artist has room,2017
1275,-,Noel Brady,John Duggan,-,8,self tape,2017
1276,-,Jesús Eguía Armenteros,Jesús Eguía Armenteros,"She and he have a date in the Park to make the swap of their two-year-old son. She has come 10 minutes early, long enough to argue again about the same, however, the child wants something much simpler: that the two keep playing.",-,la mirada del hijo,2017
1277,-,Nakor Santamaría,"['Andoni Fernández', 'Nakor Santamaría']","She wakes up from a dream that is repeated every day. In his dream you can see a neighborhood full of life, happiness and open shops, but in reality all that does not exist anymore. She tries to locate social life and living businesses.",4,aztarnak,2017
1278,-,Kayla Delcoure,Brandon Johnston,The color around the world changes for a young couple as they fall in love.,7,love in color,2017
1279,-,Chen-Wen Lo,"['Chen-Wen Lo', 'Brady Morell']",-,-,alone and beautiful,2017
1280,-,Lucas Belaunde,Lucas Belaunde,-,17,bolero negro,2017
1281,-,Jordyn Haney,-,-,8,paradise,2017
1282,-,Alexandra Rieser,Alexandra Rieser,-,7,alte poststrasse,2017
1283,-,Anthony Paderewski,Christopher Soucy,A homeowner gives her home to the perfect buyer in the most unusual of circumstances.,-,unreal estate,2017
1284,-,Francesco Ferrari,"['Flavia Bruscia', 'Marco Minciarelli']",A man is forced to live in an eternal retaliation because of the errors he made in the past. His punishment consists in the impossibility to achieve any form of pleasure. It will be the victim of his greatest violence to reveal to him the truth: he is living his endless hell.,8,omega alpha,2017
1285,-,David Baquero,David Baquero,"Carlota, a middle-aged woman, wakes up in a mortuary refrigerator in a morgue. She recently has died. Suddenly, she hears the voice of a man who speaks to her from the refrigerator above. Both, dead, they have a conversation in which Carlota will make a special journey to her mind. Gradually, the will know to each other and discover than death can make you see life in... Leer todo",-,la última cita,2017
1286,-,Alexander Leo Christiansen,Alexander Leo Christiansen,"Martin can't stop thinking of Amanda - his one true love. But he can't stop thinking of the lie, either. The great lie that ruined it all for him. Now, Martin has a big decision to make.",31,løgn,2017
1287,6.9,Deniz Özden,Deniz Özden,"Cemile lives with her husband in an apartment building. One day a family moved to the apartment where Cemile lived. Cemile takes a plate food to the family that has reqcently moved to the apartment according to the custom. Cemile's new neighbor is Ari and Lorin who are not familiar with their names. While Cemile's mind confuses the names of the pair Ari and Lorin, Lor... Leer todo",14,cemile's obsession,2017
1288,-,Eetu Pennanen,Eetu Pennanen,A young man struggles with OCD and loss in both reality and his mind.,27,minkä menetin,2017
1289,-,Shareese Mason,"['Quick Mason', 'Shareese Mason']","After a night of studying for finals, Jasmine and Spirit head out for a little fun. Little do they know that their night is going to be unpleasantly interrupted with major catastrophe.",9,rest in resistance,2017
1290,-,Daniel Frank Wilson,Ashley Hope,Titus Mills does everything he can do pull himself out of a tainted situation.,9,troubled times for titus,2017
1291,-,Matthew Flynn,Matthew Flynn,"When Paulo's father Iggy is arrested for a murder, Paulo, along with his mother Marta navigate their way through the trauma until Paulo finds the key to his own happiness, empathy.",13,paulo,2017
1292,-,Max Lesage,Max Lesage,-,10,ailleurs,2017
1293,-,Rocko D. Marquez Flores,Rocko D. Marquez Flores,-,15,tropos de añoranza,2017
1294,8.3,Xin Li,Xin Li,-,6,lula,2017
1295,-,-,Quick Mason,"Darrius is a rising basketball star with a hidden secret from his peers about the fact that he is homosexual. After hiding this secret for so long, Darrius begins to develop a dual personality in his subconscious that goes by the name Damon. Damon is becoming more realistic and is now fighting Darrius to embrace his true identity.",11,ready 2 play me!,2017
1296,-,Dan Harth,Alex Foley,"A group of teenagers go camping to help a friend recover from her past and soon the stalking and murdering of several people entail. Staring Maddison Cash, Nick Boxall, Mikayla Jade and Ryan Hance.",16,rivers edge,2017
1297,-,Christian Bachmann,Christian Bachmann,-,-,mutter,2017
1298,-,Natalie Danson,Natalie Danson,-,3,behind the lie,2017
1299,-,Monique Amado,Monique Amado,"Two elderly women are confronted at every turn with feeling invisible in a fast-moving world that takes no notice of them. In crossing paths, they experience a moment that lifts them out of their isolation.",-,someone understands,2017
1300,7.8,Anton Sazonov,"['Anton Sazonov', 'Valeriya Zadereeva']",The relationship between Sasha and Vadim has reached a crisis. The never-ending quarrels are not even soothed by great trouble: from the summer house their son Grisha has run away. The search for the boy leads the protagonists into the forest.,13,the impasse,2017
1301,-,Rukia Magege,-,-,2,artificial affection,2017
1302,-,Jing Jessie Guo,Jing Jessie Guo,-,-,jack in the box,2017
1303,-,Hai Rihan,Hai Rihan,A dying mother's last meeting with her long-lost son.,10,lucky,2017
1304,-,Alessio Avezzano,"['Alessio Avezzano', 'Charlie Cooper']","After years of shared experiences in China, two estranged expats meet one last time for lunch in Shanghai.",17,zei wei (shanghainese for goodbye),2017
1305,-,"['Emmitt H. Thrower', 'Michael Thrower']",Emmitt H. Thrower,"Essentially an Absurd Sci-Fi, Comedy/Drama Short Film-Webisode Pilot for the web series ""Pigs in a Bowl: The Soup Opera"", set in modern times during the age of the Millennials.",-,pigs in a bowl: living the nightmare,2017
1306,-,Jonatan Egholm Keis,Jonatan Egholm Keis,-,11,stella nova,2017
1307,-,Ben Duncan,Josh Harris,-,-,blurred lights,2017
1308,-,Jose Rodrigo Orozco,Jose Rodrigo Orozco,-,8,popayán me gustas!,2017
1309,-,George Martyn,-,-,-,pretty boy,2017
1310,-,Aren Malakyan,-,-,-,snow,2017
1311,-,Eleanor Lane,"['Logan Bailey', 'Eleanor Lane']",Follows the story of 4 Teenagers as they struggle with Different Mental Health Issues.,16,mind,2017
1312,-,"['Keith Bearce IIIJohn Michael Ferrera', 'Anthony Grassetti']",-,-,7,roommate drama,2017
1313,6.3,Yunhe Zhang,-,-,21,find you in the crowd,2017
1314,-,Nikola Bozadjiev,Lachezar Stoykov,Four doctors decide upon the fate of a patient in comma that has not been visited by anyone for years.,13,the moral dilemma,2017
1315,-,Tania Perez,-,-,-,mysterious agent,2017
1316,-,Jake Vriezelaar,"['Levi Phillips', 'Jake Vriezelaar']",Two sisters navigate life stained by a broken family situation in search of a hope beyond themselves.,10,when we were together,2017
1317,-,Hakim Zziwa,-,A 25 year old young man with an influx of choices for a Flat mate ends up with an undesirable and Irreversible choice.,7,kisenge,2017
1318,-,Tania Perez,-,-,-,havik,2017
1319,-,-,-,Reparto principal,-,you're so full of it,2017
1320,-,"['Anton Fomochkin', 'Denis Vilenkin']","['Anton Fomochkin', 'Denis Vilenkin']",-,26,donkey hot,2017
1321,-,Rafael Ceribelli,Rafael Ceribelli,A man takes his son to hunt for the first time at a family property. The hunt brings back memories of a dark past.,-,the hunt,2017
1322,-,Sam Gale,Sam Gale,"The Crucible takes place in Salem, Massachusetts, in 1692 during the Salem witch trials. The play is a fictionalized version of the trials and tells the story of a group of young Salem women who falsely accuse other villagers of witchcraft.",-,the crucible,2017
1323,-,Dharmendra Baghel,Dharmendra Baghel,Boy left his house and mother for Money and her choice of wises and soon realized and come back. meantime his mother blamed his father and her mother-in-low as a miss guide.,10,the wallet,2017
1324,-,Miki Polonski,Miki Polonski,-,-,livorno 32,2017
1325,-,Gabriel Perrone,Gabriel Perrone,-,-,planície,2017
1326,-,Johanna Lamoth,Johanna Lamoth,-,-,leben,2017
1327,-,Milan Jani,Milan Jani,Its about a dilemma of a Senior Script Writer while analyzing the work of a young beautiful female writer.,5,her first draft,2017
1328,-,Karl von Moller,"['Bronte Howell', 'Karl von Moller', 'Angelo von Möller']","A short film about a boy named Billy, who dares to enter a creepy forest and discovers more then he bargains for. In doing so, he liberates not only his fears but releases the souls of a tragic accident from the past. If you like ghost stories, trains and - creepy stuff, then definitely watch this.",10,switch line,2017
1329,-,Matt Guthrie,Matt Guthrie,-,-,lumberjacks,2017
1330,-,Airish Krishnan,Airish Krishnan,"A young boy is seen feasting on the discarded bread from the waste, when a man who sticks bills on walls walks past him, doing his routine job. The last bill he sticks to the wall nearby to the boy doesn't stick properly. The boy decides to stick it onto the wall himself as the man has left the vicinity. It is revealed later that, the bill was as a matter of fact the ... Leer todo",3,kid,2017
1331,-,Aynoa Alvarez-Wautiez,Aynoa Alvarez-Wautiez,"England, 1958. Elisabeth has a pen pal correspondence with Bernard a young pied noir in Algeria, when they get torn away by life.",11,drifting away,2017
1332,-,"['Tj Pollard', 'Barnes Bree']",Tj Pollard,-,12,to be inspired,2017
1333,-,Austin Saya,-,-,-,to die in downtown,2017
1334,-,Lauren Jevnikar,Lauren Jevnikar,-,3,touch me right,2017
1335,-,Jaci Hodge,Jaci Hodge,"Folie a deux is a poetic piece, the tale of two sisters, their journey and emotions. A visual experiment.",12,folie à deux,2017
1336,-,Tómas Víkingsson,Tómas Víkingsson,"Bergur has made a mess out of his previous designated weekends with his only son Tommi and if he won't shape up for this next one, it might be his last chance.",19,pabbahelgi,2017
1337,5.1,Filip Zadro,"['Lucian Mirdita', 'Filip Zadro']","Antenna (lat. antennae: sail yard) is an active or passive electromagnetic device, which in combination with some electronic devices transforms electromagnetic energy into spatial electromagnetic waves.",-,upside down,2017
1338,-,Patricia Castañeda,Patricia Castañeda,-,16,el secreto,2017
1339,-,Parsa Zolfaghari,Parsa Zolfaghari,-,18,the sound of shadow,2017
1340,-,Ante Mitrovic,Ante Mitrovic,-,-,rojava calling,2017
1341,7.0,Rakesh Mehta,-,"Dilli Vala Dost is a 2017's short film based on a married couple in Mumbai, India who faces the uncomfortable situations when an unexpected friend from Delhi lands at their home. It features Kanwal Preet, Drishti Grewal and Karan Battan in the lead roles and it is written and directed by Rakesh Mehta.",-,dilli vala dost,2017
1342,-,Mohamed Saqer,Mohamed Saqer,"Ashrf is simple man with family, trying to go far from poorness by illegal way. "" Inspired From True Events """,9,a deal (maslaha),2017
1343,-,"['Amir', 'Hossein Golshani']",-,-,-,green apple,2017
1344,-,Robin Thedenat,"['Johanna Bolivar', 'Lucas Couvin', 'Pierre Fouchaux']",-,10,bis,2017
1345,-,Ryan Tocheri,Kristoffer Bradley Cruz,A girl meets up with her friend after his night at their high school dance goes awry.,7,can i have this dance?,2017
1346,-,Olivier Duval,Olivier Duval,"I, the director, film my father, an idle 69 year-old pensioner, hoping to make him want to feel alive again.",21,and i tried to put my dad in a van,2017
1347,-,Elisa Aleva,"['Elisa Aleva', 'Lígia Gomes']","Where does pain comes from? From experiences, from concepts, from prejudice? This is the search of Ana, who sinks into her deepest self looking for answers to move forward.",11,"agora se vira, meu bem",2017
1348,-,Kalpesh Mistry,Kalpesh Mistry,"It is a story of a young man who is lost in dreams of the possibilities of his life ahead, if only he would not have chosen the deadly path.",-,wake up,2017
1349,-,Joshua Maheu,Joshua Maheu,-,6,s.u.g.a.r.,2017
1350,-,Rafael Valerio,Rafael Valerio,"An empty park in the middle of the night. Inside a parked car, a young and an older man just had sex. They talk about their sexual preferences, until one of them shares something surprising to the other.",10,choice,2017
1351,-,Rachel Daniel,"['Rachel Daniel', 'Nathália Potenza', 'Drielly Ribeiro']","Gisele is abandoned by her husband and is forced to live on the street with her daughter, Catarina. During this process, they will understand their situation and learn to survive in their new home.",23,quando a gente chegar lá,2017
1352,-,Taz Ayoub,Taz Ayoub,-,2,beyond help,2017
1353,-,Herbert Staten Jr.,Billy Dee Glover Sr.,-,-,hidden dreams,2017
1354,-,Killian Davies,Killian Davies,"With minimal resources, a downed Marine helicopter pilot must use her wits to escape isolation behind enemy lines.",23,instinct,2017
1355,-,Lucas Piloto,Lucas Piloto,"John, a six-months-old baby doesn't want to eat his food during a mother's day lunch. Around the table, the family fights to see who feeds him.",15,seja bem-vindo!,2017
1356,-,Rom Lotan,Rom Lotan,We are all the same. Some of us Break.,5,soldier,2017
1357,-,Lionel Delhaye,"['Lionel Delhaye', 'Jérôme Dernovoi']",-,-,blue boy,2017
1358,-,Martin Larson,Martin Larson,-,-,running like charizard flies,2017
1359,-,Lorenz Benacchio,Lorenz Benacchio,"60-year-old Norbert Pichler has been living in a farm since his birth in the countryside. He owns a large yard and a lot of land, he lacks nothing. Norbert has no financial worries, he has recently renovated his house. Despite all of this, he feels lonely, he has no one whom he could share all this with. The work still gives him the necessary support to go on, but the... Leer todo",8,begegnung,2017
1360,-,Khatuna Khundadze,Khatuna Khundadze,-,-,serious man,2017
1361,-,Tomislav Djurinec,Tomislav Djurinec,-,-,the doll,2017
1362,-,Cameron Lee Horace,Cameron Lee Horace,-,-,black rose,2017
1363,-,Jall Cowasji,Jall Cowasji,A hot-headed father struggles to discipline his unruly child.,10,man of the house,2017
1364,-,Martin Schrepel,-,-,21,johnny et la danseuse,2017
1365,-,-,-,Reparto principal,-,right away,2017
1366,-,Marco Estrada,Marco Estrada,A free adaptation of a story by Edgar Allan Poe.,13,gato negro,2017
1367,-,Adrián Tejero,Adrián Tejero,-,-,water,2017
1368,-,Kacper Janusz,-,-,-,monster,2017
1369,-,Ozgur Ozer,Ozgur Ozer,-,5,loop,2017
1370,-,Anthony Elder,Anthony Elder,-,4,false alarm,2017
1371,-,Han-Ting Yu,-,"Yiyi(Li Yi-jie) is a girl who works as the hostess in the night club in order to pay his father's(Lou Si-qi) debt. Her boyfriend, Amao(Wu Jian-he), has no intention to take over his father's scooter repair shop. They were planning to leave their original family and start their new lives elsewhere. Yiyi temporarily moved to Amao's place as the first step of leaving hom... Leer todo",33,meiman's wonderful breakfast,2017
1372,-,Achior Vader,-,-,-,t' hokje,2017
1373,5.9,Edgar Burgos,Edgar Burgos,"A group of children, fed up with the bullying they receive from their older peers, challenge them to a game of life or death.",13,boyplay,2017
1374,-,Shota Kiyomoto,Shota Kiyomoto,"Issey Kuniya works at a major Tokyo advertising agency. Both his clients and superiors depend highly upon him and his future success is greatly anticipated. Seemingly, Issey leads an ideal life. Then one day, a phone call leads him to visit his hometown over the customary Japanese summer holidays.",-,our hearts! our hometown!!,2017
1375,-,Brenda Nava Cordero,"['Jonathan Lan', 'Brenda Nava Cordero', 'María Paola Ramirez']","David, a thirteen years old boy will have to face the news of his premature death, his grandfather will do the best to give him the news the day of his birthday.",8,bittersweet,2017
1376,-,Zander Padget,Zander Padget,A woman's suicide attempt is interrupted by a robber who soon needs her help.,-,annie,2017
1377,-,Tomislav Vujcic,Tomislav Vujcic,"Mike is for his surroundings the epitome of a successful young man: strong, popular, hetero. This facade collapses when he is caught after a workout session with a training colleague in the shower inflagranti during sex. The news spreads like a running fire throughout the city. From now on, he is avoided by his homophobic friends, despised by his family, abandoned by ... Leer todo",29,champ,2017
1378,-,Stacy Savic,Haroon Piracha,A short film. Steve is pressured t join a gang to make money to support his new growing family. little did he know he would be thrown into a gang war that puts him and his future wife and child in the middle of the street violence.,-,choices,2017
1379,-,Charbel Mansour,Doris Saba,"Joe, a boy with down syndrome wants to become a priest to serve his beliefs, struggling with all the obstacles.",-,faith,2017
1380,-,Zouhair Cheballe,Zouhair Cheballe,-,21,bawan,2017
1381,-,Lake Holden,Lake Holden,-,-,two worlds,2017
1382,-,Zhiran Zhou,"['Scott Peters', 'Zhiran Zhou']","When Rhys searches for his lost friend alone, an encounter with the A.I challenge his worldview as he struggles to save his friend.",9,binary,2017
1383,-,Debajit Baruah,"['Debajit Baruah', 'Sandeep Kumar Chandola']",A man who always believed in enjoying every moment of his life. One day he meets a stranger and soon his life changes forever.,10,the colors of life,2017
1384,-,Anmol Darji,Harshad Rathod,"Jenny strong independent girl living her dream and studying engineering in the heart of mumbai. Jenny believes Women Empowerment is the ideology which actually makes women ashamed of themselves. Sharing her views on Women Empowerment, Jenny takes a small step to end the cage called Women Empowerment.",13,azaad hoon main,2017
1385,-,Mert Güncüer,Mert Güncüer,"Ali, Nihat, Semih and Yigit are childhood friends who grew apart. When Ali receives the news of Yigit's demise, he reconnects with Nihat and Semih. With the unfolding of this event, three friends learn new things about Yigit and are left with no choice but to make a decision about their friends' death.",27,topragin üstünde,2017
1386,-,Frank Donnangelo,"['Dan Cameron', 'Frank Donnangelo']",-,18,a serious talk,2017
1387,-,Ryan Figuera,Ryan Figuera,-,-,death,2017
1388,-,Pamela Hanson Ryder,Pamela Hanson Ryder,"Jill Bannerman is a lonely housewife who once thought she would find company with her horses. The responsibility of the field becomes a one sided relationship, and she relies more and more on her stable hands to look after them while she attempts to find herself at the bottom of a wine bottle.",3,my field,2017
1389,-,Justen Mann,C.M. Bates,-,-,space man sam,2017
1390,-,Maria João Ferreira,Maria João Ferreira,-,7,epifania,2017
1391,-,Alejandro Cabrera,Alejandro Cabrera,"A bored therapist wants to continue the psychotherapy session based on the progress he made with his reluctant patient the previous week, but the patient has other plans.",5,la isla,2017
1392,5.0,Richard Kranzin,-,-,25,in beating cells,2017
1393,-,Jacob Holmquist-Franco,Jacob Holmquist-Franco,A man comes to terms with his terminal illness.,4,fumes,2017
1394,-,Ryan Elliott,Ryan Elliott,"The story of a mentally unstable patient Howard Blake and his therapist Clara. When Howard begins to associate his drug addiction with Clara, his infatuation becomes intoxicating. Will he let her go? Or is she something to hold on to?",4,something to hold on to,2017
1395,-,Alejandro Cuadra,Alejandro Cuadra,In a world where the glamour status and beauty stand for more Mr.Lockfund a criminal attorney finds his heart on his sleeve after being in a past relationship that took him to the cleaners. On the flip of the coin Loana a Immigration attorney makes a bet with her friend Maritza about having a man fall in love with her in a year for a full paid trip to Negril Jamaica a... Leer todo,25,doublefault,2017
1396,-,Jiayi Li,Jiayi Li,"A young prostitute Kelly has to pay off the debt and trying to get rid of her boss for freedom. For a secret reason, she is on a path to choose between self-destruction and salvation.",-,float,2017
1397,-,Al Domino,Al Domino,-,7,swipe left,2017
1398,-,Bård Føsker,Bård Føsker,-,9,fangst,2017
1399,-,Zhichun Huang,-,"An old lady, appearing in the form of her younger self in her unconscious mind, reflects on the ideas of time, self and death the moment before she passes.",-,away,2017
1400,-,Sunil Thadani,Manu Chobe,"A short film starring, Kanwaljit Singh, Shweta Rohira and Kitu Gidwani.",-,parineeti 2017,2017
1401,-,Sabine Kahwaji,Sabine Kahwaji,"A coming-of-age short film that intimately captures the final summer of a close-knit group of seventeen-year-olds, celebrating the transformative power of female friendship.",-,seventeen,2017
1402,-,"['Luis Tristan', 'Drew Bromley']",Luis Tristan,"Satan tells two of his demon minions to go and destroy the city, as they go, David notices this and gets extremely angry about this, so he uses a tank to kill the two devils.",-,the btgm movie ii: david's adventure,2017
1403,-,Lily Weisberg,Edie Astley,"Hudson is a 9-year-old boy on a quest to find a bull shark. April is a 16-year-old girl with nothing to do this summer. When their paths meet one day on a sun-soaked dock, they become fast friends.",-,hudson,2017
1404,-,Robert Barrett,Colebut Joey,"In this slice of New York indie cinema, a rising talent in the NYC hip-hop scene finds himself on the way to stardom. But his creative rise hits a skid when his mistress gets pregnant.",34,proceed with caution,2017
1405,-,"['Martin Lambert', 'Aloïs Noël']","['Martin Lambert', 'Aloïs Noël']","A young man, alone, lost in the countryside has an appointment with Death.",9,downfall,2017
1406,-,Daniel Sá,"['Thiago Kulik', 'Daniel Sá']",An ordinary girl shows us that she is more than meets the eye. It is up to us to decide whether we embrace our hypocrisy or subvert ourselves to our truths.,-,diário de uma garota qualquer,2017
1407,-,"['Guilherme Areias', 'Eliz Brito', 'Reinaldo Lima']","['Guilherme Areias', 'Eliz Brito', 'Reinaldo Lima']",-,-,a carta,2017
1408,-,"['Perica Antov', 'Graziella Schwaiger']","['Perica Antov', 'Graziella Schwaiger']","A man has lost the wife of his life, It was the love of his life. His memories are still with her.",5,susan,2017
1409,-,Alex j Davis,-,-,-,sophie,2017
1410,-,Nick Wingate,Noah Feinberg,"A beat-by-beat depiction of a college party during the night of November 8th, 2016, Election Day.",-,11/9,2017
1411,-,Samuele Portera,Samuele Portera,"A young innocent and naive girl, who comes from a distant and poor country, finds comfort in her days in the company of an older man. This man is dedicated to the prostitution's business. Between the two characters will born a love and hate relationship that will lead them to the research and the discovery of a renegade past and redemption.",17,memorie di un santo in agosto,2017
1412,-,Manav Gami,Manav Gami,A woman is about to kill herself but her decision is altered after learning about the harsher life of her uninvited guest.,-,maya,2017
1413,-,Fernando Martínez,Oscar-Ricardo Encinas,"Below a majestic tree, a mysterious old man remembers and then fulfills the unsolved to secure his precious legacy and reunite with his one true love.",14,cielo y el árbol - en el valle de los sueños,2017
1414,-,"['Eldad Bouganim', 'Israel Winkler']",Israel Winkler,-,6,mitat neshika,2017
1415,-,-,-,"Two Strangers Meet, An Eerie Atmosphere, What Happens?",1,trust & expectations,2017
1416,-,David Hersholt,David Hersholt,-,-,hank,2017
1417,-,Dylan Hancook,Dylan Hancook,-,16,millennia,2017
1418,-,Glen Shepherd,-,-,10,herring road,2017
1419,-,Alejandro De Lorenzo,-,-,-,the last four,2017
1420,-,Kerith Lemon,"['Rebecca Hall', 'Kerith Lemon']",-,-,bare,2017
1421,-,Dominic Goodie,Dominic Goodie,After a long night of parting two friends discover some foul play that leads them on a race against the clock to save an innocent life.,20,last night,2017
1422,-,Alice Gouveia,Alice Gouveia,-,17,nina,2017
1423,-,Craig Bickerstaff,"['Craig Bickerstaff', 'Byron Davis']",-,-,operator ii twin souls,2017
1424,-,Roman Pozhidaev,"['Zehre Burakaeva', 'Roman Pozhidaev']",How can you tell your own mother that her only son is gone? For Amina this is the hardest challenge of her life.,13,when it was snowing...,2017
1425,-,Borja Sanchez,Borja Sanchez,"Después de una fuerte discusión, Carla recibe una llamada de su marido, la cual será su última oportunidad para decirle lo que siente.",-,154,2017
1426,-,Dave Armstrong,Dave Armstrong,-,-,i'm too nice,2017
1427,-,Unyime Nseyo,Unyime Nseyo,A man with a troubled past recounts his very peculiar daily routine with an old friend over a remote game of chess.,-,bishop,2017
1428,-,Jahanshah Vafaeisefat,Jahanshah Vafaeisefat,A single mother must cope with the loss of her husband while raising her young daughter.,16,shattered,2017
1429,6.6,"['Robert Mc', 'Dermott']",Benjamin Enos,A doctor must fight for custody of his daughter when an accident is called into question.,19,sedation,2017
1430,-,"['Jamie De', 'Wolf']",Joe Clifford,-,4,give up the dead,2017
1431,-,Yassen Genadiev,Yassen Genadiev,-,3,pauranoia,2017
1432,-,Pauline Moreau,Padrig Vion,-,-,la fille au ciré jaune,2017
1433,5.8,R.B. Lima,"['Ashley De La Veiga', 'R.B. Lima']","There was once a woman, Maria Laura, who used to come here to bang. One night, after a party, she came here with two guys. So, the day after, a bricklayer found her dead in a puddle of blood. Everyone who comes here has the habit to paint something in the wall if no, Maria Laura's ghost appears, rips person's head and hangs in her neck.",16,"de vez em quando, quando eu morro, eu choro",2017
1434,-,Juan Pablo Arias Munoz,Christina Kingsleigh Licud,-,20,abuelita,2017
1435,-,Reese Prokosch,Reese Prokosch,-,2,one too many,2017
1436,-,Undelaibery Pena,Undelaibery Pena,"Julito is a poor young man who tries to escape from his obscure past leaving it behind, and driven by his subconscious that helps him discover his dream which makes him a millionaire overnight. However, just when everything seemed perfect, that past comes back as a shadow playing a dirty trick on him and taking everything away, but this doesn't stop him from pursuing ... Leer todo",15,algún día será,2017
1437,-,Ashley Williams,"['Ashley Pitman', 'Ryan Williams']",-,-,the super galactic space cadets,2017
1438,-,Jojo Erholtz,"['Jojo Erholtz', 'Bryana Scott-Hawk']",-,13,sad eyes,2017
1439,-,Giorgi Menabde,"['Nodar Dumbadze', 'Giorgi Menabde']",Old Nodar agrees with his son to sell their ancestors house. but when they get to a village where their house is he gets filled with the memories and it doesn't work well for him.,24,blood,2017
1440,-,Regina Carrasquel,Regina Carrasquel,-,7,mi amigo secreto,2017
1441,-,Nick Cohen,-,-,-,sommerleben,2017
1442,-,Hannah M Weber,Hannah M Weber,-,-,hindrance,2017
1443,-,Jacob Horne,Jacob Horne,"A getaway driver comes into possession of a suitcase with enough money in it to skip town. Problem is, he's not the only one interested in the case.",8,the wheelman,2017
1444,-,Matt Embry,Matt Embry,A successful businessman is caught up in a web of deceit as he invites a younger man into his life to play a game of basketball.,20,gunner,2017
1445,7.4,Christian Cavazos,Christian Cavazos,-,12,papalote,2017
1446,-,Jaro Jääskeläinen,"['Jaro Jääskeläinen', 'Juuso Tuunanen']","While smothering in his daily hastiness, Oskar unexpectedly comes across with a letter dating back to 1945 and discovers a compelling story about the eternity of time and life - steered by the waves of the sea.",11,arkona,2017
1447,-,Karthik Rao,Abhishek Iyengar,-,-,anjali,2017
1448,-,Kean Gross,Kean Gross,"Two brothers reconnect, after almost 30 years and the death of their father, inside the older brother's childhood bedroom.",10,brothers,2017
1449,-,David Koh,David Koh,"Inspired by the works of director Wong Kar Wai and novelist Haruki Murakami, ""Lady in Lavender"" is an experimental short film exploring the themes of urban isolation and human connections.",10,lady in lavender,2017
1450,-,Nic L. Kelly,Nic L. Kelly,-,-,day one,2017
1451,-,Piyali Shome,Piyali Shome,"Short film based on the situation after the judgment of Indian Supreme Court on IPC Section 377 to re-criminalize on December 2013. KHAROSROTA goes with the name Torsha, a hilly river of West Bengal; which is both speedy and wild in nature. But her story is not reachable to everyone as so many barriers and dangers are there at source of the river. Even then she flows ... Leer todo",23,kharosrota,2017
1452,-,Júlia Roigér,Lara Stoop,-,6,clic,2017
1453,-,Nicholas Cook,Nicholas Cook,A boy resorts to unusual methods to care for his ailing mother.,19,garbage,2017
1454,-,Takara Kobayashi,-,-,40,traffic light,2017
1455,-,Torin Penwell,Torin Penwell,"Gill, a closeted woman, must prove to her friend, Blair, a headstrong homophobe, that homosexuality is not a form of retardation.",7,mental,2017
1456,-,Stanley Abad Williams,Stanley Abad Williams,-,7,lost ones,2017
1457,-,Frederik Rundstrøm Andresen,Frederik Rundstrøm Andresen,A young kid finally decides to fight back at the sadistic bullies that's been torturing him for years,17,fede svin,2017
1458,-,Omer Ben-Shachar,"['Vaughn Diana Alexander', 'Omer Ben-Shachar']","On the first day of vacation, a young couple play a game that quickly goes out of their control.",-,the hitchhiking game,2017
1459,-,Arnaud Lin,Arnaud Lin,Yan is a young woman and a victim of trafficking. She is forced to entertain. But someone takes her place.,6,lovely you,2017
