puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,anio
6.7,Mikkel Munch-Fals,Mikkel Munch-Fals,Three teenagers orientate themselves sexually in an explicit pornographic world.,23,Drama,ynglinge,ynglinge
-,Barry Stricke,James Ball,A womanizer must retrieve items from his ex-girlfriend's apartment.,19,Drama,heartburn,heartburn
-,"['Másik Szöke András', 'Tamás Csillag']","['Tamás Csillag', 'Zoltán Gergely']","Tamas, who is a photographer for a tabloid, leads the hectic kind of city life many of us are familiar with. He stumbles from one photo project to the next as his private life begins to fall to pieces. His boss just makes matters worse when at the most critical moment, just as Tamas should have been going to a family event he has promised to attend, he sends him to an... Leer todo",16,Drama,kontakt,kontakt
5.7,Johan Lundström,Johan Lundström,-,11,Drama,bip bop bip bop bap,bip bop bip bop bap
8.4,Niklas Holmgren,"['Michaela Bier', 'Niklas Holmgren']",Petra finally returns home from hospital. Her nervous husband and her over caring sister welcome her back. They are going to eat cake together but Petra's six-year-old boy Morgan doesn't want to join them.,15,Drama,ralph,ralph
8.6,Tracey Bradley,Tracey Bradley,"A seemingly perfect husband and wife happily live in one half of a duplex, unaware that the (seemingly vacant) other half of the duplex is inhabited by a woman who is living vicariously through them. Trying to fill the void in her own lonely life, she sets about spying, eavesdropping and eventually mimicking their idealized life in their beautiful home whenever they a... Leer todo",10,Drama,expectation,expectation
7.6,Anton Radoslavov,Palmi Ralchev,-,30,Drama,edno patuvane do horizonta,edno patuvane do horizonta
6.9,Christine Shin,Christine Shin,"Janie, a 9-year-old girl, has a perfect life as an only daughter in a loving family. Her life, however, gets completely shattered when Ben, the little brother she never knew existed, unexpectedly shows up to live with her family.",18,Drama,janie,janie
7.2,Uwe Greiner,Frank Dommel,-,15,Drama,good kill,good kill
8.1,Yuval Adler,Yuval Adler,A young locksmith is drawn to murder and slowly his fear of being caught transforms into the horror of not being caught.,28,Drama,seduction,seduction
-,Curt Ivan Hunter,Curt Ivan Hunter,-,23,Drama,kinahan's law,kinahan's law
-,David Norian,David Norian,"A chance, momentary encounter between a man and a woman he sees asleep in a passing car.",8,Drama,seeing a sleeping woman,seeing a sleeping woman
9.0,Martín Turnes,"['Marina Kogan', 'Martín Turnes']",-,15,Drama,pasamontañas,pasamontañas
5.5,Fabianny Deschamps,Fabianny Deschamps,"Lucille, an introverted eleven year old girl, live with her parents, who are caretakers of the swimming pool in which they stay. Because of the weirdness of this place, which looks like a flying saucer, an awful anguish comes out of Lucille's mind. The ""unidentified frightening object"" of her confusion would happen to be even more obsessing than all fears of childhood... Leer todo",28,Drama,le grand bassin,le grand bassin
6.5,Johannes Trägårdh Jensen,"['Ernest Hemingway', 'Johannes Trägårdh Jensen']","Part documentary, part drama, this is the story of Johannes reuniting his brothers and their father, confronting them with a family dilemma and persuading them to play it out in a story based on Hemingway's The Killers.",28,Drama,killarna - en far og seks syv brødre,killarna - en far og seks syv brødre
8.3,Ham Roushanzamir,Ham Roushanzamir,An Albanian man's only desire is to head back home to his family. The lack of money for his flight leads him into the criminal underworld and ultimately leaves him entangled in a kidnapping that goes terribly wrong.,14,Drama,low and high,low and high
6.9,Sean Bloch,Sean Bloch,"Seemingly alone in his father's sleek Manhattan apartment, motherless Oliver is woken by the sounds of sex, and quickly finds that his father, Mark has brought home a young woman, Melody. Oliver then embarks on a mission to seduce her into becoming his mother. After a successful ambush, Oliver convinces the nameless woman to sit with him while he draws her portrait; h... Leer todo",13,Drama,the milky way,the milky way
8.1,Annetta Marion,"['Paul Epstein', 'Anna Mc', 'Roberts']",-,17,Drama,alaska,alaska
7.0,Janic Heen,Janic Heen,"Christian and William are high-flying economics graduates from elite educational establishments. They are both attending the final interview for a top position with the renowned company, Roswell Enterprises. By coincidence they meet in the menâs room just before the interview begun. Their lifeâs worst job interview has just begun.",10,Drama,roswell enterprises,roswell enterprises
-,"['Anthony Coleman', 'Anthony Coleman']",Anthony Coleman,"Papa Joe, a modern day hell raiser armed with bourbon and a deer rifle reaps terror on all his relationships.",17,Drama,papa joe,papa joe
-,Sebastian Linke,"['Sebastian Linke', 'Tobias Schwarz']",An existential drama about humanity's ability to be freed from our ontological prison. A film about the game that life. If you have the ball.,2,Drama,spielvergnügen,spielvergnügen
7.7,Talya Lavie,"['Oded Binnun', 'Talya Lavie']","Zohara has been waiting to go home ever since she was first stationed at a distant military base, but when the day arrives her hopes evaporate. The soldier sent to replace her appears to be suicidal. Instead of leaving, Zohara is ordered to guard the new girl.",19,Drama,hayelet bodeda,hayelet bodeda
8.8,Rony Sasson,Rony Sasson,-,15,Drama,barburot,barburot
