,puntuacion_imdb,direccion,guion,argumento,duracion,titulo, anio
2060,5.9,Süheyla Schwenk,Süheyla Schwenk,Syrian refugees arrive in Berlin. The dream quickly starts falling apart.,71,jiyan,2019
2061,7.1,Riri Riza,Riri Riza,Martin (J.S. Khairen) is a Jakarta film student who comes home to Sumba for a complicated task. The journey brings Martin to meet Ana (Ully Triani) and the many questions about Humba and himself starts to unravel.,75,humba dreams,2019
2062,8.1,Ron Widodo,"['Andre Supangat', 'Robert Ronny']","Rahabi has an acapella music group called Rujak Acapella. It consists of friends with different backgrounds. Hitu, who aspires to be a Banser because they once helped his family during a riot in Ambon. Markus, a Christian Chinese descendant, Sayid , A Muhammadiyah Muslim who wants to be a novelist and Tiara, a girl who has a crush on Rahabi, Rahabi's father, Syamsul, ... Leer todo",103,bumi itu bulat,2019
2063,6.9,Nihat Durak,"['Tolga Aydin', 'Filiz Üstün Durak']","Yakup and Semsa are Syriac families living in Berlin with their three children and grandchildren. Twenty-five years ago they migrated from Mardin to Berlin. One day, a call comes from Mardin. This news is about Mikhael, whom they lost twenty-five years ago. Yakup and Semsa go to Mardin with their grandson, Nardin, who does not want to leave them alone.",110,kapi,2019
2064,5.9,Emilie Verhamme,Emilie Verhamme,"For over a decade, Marie has had a passionate relationship with Nathan, the love of her life. When she returns into his life after a four-week absence, she finds out he has decided, without notice, to drop her from his life.",100,sinner,2019
2065,6.3,Ezequiel Yanco,"['Ana Godoy', 'Ezequiel Yanco']","A puma stalks Pueblo Nación Ranquel, an indigenous community in Argentina. Hunting is a rite of passage, and the older boys want to kill the puma. But Uriel chooses a different path.",70,la vida en común,2019
2066,-,Christian Orlando,Christian Orlando,-,-,hang ten,2019
2067,7.3,Harold Jackson III,Harold Jackson III,Civil unrest erupts after a Police Officer kills an unarmed man during a traffic stop. The officer gives his version of events as the case statement interviewer unravels the incident one murky layer at a time.,70,unarmed man,2019
2068,5.2,Arsen Agadzhanyan,Arsen Agadzhanyan,"""I will give you a victory."" Such a promise is made by a 17-year-old soldier, to a very young nurse, with whom he falls in love for the rest of his life. Many years after, as a result of a tragic event the diary of the young war veteran gets into the hands of the protagonist of our story. He lives in a bustling, vicious megalopolis, filled with gloss and other expensi... Leer todo",101,ya podaryu tebe pobedu,2019
2069,-,Gopi Kuttikol,"['Gopi Kuttikol', 'P.V.K. Panayal']",-,-,arayakadavil,2019
2070,6.5,"['Nikita Lavretski', 'Yulia Shatun', 'Alexey Svirsky']","['Nikita Lavretski', 'Yulia Shatun', 'Alexey Svirsky']",-,117,drama,2019
2071,7.7,Sandra Restrepo,-,Brené Brown compares courage to vulnerability and gives her audience a call to take chances.,76,brené brown: the call to courage,2019
2072,4.9,Kôichi Sakamoto,Naoki Hayashi,"A young girl named Miya, who is chased because of her mysterious abilities, meets Rikka Isurug, who has been born in the family of ninja for generations.",92,black fox: age of the ninja,2019
2073,5.7,Ghorban Najafi,"['Ghorban Najafi', 'Ghazal Zargar Amini']",A family reunion leads to a tragedy.,97,white fish season,2019
2074,-,-,-,Ver la información de la producción en IMDbPro,-,reincarnation,2019
2075,6.3,Michal Kondrat,"['Eliza Bahr', 'Michal Kondrat']",-,107,milosc i milosierdzie,2019
2076,5.7,"['Kamila Andini', 'Masatsugu Asahi', 'Tsukasa Hôjô']",-,Two musician lovers dream of composing a melody that will move the world.,105,angel sign,2019
2077,-,Vincent Manuelpillai,"['Mano Manuelpillai', 'Vincent Manuelpillai']","""Shiva's daughter"" A Movie An English movie. Background of the story. This is an emotional love story which ends in tragedy. Both Parents oppose to their children's loving relationship because they are of different communities from Sri Lanka known as the Tamils and the Sinhalese. This story is period based, which happens within six months in London during the peak o... Leer todo",151,shiva's daughter,2019
2078,-,Niclson Poulose,"['Anil Chandrasekaran', 'Kumar K. Nambiar', 'Niclson Poulose']",-,136,mullapoo viplavam,2019
2079,5.8,Isamu Hirabayashi,-,"Nitobe and Sakamoto are friends from childhood who now work at the front desk of a capsule hotel. Nitobe has a particular fondness for philosophy and crustaceans. Sakamoto, meanwhile, is fixated on suicide. The capsule hotel draws a variety of guests, including a Finnish mother who has lost her child, a fugitive woman, and a researcher studying Daphnia. None of their ... Leer todo",154,shell and joint,2019
2080,6.2,"['Fajar Nugros', 'Yogie Supra']","['Endik Koeswoyo', 'Asri Aci']","Melody moves to another school trying to avoid problems. She has a bad past with David, her ex-lover. But in the new school, the problem re-emerges when Melody meets Dylan, a guy famous for being cool, likely to make trouble but still an idol because of his handsomeness. Rumors about Dylan are common knowledge. Melody and Dylan find no point in their love relationship... Leer todo",92,melodylan,2019
2081,4.9,S. Muthukumaran,-,Lord Shiva accuses Yama for saving the life of a criminal-politician when the latter tries to stop a little girl from dying. Yama is given a few days' time to rectify his action.,147,dharmaprabhu,2019
2082,7.1,Vivek Elangovan,"['Shanmuga Bharathi', 'Vivek Elangovan']","While on a trip to the USA, a retired police officer from India solves a series of clueless crimes in his neighborhood, relying only on his power of reasoning.",122,vellaipookal,2019
2083,5.8,Francesca Olivieri,Francesca Olivieri,"After her father's death, Aida returns to her Arbëreshë village and grapples with complicated feelings about her origin.",80,arbëria,2019
2084,4.9,Rasoul Sadrameli,Parviz Shahbazi,Mahtab and Ava are classmates in their second year of college studying engineering. The story begin when they and other classmates go on a trip to Esfahan.,99,sale dovom daneshkadeh man,2019
2085,4.2,Al Carretta,Al Carretta,The true identity of 'Carl Hart' is the mystery no government department can unravel. After 19 years the purpose of his operation becomes apparent as his true motive is revealed.,183,cocaine. gangster. talk.,2019
2086,-,Fangxiang Zheng,Fangxiang Zheng,-,-,best wishes,2019
2087,-,Amit Ojha,"['Anil Marwari', 'Amit Ojha']","Lalji Qalandarr revolves around the conflicts between traditions and modern society. It is a story set in rural Rajasthan about a traditional folk artist Dayaram bhopa. Though highly talented, Dayaram refuses to 'sell' his music just for the sake of money. Instead, he makes his ends meet by selling miniature musical instruments at local bus stand of his village. He ha... Leer todo",126,lalji qalandarr,2019
2088,5.6,Monika Mitchell,Cara J. Russell,-,92,the knight before christmas,2019
2089,-,"['Jim Agapito', 'Hayden Bytheway', 'Evan Friesen']","['Hayden Bytheway', 'Roy Huggins', 'Jordan Moreau']","Jane Palmer (Anaka Sandhu) is a young, fashion designer who aspires for more than the life that her fiance, Alan (Ryland Thiessan), has to offer in little ol' Winnipeg, Manitoba. When the couple accidentally come across a large amount of cash, Jane goes to great lengths to ensure nothing gets in the way of her realizing her ambitions.",-,windfall,2019
2090,3.6,Morteza Ali Abbasmirzaee,Morteza Ali Abbasmirzaee,Ali is a homeless addicted guy who is trying hard to get rid of his addiction. It is Moharram and he finds a blooded pocket in some food they had brought to him.,-,khoon-e khoda,2019
2091,5.7,Paulo Sacramento,"['Eduardo Benaim', 'Paulo Sacramento']","After a controversial promotion, Roberto faces a gradual process of isolation from his colleagues at an oil rig.",99,o olho e a faca,2019
2092,6.1,Nikita Lavretski,"['Rei Koz', 'Nikita Lavretski']",-,98,sasha's hell,2019
2093,-,Marceau Uguen,"['Bastien Gros', 'Marceau Uguen']",-,-,memoria,2019
2094,4.4,Yûki Yamato,"['Miki Aihara', 'Yûki Yamato']","Hatsumi and her family live normal lives until she is used by Ryoki who begins to bully and intimidate her. Azusa is a friend in the area and also good looking. He has the hots for Hatsumi too. They begin to go steady, but soon it transpires that not everything as easy or straightforward. Time to unravel the mystery.",119,hot gimmick: girl meets boy,2019
2095,6.2,"['Manbhavan Singh', 'Sagar']","['Dheeraj Kumar', 'Karan Sandhu', 'Kulwant Singh']","After a misunderstanding among their parents, two brothers turn against one another.",150,jaddi sardar,2019
2096,5.8,Marina de Van,Marina de Van,-,85,ma nudité ne sert à rien,2019
2097,5.9,Mika Ninagawa,Kaeko Hayafune,"Oguri Shun plays Dazai Osamu who is one of the more popular novelists in Japan. Like most artists he has his vulnerabilities and exposures. In this case, the man is an alcoholic and lustful nomad. In other words, while being married and having promised himself to one he has two harlots on the side.",-,ningen shikkaku: dazai osamu to 3-nin no onnatachi,2019
2098,7.1,Farishad I. Latjuba,"['Farishad I. Latjuba', 'Jenny Jusuf']","A wealthy woman is betrayed and all her wealth is gone. Her marriage plan is also in danger. But, she still has a villa as her only hope. To take the villa back, she had to become an assistant to a traditional bride shaman.",102,mantan manten,2019
2099,6.2,Luan Zhang,"['Wei Xu', 'Luan Zhang']","Set in 1980s, a distant mountain town. Rigorous teacher Miao has his new senior high school class. He teaches and trains the rebellious and enthusiastic students, and earns respect from them all.",112,lao shi · hao,2019
2100,-,Tim Baylar,Tim Baylar,-,-,despair,2019
2101,-,Francesco Bori,"['Francesco Bori', 'Therese Boudreaux', 'Charmaine Bourton']","A unique experience combining stunning visuals, personal poetry and immersive music from around the globe.",90,innerscape,2019
2102,6.7,Dale Farmer,Dale Farmer,Life-worn Charlie struggles with leaving his present life and family in Ohio to return to his childhood Kentucky home and the music and lifestyle that once defined him. But first he must pass his musical heritage on to his grand-kids.,87,the mountain minor,2019
2103,-,Edward Uka,Edward Uka,The king's most loyal warrior finds his loyalty questioned after refusing to carry out the king's evil orders.,-,kuvana,2019
2104,-,"['John Calhoun', 'Ja', 'Quay Young']",John Calhoun,-,-,the soul is what remains,2019
2105,5.9,Jacky Gan,"['Jacky Gan', 'Jin Jin', 'Meng Li']","LIU is in desperate need of money after losing at gambling, again. A friend can help, he just needs to steal an unregistered car back and resell it. The simple scam becomes complicated when they find a little girl in the trunk of the car.",103,ting er zou xian,2019
2106,5.8,"['Xiaoyang Chang', 'Shaohong Li']","['Meng Li', 'Jianquan Shi']","Based on real life events, the film is set in January 1949 and focuses around a group of soldiers involved in the final stages of the Battle of Pingjin",103,jie fang - zhong ju ying jiu,2019
2107,4.8,Rahul Ravindran,"['Rahul Ravindran', 'Satyanand', 'Kittu Vissapragada']","Under pressure to marry, a perennial bachelor hires a much younger woman to act as his fiancée, but her bond with his family throws his plan for a loop.",155,manmadhudu 2,2019
2108,-,Francisco Rosas,Álvaro de Campos,-,72,a passagem das horas,2019
2109,7.0,Alexander Zhovna,Alexander Zhovna,"The world today is an uncomfortable place, cynic surroundings. Besides two of our characters are people suffering from Down syndrome, known as sunny kids. However, is this world sunny enough for them? Therefore, they got unique opportunity to get into the world of old black and white cinema with help of unusual screen in the magic cinema theatre. Existing in the world... Leer todo",111,historia lizy,2019
2110,-,Álex Quiroga,"['Aldo Garcia', 'Arturo PimentelÁlex Quiroga']","BERNARD a movie by Alex Quiroga Hernán and Marie Christine are two brothers who live in Pátzcuaro, Michoacán. Hernán is an architect, Christine is a health therapist. One day they receive a call informing them that their father who lives in France is terminally ill with Alzheimer's disease. They have to decide whether to go see him or not because he left his mother l... Leer todo",-,bernard,2019
2111,5.1,Navaz Suleiman,-,The plot revolves around a man and his goat.,127,maanasi,2019
2112,2.0,Santosh Chimaji Jadhav,Subhash Ganpatrao Kakde,"While carrying out her duty as an honest and ethical police officer, inspector Kirti Marathe Patil must deal with the kingpin of all the illegal activities in her area - Pankaj. Will she succeed in her mission?",126,tandav,2019
2113,-,Nesam Murali,-,The film revolves around the platform dwellers and highlights their plights and struggles on a daily basis.,-,kabilavasthu,2019
2114,-,Horace Chan,Horace Chan,"Elaine, a Hong Kong young lady, travels to London and looks for her sister who has lost contact for many years. She hopes that her sister can return to Hong Kong to see her father even if her sister has fallen out with him many years ago.",75,unexpected reunion,2019
2115,7.1,Basava Shankar Eeday,Basava Shankar Eeday,"Hari and Harathi are in love, but Harathi's father won't agree to their relationship because of their caste differences.",133,evvarikee cheppoddu,2019
2116,-,Rose Mani,-,-,-,saaral,2019
2117,7.2,Shiladitya Moulik,"['Shiladitya Moulik', 'Joeeta Sengupta']","After facing multiple rejections in matrimony, Tuku agrees to learn knitting when insisted by a prospective mother-in-law, only to rediscover her life and relationships.",118,sweater,2019
2118,3.4,Ravi Babu,"['Ravi Babu', 'Satyanand']","After losing their first child in an accident, a couple moves to a palatial home, where their young daughter comes under the spell of an eerie spirit.",110,aaviri,2019
2119,4.5,Hemanth Karthik,-,Gautham is an orphan raised by an Army major in Vizag. Swapna is a college student from Hyderabad who loses the diary that Gautham finds. How he manages to impress her forms the rest of the tale.,126,malli malli chusa,2019
2120,-,Eric Bu,Gilles Dyrek,"A dying man hires professional actors to impersonate his real life family ,with chaotic results, in this quirky comedy drama.",85,le retour de richard 3 par le train de 9h24,2019
