,titulo,anio,puntuacion_rotten
476,Running with Scissors,2006,32
477,Ein Freund von mir,2006,
478,Riisuttu mies,2006,
479,American Stag,2006,
480,The Best of Robbers,2006,
481,Volver,2006,91
482,Enfermés dehors,2006,
483,Fay Grim,2006,47
484,Fauteuils d'orchestre,2006,
485,Brand Upon the Brain! A Remembrance in 12 Chapters,2006,
486,Un ticket pour l'espace,2006,
487,Forgiving the Franklins,2006,60
488,The Beach Party at the Threshold of Hell,2006,67
489,Expiration Date,2006,63
490,One Last Dance,2006,58
491,Splinter,2006,43
492,Another Gay Movie,2006,50
493,Leiutajateküla Lotte,2006,
494,Slippery Slope,2006,18
495,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,
496,Scorpius Gigantus,2006,0
497,Ruudi,2006,
498,Driving Lessons,2006,48
499,Nail Polish,2006,
500,Hot Tamale,2006,36
501,Two Weeks,2006,19
502,Kráska v nesnázích,2006,
503,Les bronzés 3: amis pour la vie,2006,
504,Bye Bye Harry!,2006,
505,Offset,2006,30
506,Rescue Rocket X-5,2006,
507,Alien Incursion,2006,
508,L'homme qui rêvait d'un enfant,2006,
509,As You Like It,2006,36
510,Sheitan,2006,
511,Quatre étoiles,2006,
512,La doublure,2006,
513,Se Eu Fosse Você,2006,
514,Kummelin Jackpot,2006,
515,RV,2006,24
516,Dead Long Enough,2006,
517,Siren,2006,-
518,Call Me Agostino,2006,
519,Pieces of Eight,2006,
520,Halal Harry,2006,
521,Little Miss Sunshine,2006,91
522,Premium,2006,88
523,Buddha Wild: Monk in a Hut,2006,-
524,Suburban Mayhem,2006,20
525,"Young, Single & Angry",2006,6
526,L'entente cordiale,2006,
527,Ik omhels je met 1000 armen,2006,
528,The Waiters,2006,
529,In a Day,2006,65
530,Who Made the Potatoe Salad?,2006,76
531,She's the Man,2006,44
532,Sex & Sushi,2006,
533,The Santa Clause 3: The Escape Clause,2006,17
534,Komm näher,2006,
535,Studs,2006,57
536,No. 2,2006,58
537,Love and Other Disasters,2006,20
538,The Break-Up,2006,34
539,Azuloscurocasinegro,2006,
540,Circus Camp,2006,
541,The Breed,2006,27
542,Comeback Season,2006,
543,January 2nd,2006,
544,Beer League,2006,29
545,The Groomsmen,2006,53
546,Ways of the Flesh,2006,
547,Hoot,2006,26
548,Lage Raho Munna Bhai,2006,90
549,Madea's Family Reunion,2006,26
550,Célibataires,2006,
551,Locos por el sexo,2006,
552,Outside Sales,2006,50
553,Un mundo maravilloso,2006,
554,Dikkenek,2006,82
555,The Elder Son,2006,35
556,Jaan-E-Mann: Let's Fall in Love... Again,2006,
557,Grandma's Boy,2006,-
558,Blind Dating,2006,25
559,Incontrôlable,2006,67
560,Let's Go to Prison,2006,13
561,Va a ser que nadie es perfecto,2006,
562,Garfield 2,2006,
563,Frostbiten,2006,
564,Surf School,2006,18
565,Church Ball,2006,17
566,Nacho Libre,2006,40
567,John Tucker Must Die,2006,28
568,Evil Behind You,2006,
569,El ratón Pérez,2006,
570,The Devil Wears Prada,2006,75
571,The Other Half,2006,18
572,Mixed Doubles,2006,67
573,Are You Ready for Love?,2006,44
574,Turn Left,2006,
575,Scoop,2006,41
576,El boquete,2006,
577,The Holiday,2006,50
578,Marta's Sex Tape,2006,
579,Atina & Herakles,2006,
580,The Junior Defenders,2007,47
581,Tortilla Heaven,2007,25
582,The Bros.,2007,33
583,Rush Hour 3,2007,17
584,Hollywood Dot Com,2007,
585,The Man Who Would Be Queen,2007,
586,Marigold,2007,30
587,"So, You've Downloaded a Demon",2007,
588,The Chosen One,2007,46
589,Kottentail,2007,
590,Uncle P,2007,85
591,Beyond Baklava: The Fairy Tale Story of Sylvia's Baklava,2007,
592,Red Is the Color of,2007,62
593,Tijuana Makes Me Happy,2007,
594,For Pete's Wake!,2007,
595,Ratatouille,2007,96
596,Pistoleros,2007,
597,King of California,2007,63
598,Bee Movie,2007,50
599,Go Go Tales,2007,70
600,Viva,2007,60
601,Meet the Robinsons,2007,67
602,God Only Knows!,2007,
603,Gardener of Eden,2007,33
604,Wild Girls Gone,2007,87
605,The Heartbreak Kid,2007,29
606,Evan Almighty,2007,24
607,Mama's Boy,2007,8
608,Shrek the Third,2007,42
609,Martian Child,2007,
610,Mattie Fresno and the Holoflux Universe,2007,
611,The Cake Eaters,2007,64
612,Corazón marchito,2007,
613,Donkey Xote,2007,16
614,S. O. S. - Spasite nase duse,2007,
615,Mr. Woodcock,2007,14
616,In the Land of Women,2007,44
617,Latin Divas of Comedy,2007,
618,Are We Done Yet?,2007,7
619,Pusinky,2007,
620,Music Within,2007,33
621,Surf's Up: Een Oceanimatiefilm,2007,
622,Hot Fuzz,2007,91
623,Balls of Fury,2007,21
624,Video Kings,2007,
