titulo,anio,puntuacion,id
Woman on Top,2000,35,tt0206420
Abschied - Brechts letzter Sommer,2000,,tt0206608
Psycho Beach Party,2000,54,tt0206226
Family Jewels,2000,,tt0208376
The Big Thing,2000,,tt0207337
Time Share,2000,60,tt0207161
Si fa presto a dire amore...,2000,,tt0206128
Chump Change,2000,45,tt0208050
How to Kill Your Neighbor's Dog,2000,59,tt0207524
La lingua del santo,2000,,tt0206093
Fast Food Fast Women,2000,,tt0206742
Liberate i pesci!,2000,,tt0206087
Sexo por compasión,2000,,tt0208675
Tobia al caffè,2000,,tt0206351
"A Girl, Three Guys, and a Gun",2000,,tt0207745
Happy Accidents,2000,70,tt0208196
Maybe Baby,2000,50,tt0206926
C'era un cinese in coma,2000,,tt0208026
Snatch,2000,74,tt0208092
Downtown 81,2000,79,tt0208993
Big Momma's House,2000,30,tt0208003
Skipped Parts,2000,60,tt0209322
"Jails, Hospitals & Hip-Hop",2000,88,tt0210130
In the Weeds,2000,54,tt0210756
Relative Values,2000,20,tt0210943
Welcome Albania,2000,,tt0210383
Iedereen beroemd!,2000,,tt0209037
Beautiful,2000,17,tt0210567
Bootmen,2000,39,tt0210584
La vie après l'amour,2000,,tt0211103
102 Dalmatians,2000,30,tt0211181
Anna,2000,33,tt0211200
Les acteurs,2000,,tt0211900
Terror Tract,2000,60,tt0211661
Gouttes d'eau sur pierres brûlantes,2000,,tt0211387
Big Eden,2000,64,tt0212815
Byron Bay,2000,,tt0212820
Meet the Parents,2000,85,tt0212338
Obstacles,2000,84,tt0213127
João Mata Sete,2000,,tt0212261
Miss Congeniality,2000,41,tt0212346
Angst,2000,,tt0211919
Bait,2000,26,tt0211938
100 Girls,2000,60,tt0214388
Citizen Toxie: The Toxic Avenger IV,2000,60,tt0212879
Pere,2000,,tt0213996
Very Mean Men,2000,,tt0214277
The Ladies Man,2000,11,tt0213790
Rugrats in Paris: The Movie - Rugrats II,2000,,tt0213203
Bored Silly,2000,,tt0214548
Dropping Out,2000,,tt0214646
L'extraterrestre,2000,,tt0215757
Table One,2000,44,tt0215232
Road Trip,2000,57,tt0215129
Faith and the Water Dog,2000,,tt0214683
Jubilee,2000,100,tt0215880
Le libertin,2000,,tt0214878
Carmelo y yo,2000,,tt0215596
Sur un air d'autoroute,2000,,tt0215223
The Martini Shot,2000,,tt0215972
Mulligan,2000,50,tt0216011
Bamboozled,2000,53,tt0215545
Cowboys and Angels,2000,61,tt0215679
...und das ist erst der Anfang,2000,,tt0215458
Wild About Harry,2000,,tt0216279
Postmark Paradise,2000,40,tt0216105
Deuxième vie,2000,,tt0216522
Le conte du ventre plein,2000,,tt0216587
The Wog Boy,2000,75,tt0216417
Amazone,2000,,tt0216890
Erkan & Stefan,2000,,tt0216741
30 ans,2000,,tt0216523
"Harry, un ami qui vous veut du bien",2000,,tt0216800
La bostella,2000,,tt0216590
Dead Babies,2000,50,tt0218138
Sandy Hook Lingerie Party Massacre,2000,,tt0217780
Secret Society,2000,33,tt0217788
Family Audit,2000,,tt0217477
An Everlasting Piece,2000,48,tt0218182
Tout est calme,2000,,tt0216941
Ça ira mieux demain,2000,,tt0217168
Il segreto del giaguaro,2000,,tt0217037
La vache et le président,2000,,tt0217116
En vacances,2000,,tt0216735
Le prof,2000,,tt0216983
The Convent,2000,64,tt0217331
Looking for Alibrandi,2000,78,tt0217629
Ropewalk,2000,,tt0218561
The Closer You Get,2000,32,tt0218112
Loser,2000,24,tt0217630
Le goût des autres,2000,,tt0216787
Washed Up,2000,,tt0217884
Samotári,2000,,tt0219288
Ready to Rumble,2000,23,tt0217756
Nothing But the Truth,2000,82,tt0216949
Marine Life,2000,,tt0218426
The Kid,2000,44,tt0219854
My 5 Wives,2000,0,tt0216930
Room to Rent,2000,33,tt0218559
Jet Set,2000,9,tt0216841
Waydowntown,2000,70,tt0219405
Get Your Stuff,2000,29,tt0218298
Some Voices,2000,40,tt0218616
Meilleur espoir féminin,2000,,tt0216911
The Night Larry Kramer Kissed Me,2000,50,tt0219210
Family Man,2000,,tt0218967
Best in Show,2000,93,tt0218839
When Brendan Met Trudy,2000,60,tt0220157
Lucky Numbers,2000,23,tt0219952
Stainless Steal,2000,,tt0220066
Desi's Looking for a New Girl,2000,,tt0219643
The Tigger Movie,2000,62,tt0220099
Drop Back Ten,2000,,tt0220399
G-Men from Hell,2000,,tt0221197
Two Thousand and None,2000,88,tt0218800
The Most Fertile Man in Ireland,2000,44,tt0220652
Robbers,2000,,tt0220734
Walk the Talk,2000,,tt0221691
Denti,2000,,tt0221115
Bel Air,2000,,tt0221823
Beautiful Creatures,2000,38,tt0221889
The Broken Hearts Club: A Romantic Comedy,2000,,tt0222850
Phir Bhi Dil Hai Hindustani,2000,56,tt0222270
A Good Burn,2000,,tt0223379
The Widower,2000,,tt0224394
Cours toujours,2000,,tt0224807
Saltwater,2000,,tt0224050
21,2000,17,tt0224451
