puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,id_pelicula
,-,"['Billy Louviere', 'Todd Voltz']","['Billy Louviere', 'Todd Voltz']","Frank Pull is a cop on the edge. Booted off his latest case and facing the abduction of his favorite teenage niece by a mysterious villain, Frank must team with his friend Carto Azul, a man with a mask and a past. Together Frank and Carto lay down the law the only way they know how... One fist on the bottle, one fist in the face.",-,Accion,fuego con fuego,tt2263236
,-,Emilio Schargorodsky,Emilio Schargorodsky,-,13,Accion,33b7: the way of the dragon,tt2450236
,-,Alan Miller,Alan Miller,"TV series 'Wildcop' is returning to produce more episodes, but ""Wildcop' Dan Ray hesitates in sorrow because of his longterm love affair with his costar Cindi and her death.",8,Accion,wildcop,tt2456888
,-,Dirk Collins,-,"LOS ALAMOS takes us on a trip to Never-Never Land, documenting the year with the world's top freestylers. See Candide Thovex, Les Trois Phillips, Jonny Moseley, Evan Raps, Tanner Hall, the Collins brothers and many more of the illustrious new school air squadron seeking out the best venues from huge back country gaps, Gravity & X-Games, camp footage, terrain park madn... Leer todo",30,Accion,los alamos,tt2728724
,-,Anthony Begonia,Anthony Begonia,-,-,Accion,singers,tt2739838
-,-,Julian Ashton,"['Julian Ashton', 'Thomas Meadmore']",-,17,Accion,dangerman,tt2794602
-,-,Jon Lucas,Jon Lucas,-,10,Accion,culture,tt2905630
,-,David Chai,David Chai,"A computer genius is the hapless target of a gang of racist bullies. To deal with this he writes a computer program to change reality. When he initiates it by accident, things don't work out quite as he expects.",14,Accion,new reality,tt3148900
,-,Ana Torres-Alvarez,Ana Torres-Alvarez,"Un homme et une femme (a man and a woman) are having an affair when Wesley, her husband, arrives.",3,Accion,twisting la nouvelle vague,tt3433672
,-,Shumaï Chou,-,-,-,Accion,rare but alike,tt3852058
53,-,Adam Rackoff,Adam Rackoff,-,6,Accion,the assault,tt4151038
,-,Jonathan Pezza,Jonathan Pezza,"In a post-apocalyptic future, mankind has rebuilt a single city. Two warriors trained from birth only to serve, are selected to duel to the death in order to resolve the differences of their master's opposing factions, and protect the innocent from all out war.",-,Accion,urban samurai,tt4412166
,-,-,-,Reparto principal,-,Accion,husna di sarkar,tt4907056
,-,Juan Evers,Juan Evers,-,16,Accion,el interminable submarino amarillo,tt5832408
,-,Marc Boyer,Marc Boyer,"A professional killer enter in an elevator for execute a man, unfortunately his mission is impossible..",4,Accion,tu ne tueras point... euh... juste un petit peu,tt5973004
,-,John Upchurch,Darren Koons,"On his 10th birthday, a boy makes a wish.",5,Accion,i wish i were wyatt earp,tt5994524
,-,Jono Decker,Jono Decker,Indy and Short Round battle the baddies and learn about Latter-day scripture in this unofficial fan-film.,40,Accion,indiana jones and the search for eternal joy,tt6263530
,8.2,Genndy Tartakovsky,Genndy Tartakovsky,Experience the genesis of Samurai Jack in a short animation test.,3,Accion,samurai jack: digital animation test,tt6466268
,-,Matt Routledge,Matt Routledge,-,1,Accion,the car wash,tt8862592
,-,"['Raul Allikivi', 'Kaaren Kaer', 'Andres Korberg']",-,-,23,Accion,attack of the killer beer-yoghurt 2,tt8523696
,-,Stephen Groo,Stephen Groo,"A cheesy comedy action on how a man shouldn't be disturbed while eating a TV dinner for lunch. However, Bruce finds out a renegade disciple from his old master is out for his life.",14,Accion,don't disturb my lunch,tt8601756
,-,-,Nobuhiro Watsuki,A series of outtakes on the USA Rurouni Kenshin DVD Vol. 8: Battle in the Moonlight.,-,Accion,rurouni kenshin: volume 2: battle in the moonlight - outtakes,tt8906694
,-,Roberto Navarro,-,-,-,Accion,pulled over,tt7792824
,5.6,PES,PES,First short of the Oscar nominated director PES.,1,Accion,dogs of war,tt9383112
,-,Jan Manthey,Jan Manthey,Classic horror action. Will Professor Shatner succeed in his plan to take over the world with an army of 'She-Apes'? Can the enigmatic Inspector Zucker defeat him? Find out in the low budget trash epic from the mind of Jan Manthey.,20,Accion,inspector zucker vs. gorgo,tt8220376
,-,Ken Fischman,Ken Fischman,"Inner-city Store owner Mark and Gang banger Semaj, wake up disoriented, beat up and near death. It a race against time before they succumb to their injuries and hot on their trail is the vicious gang that left them for dead.",20,Accion,straight outta da woodz,tt8466124
,-,Jack Venturo,"['Eddie Stover', 'Kitt Tran', 'Jack Venturo']","""Tests of Will"" was made in 2000 to be a movie within the movie ""Lost in the Wilderness"" (2000). In the movie the Character Georges is obsessed with his favorite late action hero from the 60's and 70's Kitt Lee who was a kungfu master.",3,Accion,tests of will,tt8713534
,-,Scott Morse,Brian Michael Bendis,-,3,Accion,jinx,tt17051642
,-,Jeffrey Doornbos,Jeffrey Doornbos,-,6,Accion,fear of flying,tt19394036
,-,Eric Cherrière,"['Eric Cherrière', 'Math Saliva']","On the Mongolian border, in troubled times that historians and clerics have never mentioned in their epic tales, the Central Asian clans have fought each other, sowing chaos and desolation, helped by the Gweilos, their foreign mercenaries.",33,Accion,gweilo,tt27620505
,-,Vicky Shen,Vicky Shen,"A crying baby is left out of a hidden shelter, and ironically saves his own life when the shelter is blown-up by American soldiers in Vietnam. The baby is brought to America only to become a soldier in another generation of war.",9,Accion,the killing seasons,tt0113545
,6.7,Mario Avila,Mario Avila,True story about two Mexican students who were shot and killed by Oklahoma police officers in June of 1931. Made international news when it was discovered that one of the students that was killed was the son of the President of Mexico.,-,Accion,oklahoma tragedy,tt0269654
,-,Jaroslav Kasal,Jan Lipsansky,-,40,Accion,ortel,tt0273928
64,7.9,Tyler Spangler,Tyler Spangler,"An unhappily married woman and her naive lover plot to murder her abusive husband. Unfortunately, their plan completely unravels, and they soon find themselves trapped by their own ill-conceived scheme. A gripping suspense thriller, told in real time.",9,Accion,killing time,tt0279902
68,6.8,Ang Lee,David Carter,-,6,Accion,chosen,tt0283994
,7.9,Leone Marucci,Leone Marucci,-,-,Accion,meddle and steal,tt0282354
66,7.0,John Frankenheimer,Andrew Kevin Walker,-,6,Accion,ambush,tt0283875
,9.0,Brian Joe,"['Brian Joe', 'Andre Sala']","In the near future where pencils and paper are prohibited, Trenton needs a NO. 2 pencil. He's almost done with the last chapter of a manifesto. But in a world where the sharing of ideas is under strict government regulation, this proves to be a daunting task. Culver, a young aspiring writer, runs an underground business selling illegal contraband to rebels like himsel... Leer todo",-,Accion,no2,tt0284336
,7.3,Kar-Wai Wong,Andrew Kevin Walker,-,8,Accion,the follow,tt0285104
,6.6,Daniel Kash,Hayley Tyson,"Germgirl is an urban superhero-with a slight phobia. Harnessing her superior physical and mental versatility, she navigates the treacherous terrain of everyday life, all the while masking her prowess behind the facade of 'plain Jane'.",5,Accion,germgirl,tt0286647
,5.8,Mark Wilkinson,Mark Wilkinson,"Salvatore and Angela are two of the toughest killers in the business - the family business. When their stolen car breaks down on the way to a hit, this tale of two hot-headed Italians (with a few too many guns) erupts.",12,Accion,sally and angela,tt0286033
81,7.6,Guy Ritchie,"['Guy Ritchie', 'Joe Sweet']",The Driver carries an arrogant rock star who wants to get away from her bodyguards in the Driver's BMW.,7,Accion,star,tt0286151
75,7.5,Alejandro G. Iñárritu,"['David Carter', 'Alejandro G. Iñárritu', 'Guillermo Arriaga']","January 13, 2001. Times war photographer Harvey Jacobs is wounded while witnessing a massacre at Nuevo Colon by terrorists. In a desperate effort, the United Nations sends a vehicle to get him out, a BMW driven by the mysterious Driver.",8,Accion,powder keg,tt0285930
20,-,Lasha Dardagany,Lasha Dardagany,"George 'Gio' Baratelli travels back to his hometown of Tbilisi, only to find his Godfather Archil has been died. During this visit, George realizes that the death of his Godfather was not accidental, but a murder. With this knowledge, George sets out to find all those responsible. Unable to be helped by Natalie, his childhood friend and a granddaughter of his Godfathe... Leer todo",10,Accion,day of reckoning,tt0289262
20,-,Lasha Dardagany,Lasha Dardagany,"George 'Gio' Baratelli travels back to his hometown of Tbilisi, only to find his Godfather Archil has been died. During this visit, George realizes that the death of his Godfather was not accidental, but a murder. With this knowledge, George sets out to find all those responsible. Unable to be helped by Natalie, his childhood friend and a granddaughter of his Godfathe... Leer todo",10,Accion,day of reckoning,tt13820828
,-,Emily Weissman,"['Emily Weissman', 'Clark Westerman']",-,-,Accion,she-bat,tt0287691
,7.2,Ben Elia,Ben Elia,Holograms engage in a battle against a cube.,5,Accion,avatars,tt0292943
,7.7,Damien Caldwell,Aaron Brown,-,12,Accion,lincoln and 31st,tt0293351
8,7.1,Paul Budnitz,Paul Budnitz,A lonely hitman known only as the Watcher is addicted to a drug supplied by his employers. He follows a girl home one night...,14,Accion,ultraviolet,tt0293965
,5.6,Nash Edgerton,"['Joel Edgerton', 'Nash Edgerton']",A young filmmaker pitches his latest masterpiece.,3,Accion,the pitch,tt0303378
,5.6,Nash Edgerton,"['Joel Edgerton', 'Nash Edgerton']",A young filmmaker pitches his latest masterpiece.,3,Accion,the pitch,tt26659709
,6.5,Maurice A. Dwyer,Maurice A. Dwyer,An urban opera about a man in the wrong place at the wrong time.,7,Accion,whoa,tt0303291
,6.7,Jalmari Helander,"['Jalmari Helander', 'Juuso Helander', 'Kalle Määttä']","A scientist who became radioactive in an accident at a research center is framed by a large corporation, leading to a crusade to bring down the corporation and get revenge.",22,Accion,ukkonen,tt0307604
,7.3,Graham Elwood,"['Timothy A. Bennett', 'Graham Elwood']",A Featured Short Film Presentation.,15,Accion,hello junkie,tt0317347
,6.2,Chris Bailey,-,"A glimpse into a little boy's obsession with the genetically engineered superhero, Major Damage.",3,Accion,major damage,tt0317890
,7.9,Douglas Horn,Douglas Horn,"When two filmmakers discover their blockbuster is really just a bust, they cut together every half-decent shot into a misleading trailer to dupe audiences and save their careers.",9,Accion,trailer: the movie!,tt0320652
,6.0,David Sarrio,David Sarrio,A young man looses his eyesight recognizer his power of extreme speed and sensitivity,6,Accion,daredevil: the teaser,tt0325223
,4.6,Christo Garcia,Christo Garcia,"It's the 1970's...disco, big hair, bell bottoms, and the internet is still in it's infancy. This is the story of how Morpheus became the one...who would find...the one.",35,Accion,that 70's matrix,tt0339779
