puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,anio
5.5,Lee Daniels,Will Rokos,"When an assassin is diagnosed with terminal cancer, she decides to carry out one final killing, assisted by her lover and stepson, Mikey.",93,Accion,shadowboxer,2005
2.9,Peter Sullivan,"['Max Miller', 'Kasim Saul']","Street fighter Victor Knox (Andre McCoy), just freed from prison, needs money to be re-united with his wife and child. When invited to join an underground fight tournament promising easy cash, he quickly signs up. Under constant surveillance by virtual spectators, the matches becomes increasingly violent; Vic soon finds himself held captive in a game of endless fighti... Leer todo",90,Accion,game over,2005
5.0,James Seale,"['Neil Elman', 'James Seale']","Every day, millions of people descend into underground parking garages, get into their cars and drive to the safety of their homes. But tonight, five levels down in a deserted corporate parking structure, financial analyst Tom Weaver won't be going home. After finishing a late night business deal, Tom arrives at section E5 of the garage only to discover his car won't ... Leer todo",86,Accion,throttle,2005
6.3,Jean-François Richet,"['John Carpenter', 'James De', 'Monaco']",-,109,Accion,assault on precinct 13,2005
6.8,Michael Bay,"['Caspian Tredwell-Owen', 'Alex Kurtzman', 'Roberto Orci']",-,136,Accion,the island,2005
4.1,Kelly Schwarze,Edward Dentzel,"An independent filmmaker, Kevin Sanderson, has his best screenplay stolen by Hollywood uber producer Robert Wynn. Now the film is coming out and Kevin schemes with his old cast and crew to steal the premiere print and get his rightful credit.",105,Accion,the indie pendant,2005
5.4,Laurits Munch-Petersen,"['Laurits Munch-Petersen', 'Lars Andreas Pedersen']",-,80,Accion,ambulancen,2005
7.6,Andrew Niccol,Andrew Niccol,-,122,Accion,lord of war,2005
5.5,Les Mayfield,"['Jim Piddock', 'Margaret Oberman', 'Stephen Carpenter']",-,83,Accion,the man,2005
7.4,David Cronenberg,"['John Wagner', 'Vince Locke', 'Josh Olson']",-,96,Accion,a history of violence,2005
5.8,Sturla Gunnarsson,"['Anonymous', 'Andrew Rai Berzins']",-,104,Accion,beowulf & grendel,2005
5.4,Karyn Kusama,"['Phil Hay', 'Matt Manfredi', 'Peter Chung']",-,93,Accion,æon flux,2005
6.1,Xavier Durringer,"['Véra Belmont', 'Dida Diafat', 'Xavier Durringer']",The Biography of an incarcerated petty thief receiving a Second Chance. To become the first foreigner to become Muay Thai World Champion. An intimate immersion into the Muay Thai Art of fighting. Shot for over 5 months in Thailand and in the best Muay Thai Training Camp. Dida is playing himself fighting against the actual Muay Thai Champions. Real fights filmed live i... Leer todo,105,Accion,chok-dee,2005
2.2,A. Raven Cruz,A. Raven Cruz,"When ""The One"" dies, Orpheum must find the ""Other One.""",97,Accion,the helix... loaded,2005
5.1,Bruce Hunt,"['Michael Steinberg', 'Tegan West']",-,97,Accion,the cave,2005
4.3,Steve Boyum,"['Ken Solarz', 'Bart Baker', 'Keith Alan Bernstein']",-,80,Accion,supercross,2005
6.4,Tony Giglio,Tony Giglio,-,106,Accion,chaos,2005
4.5,Damon Dash,"['Blue Moreno', 'Damon Dash']","Three Philadelphia-based gangstas -- Beans, Dame and Loco -- are on a collision course with one another for turf. Alliances are forged and broken and lifelong friendships end in violence as each crime lord schemes to get the upper hand.",94,Accion,state property 2,2005
6.3,Jon Favreau,"['Chris Van Allsburg', 'David Koepp', 'John Kamps']",-,101,Accion,zathura: a space adventure,2005
5.2,"['Shinji Higuchi', 'Cellin Gluck']","['Harutoshi Fukui', 'Satoshi Suzuki']",A drama set during World War II where a submarine carrying a secret weapon attempts to stop a planned third atomic bombing of Japan. Based on Harutoshi Fukui's novel Shuusen no Lorelei.,128,Accion,lorelei,2005
4.2,Eduardo Barraza,Adolfo Franco,-,111,Accion,la sombra del sahuaro,2005
6.5,Steven Spielberg,"['Josh Friedman', 'David Koepp', 'H.G. Wells']",-,116,Accion,war of the worlds,2005
