,0,1,2
321,C.R.A.Z.Y.,2005,100
322,Say Uncle,2005,16
323,Beowulf & Grendel,2005,50
324,Chok-Dee,2005,
325,The Big White,2005,30
326,L'empire des loups,2005,
327,De kleine ijsbeer: Het geheimzinnige eiland,2005,
328,The Great New Wonderful,2005,73
329,East of Sunset,2005,
330,Unge Andersen,2005,
331,At Last,2005,0
332,The New World,2005,63
333,Casanova,2005,45
334,Supercross,2005,
335,Chaos,2005,57
336,Last Days,2005,
337,Les mauvais joueurs,2005,
338,State Property 2,2005,14
339,The Sisterhood of the Traveling Pants,2005,82
340,La migra,2005,
341,The Notorious Bettie Page,2005,58
342,Silicon Valley,2005,94
343,Solkongen,2005,
344,El camino del diablo,2005,
345,Nordkraft,2005,
346,Roll Bounce,2005,66
347,The Ape,2005,26
348,Everything Is Illuminated,2005,66
349,The Exorcism of Emily Rose,2005,45
350,Chasing Ghosts,2005,36
351,Rosas rojas... rojas,2005,
352,Sametoví vrazi,2005,
353,E ridendo l'uccise,2005,
354,Nearing Grace,2005,48
355,Loggerheads,2005,74
356,The Deal,2005,21
357,Barfuss,2005,
358,Stestí,2005,
359,Weiße Stille,2005,
360,"The Prize Winner of Defiance, Ohio",2005,60
361,A Year and a Day,2005,
362,The Chumscrubber,2005,37
363,Dobro ustimani mrtvaci,2005,
364,Lorelei,2005,90
365,La sombra del sahuaro,2005,
366,Transamerica,2005,77
367,Le survenant,2005,
368,Krev zmizelého,2005,
369,Sílení,2005,
370,Our Very Own,2005,42
371,The Sisters,2005,29
372,Satellite,2005,71
373,Príbehy obycejného sílenství,2005,
374,Voksne mennesker,2005,
375,Raul - Diritto di uccidere,2005,
376,The Mistress of Spices,2005,11
377,Lost in the Wash,2005,
378,Munich,2005,78
379,Knetter,2005,
380,Alex,2005,
381,Wrong Turn,2005,40
382,Flightplan,2005,37
383,Come Away Home,2005,63
384,New Town Original,2005,
385,Les poupées russes,2005,
386,The King Maker,2005,8
387,White Nights,2005,46
388,Shabd,2005,47
389,La noche del hermano,2005,
390,Marilyn Hotchkiss' Ballroom Dancing & Charm School,2005,
391,Resurrection: The J.R. Richard Story,2005,
392,Lying in Bed,2005,
393,La petite Chartreuse,2005,
394,On a Clear Day,2005,69
395,Oublier Cheyenne,2005,
396,Hustle & Flow,2005,82
397,Broken Flowers,2005,87
398,The Mighty Celt,2005,71
399,The Dark,2005,40
400,Tideland,2005,30
401,Yatna,2005,
402,Mi Mejor Enemigo,2005,
403,Tre giorni di anarchia,2005,
404,Slingshot,2005,12
405,All the Invisible Children,2005,71
406,Black Days,2005,
407,Breakfast on Pluto,2005,58
408,Being Cyrus,2005,76
409,Burt Munro: The World's Fastest Indian,2005,
410,Como mariposas en la luz,2005,
411,L'annulaire,2005,
412,De battre mon coeur s'est arrêté,2005,
413,Anthony Zimmer,2005,63
414,WTC View,2005,57
415,Desolation Sound,2005,38
416,Mrs. Henderson Presents,2005,68
417,Durch diese Nacht sehe ich keinen einzigen Stern,2005,
418,Orlando Vargas,2005,
419,The War Within,2005,71
420,What's Bugging Seth,2005,-
421,A porcelánbaba,2005,
422,Pride & Prejudice,2005,87
423,Der grosse Schlaf,2005,
424,Souled Out,2005,
425,Az igazi Mikulás,2005,
426,Sulanga Enu Pinisa,2005,
427,Greener Mountains,2005,64
428,Heart of the Beholder,2005,83
429,Me and You and Everyone We Know,2005,82
430,Beed-e majnoon,2005,
431,Believers Among Us,2005,
432,Puritan,2005,32
433,Kinamand,2005,
434,Les yeux clairs,2005,70
435,37 og et halvt,2005,
436,River's End,2005,63
437,Dus,2005,64
438,The Unseen,2005,40
439,Off Screen,2005,65
440,Vinterkyss,2005,
441,Wassup Rockers,2005,37
442,Boy s tenyu,2005,
443,Para que no me olvides,2005,
444,Pobeg,2005,
445,Amu,2005,82
446,Azucena,2005,
447,The Quiet,2005,22
448,Marock,2005,62
449,Man of God,2005,92
450,Match Point,2005,77
451,Lemming,2005,72
452,American Gun,2005,39
453,Hate Crime,2005,6
454,Red Doors,2005,64
455,Crazylove,2005,56
456,God Wears My Underwear,2005,
457,Dishdogz,2005,52
458,Don't Tell,2005,25
459,Room,2005,69
460,Belhorizon,2005,
461,Le temps qui reste,2005,
462,Confession,2005,71
463,Kontakt,2005,80
464,12 and Holding,2005,
465,9th Company,2005,69
466,Les mots bleus,2005,
467,L'avion,2005,
468,Two for the Money,2005,22
469,Judíos en el espacio (o por que es diferente esta noche a las demás noches),2005,
470,Hank Williams First Nation,2005,40
471,Factotum,2005,74
472,The Hangman,2005,44
473,Little Athens,2005,40
474,Cruel But Necessary,2005,
475,Quando sei nato non puoi più nasconderti,2005,
476,The Promise,2005,
477,Adams æbler,2005,
478,Manuale d'amore,2005,74
479,Die Hitlerkantate,2005,
480,Neverwas,2005,14
481,Un año sin amor,2005,
482,La maison de Nina,2005,73
483,Lie with Me,2005,50
484,Chromophobia,2005,31
485,Rounding First,2005,
486,Hijas de su madre: Las Buenrostro,2005,
487,My Brother... Nikhil,2005,
488,Unkenrufe,2005,
489,Steal Me,2005,
490,Shooting Dogs,2005,85
491,Treasure n tha Hood,2005,33
492,Adam Meets Eve,2005,
493,Turning Green,2005,42
494,Schläfer,2005,
495,Revati,2005,
496,Portrait of Eve,2005,
497,El sueño del regreso,2005,
498,El aura,2005,
499,Ma quando arrivano le ragazze?,2005,65
500,Master i Margarita,2006,
501,Seven Days of Grace,2006,
502,Viúva Rica Solteira Não Fica,2006,
503,Children of Men,2006,92
504,False Prophets,2006,
505,.45,2006,
506,Love Is the Drug,2006,60
507,Mothers and Daughters,2006,18
508,Obsluhoval jsem anglického krále,2006,
509,Chile 672,2006,
510,Down the Road,2006,
511,An Existential Affair,2006,
512,Bobby,2006,47
513,Statistics,2006,
514,Humko Tumse Pyaar Hai,2006,
515,30 Days,2006,
516,Loving Annabelle,2006,77
517,"Arrivederci amore, ciao",2006,
518,Neil's Party,2006,
519,Jeonjaeng geu ihu,2006,
520,Detroit,2006,20
521,Sweet Deadly Dreams,2006,
522,Meteoro,2006,
523,Open Window,2006,20
524,The Good Shepherd,2006,56
525,Tajnata kniga,2006,
526,Freedomland,2006,24
527,Day of Wrath,2006,25
528,Der Liebeswunsch,2006,
529,Year One,2006,14
530,The Science of Sleep,2006,70
531,Darklovestory,2006,
532,Agua,2006,
533,Stvar srca,2006,
534,10th & Wolf,2006,
535,Ne le dis à personne,2006,
536,The Deep and Dreamless Sleep,2006,
537,Whirlygirl,2006,42
538,Art School Confidential,2006,36
539,Shortbus,2006,69
540,Sea of Dreams,2006,43
541,Stalin,2006,72
542,Mi fiesta de casamiento,2006,
543,Lirkod,2006,
544,Rampage: The Hillside Strangler Murders,2006,
545,Libertas,2006,
546,Tristan + Isolde,2006,
547,Stripped Down,2006,
548,Anime veloci,2006,
549,A-List,2006,
550,The Naked Ape,2006,
551,Love Comes to the Executioner,2006,50
552,Jindabyne,2006,65
553,Aimee Semple McPherson,2006,
554,Ask the Dust,2006,35
555,El destino,2006,
556,Glory Road,2006,55
557,The Black Dahlia,2006,32
558,Ghost Hunters: Point of Contact,2006,
559,Matti,2006,26
560,Click,2006,34
561,Zwartboek,2006,
562,Le temps des porte-plumes,2006,
563,Bekarov Yikre Lekha Mashehu Tov,2006,
564,Valley of Flowers,2006,73
565,Forget About It,2006,18
566,Sportman van de Eeuw,2006,
567,Sk8 Life,2006,
568,Alatriste,2006,17
569,Catch and Release,2006,22
570,Perfume: The Story of a Murderer,2006,59
571,Egyetleneim,2006,
572,Backwaters,2006,
573,Eight Below,2006,73
574,My Bollywood Bride,2006,31
575,The Celestine Prophecy,2006,4
576,The Last Drop,2006,21
577,Grad Night,2006,
578,Avril,2006,
579,Open Season,2006,49
580,"Paris, je t'aime",2006,86
581,A Good Year,2006,26
582,Bumer: Film vtoroy,2006,
583,Sólo Dios sabe,2006,
584,Americanese,2006,
585,Running Scared,2006,41
586,Perfect Creature,2006,36
587,Rang De Basanti,2006,89
588,The Absence of Light,2006,
589,A Scanner Darkly,2006,68
590,Even Money,2006,24
591,Little Children,2006,80
592,Maria an Callas,2006,
593,All the King's Men,2006,12
594,Southland Tales,2006,41
595,Das Leben der Anderen,2006,
596,Vestido de Noiva,2006,
597,The House,2006,97
598,The Guardian,2006,37
599,Full Grown Men,2006,44
600,The Departed,2006,91
601,A herceg haladéka,2006,
602,Az élet vendége: Csoma-legendárium,2006,
603,Elsa Letterseed,2006,
604,Cargo,2006,19
605,Last Sunset,2006,
606,Only the Brave,2006,49
607,Taxidermia,2006,81
608,The Alibi,2006,
