,puntuacion,datos_direccion,datos_guion,argumento,duracion_minutos,nombre_peli,anio_peli
1396,-,Noah Griffith,"['Justin Cameron', 'Geoff Dean', 'Noah Griffith']",-,3,shadows,2007
1397,-,Omar Mouldouira,Omar Mouldouira,"Once upon a time, lived by the ocean, Fatima and Messaoud, a newly wedded couple. Fatima thanked the heavens everyday for having given her a kind and honest husband. The fisherman, Messaoud dreamed of a better future, far beyond the horizon. But, leaving meant paying a heavy tribute to the smuggler: betraying the woman he loved...",8,messaoud,2007
1398,8.9,Jeff Frumess,"['Jeff Frumess', 'Noah Griffith', 'Trevor Scott']",A man pays the price for making a deal with a Devil.,7,a faustian tale,2007
1399,-,Iole Cappiello,Iole Cappiello,-,26,days of fall,2007
1400,-,Cesar Talamantes,Cesar Talamantes,-,27,olas de verano,2007
1401,-,['Michael Ajakwe Jr'],['Michael Ajakwe Jr'],-,28,"happy anniversary, punk!",2007
1402,-,Mikko Kuparinen,Mikko Kuparinen,"During the final moving day from their childhood home, adult brother and sister argue about what to do with an old piano. Soon they are interrupted in a surprisingly moving way.",10,muuttopäivä,2007
1403,5.0,['Jason A Drago'],['Jason A Drago'],A disturbing insight into one man's psychological struggle to overcome his social conditioning. His fears manifest into a chaotic premonition of the unavoidably nightmarish future.,-,4 shadows cast from confusion,2007
1404,-,Alessandro Marinelli,"['Francesco Galli', 'Alessandro Marinelli']",-,25,corsa sporca,2007
1405,3.7,Ryan Parrott,"['Nick Cotton', 'Erick Gosse', 'Steve Rad']","Jason Boyer is a loose-cannon special agent brought in by a narcotics task force to bring down De La Cruz crime family lieutenant Bobby Leoni. A rising star in the criminal underworld, Leoni excels at drug trafficking, a skill offset only by his weakness for the fairer sex, most notably the trophy wife of his crime lord boss, Nick De La Cruz.",93,loaded,2007
1406,-,"['Dana Buning', 'Christopher Zawadzki']",Christopher Zawadzki,"In the weeks following September 11th, a wayward drifter befriends a private investigator who is looking into the disappearance of a Middle Eastern man in a small New England town, an incident that might involve a local man who lost a brother at the World Trade Center.",24,since september,2007
1407,7.2,Matthew Linnell,Israel Horovitz,An immigration agent at Newark International Airport confronts an Iranian mother and her son. Based on the one act play by Israel Horovitz.,19,security,2007
1408,7.6,Matt Day,Matt Day,"Two girls, two boys, a game where nobody wins.",8,wish,2007
1409,8.0,['Anna Mc Roberts'],['Anna Mc Roberts'],"When the Wind Fisherman leaves Gust Town, the windiest place on earth, he discovers that sometimes you have to go away to know you were already home.",11,the wind fisherman,2007
1410,-,Taos Merad,Taos Merad,-,-,sad lisa,2007
1411,8.6,"['Ariel Adler', 'Sean Brust', 'Courtney Meyer']","['Ariel Adler', 'Sean Brust', 'De Veau Dunn']","Two detectives investigate a triple homicide, only to find out they're next on the killer's list.",5,trace,2007
1412,-,Peter Ladkani,"['Peter Ladkani', 'Christoph Zastrow']","The pedophile offender Mr. K. is prevented from jail through the professional statement of the psychologist Alexandra Pausch. Believing she has made the right decision, she closes her eyes towards the potential danger of her dangerous and charismatic patient. But as the horror steps into her own life, she realizes the careless appraisal of her diagnosis.",-,günstige prognose,2007
1413,7.6,Emma Pacilli,Emma Pacilli,"A woman stuck in a tragedy from the past, is forced to face the present as her husband tries to make her move on, causing her to contemplate what's left in her life.",12,in a moment,2007
1414,,,,,,till slut,2007
1415,6.4,Kevin Lau,Kevin Lau,"On New Year's Eve, a mysterious stranger holds a restaurant owner and his family hostage, seeking vengeance for an act committed exactly 24 years ago.",18,year of the dog,2007
1416,-,Jacqueline Landau,Jacqueline Landau,-,-,santa claus,2007
1417,-,Markus Wambsganss,-,-,8,the gift,2007
1418,6.3,Alexander Kugel,Alexander Kugel,A story of a self-interview.,14,neostorozhnost,2007
1419,-,"['Germ Castro', 'Federico Zaia']",Federico Zaia,-,23,rosario y el mar,2007
1420,8.0,Ander Duque,Ander Duque,A couple suffers a painful breakup.,8,sugus y brandy,2007
1421,7.4,David Canady,David Canady,The story of a British black man and woman finding love when they meet one evening in Brooklyn. A love that gets put to the test when they find out she's pregnant.,21,weekends in brooklyn,2007
1422,7.8,Michael Bryson,Michael Bryson,"A mother's jealousy, of her daughter's relationship with the father, becomes abusively hateful after the young girl accidentally causes the death of her father. Forced diapering and infantilism pushes the young girl to murder her mother and forces the young girl into years of darkness in a deepening guilt-driven psychosis.",22,redemption,2007
1423,-,Jimmy Martin,"['Dominic Fratto', 'Andrew Gillman', 'Andrew Dash Gillman']","The story follows Klaüs, a quiet wallpaper salesman who doesn't quite fit...anywhere. Wallpaper is his life, until he meets Sacha. A common bond is formed in Klaüs' world, but will it last?",7,klaüs,2007
1424,6.3,"['Jo Rui', 'Guerra Mata', 'Jo Pedro Rodrigues']","['Jo Rui', 'Guerra Mata']","China walks towards the Martim Moniz district, in Lisbon. When she passes the children scream: ""China, China!"". China is going to fly. To escape far away at dawn. She just wants to be happy. But China drinks her own poison. She drinks it all. Sometimes the air seems loaded with evil and the purgatory is a kindergarten.",19,"china, china",2007
1425,-,Michelle Saldaña,"['Arla Cisneros', 'Carm Romero', 'Michelle Salda']",-,11,milagros a domicilio,2007
1426,6.4,Michaline Babich,"['Michaline Babich', 'Richard Courtney']",A narrative short film that follows a lonely young man through the night he meets his perfect stranger. But when he heads out for a late night hookup he gets more than he bargained for.,14,king of swords,2007
1427,8.5,-,-,-,45,heartland,2007
1428,7.0,"['Marco Dutra', 'Juliana Rojas']","['Marco Dutra', 'Juliana Rojas']",Clarisse notices a small green leaf growing out of her right arm.,15,um ramo,2007
1429,7.9,['Philipp J Pamer'],['Philipp J Pamer'],"At 18 years of age, Peter finally leaves the orphanage. The search for his mother leads him to a whorehouse where his mother mistakes him for a client and takes him to her room. There, they both have to face up to an unsurmountable situation.",12,odi et amo,2007
1430,-,Stephen Lehman,-,The story of two young people and the night that their paths cross.,3,connections,2007
1431,8.9,Jack Hartnett,Jack Hartnett,"An analogous tale of cancer, cocaine and God.",15,la vida blanca,2007
1432,7.8,Paul Street,Paul Street,A girl on the run finds herself in precarious situation. Alone in the desert with a suitcase and a pack of gum.,-,room nine,2007
1433,7.8,Daniel Boneville,"['Daniel Boneville', 'John Patrick Brennan']",A young man fights to maintain sanity after being lured into a Faustian business arrangement - all in the hopes of resurrecting someone from his past.,35,lily,2007
1434,-,Graig Gilkeson,Graig Gilkeson,A recently married young woman copes with loneliness in a strange new city.,6,snake blood,2007
1435,6.8,-,-,"High school boy falls for a mysterious girl he meets on the street. Turns out she's a powerful and almost immortal creature damned to walk the Earth alone forever. She is being hunted, so the boy invites her to hide at his place.",-,sola,2007
1436,8.3,Lonnie Martin,Lonnie Martin,"Posi+ive takes place in a not-so-distant future where a ban on sex and marriage is placed on HIV positive individuals. In response, a biotech industry selling life-like robot ""Companions"" has arisen. Ian, a positive, purchases a Companion and tries to love her, hoping she will have the capability to love him back.",-,posi+ive,2007
1437,-,Veerapol Saivichit,"['Jeff Mizushima', 'Veerapol Saivichit']",An ex-gangster avenges the death of his friend while taking care of his friend's blind sister.,11,message to blind flower,2007
1438,5.2,Julio Geiger,Julio Geiger,Indifference has dire consequences for two teenage boys in a romantic relationship.,14,elefante blanco,2007
1439,-,Samer al Achy,Samer al Achy,-,12,the other half,2007
1440,,,,,,in the spotlight,2007
1441,6.5,Lux,Lux,-,3,unfortunately malory,2007
1442,7.5,Christopher Edwards,"['Christopher Edwards', 'Jeffrey Herd']",-,19,mercy,2007
1443,-,Ryun Montenegro,Ryun Montenegro,"Endure is the story of Lauren, a young woman who joins the military as a result of 9/11. While serving, she is horribly wounded beyond recognition that causes her to lose her ability to see and hear, but also her arms and legs. Cut off from the world but very much alive, Lauren is forced to live with memories of her life before her accident.",37,endure,2007
1444,-,Murat Biçak,-,-,-,lost companion,2007
1445,4.3,"['Lynn Breedlove', 'Jen Gilomen']",Lynn Breedlove,"To Jim, speed in its various forms is everything -- a pursuit, a vice, and the thing that courses through his veins. Even though his boss still calls him 'Elizabeth,' Jim loves his bike messenger job, because it enables him to be doing one of his favorite things: going fast. Really fast. The other thing he loves doing is his genius punkstar stripper girlfriend, Ally, ... Leer todo",18,godspeed,2007
1446,7.6,['Julio Ponce Palmieri'],['Julio Ponce Palmieri'],A man finds himself amidst a police investigation that revolves around a horrible crime with only one survivor left: a young girl.,84,game over,2007
1447,-,Dan Sanguineti,"['Sarah Keetman', 'Dan Sanguineti']","Timmy is a child puppet and he loves his real human teacher, Miss Lucy Hart. His young heart does not know how to express his affections for her, so he just watches her and watches her. His love for her drives him to a point of insanity and with a wild transformation goes about taking his Hart for his own.",7,puppetlove,2007
1448,-,Kami Chisholm,Kami Chisholm,"While working at her desk one afternoon, Virginia lets her mind wander through the streets of Los Angeles. But no matter where she goes, from a summer party in a mansion to the city streets on a winter's evening, she is haunted by the presence of Vita.",6,street haunting,2007
1449,,,,,,i,2007
1450,6.9,David Farley,David Farley,-,-,i think i'm alone now,2007
1451,7.7,Luigi Barbieri,"['Luigi Barbieri', 'Stefano Russo']","Giovanni is a priest who lives a life full of love and certainties. He lives in a modest house with his sister Anna, devoting his life to his fellow man. Then one day a man walks into Giovanni's church and confesses to murdering two women. The priest cannot tell anyone about it, as the secret of the confession forbids him to reveal the atrocity, so he has no other opt... Leer todo",16,gli occhi di cristo,2007
1452,7.2,Peter Scobie,Peter Scobie,A friendship forms between a heart-broken fiancé and a lost teenage girl as they both discover the vast space in the Blue Mountains and themselves. An eight minute drama that shows us that there is a world beyond what we know.,8,licorice,2007
1453,7.9,Thouly Dosios,"['Thouly Dosios', 'Maeve Mc Quillan']","Anna is content to live a life without true love, apart from others. But a chance meeting with Markos changes her outlook, and life, forever.",30,to spiti me tis elies,2007
1454,4.5,Darcy Prendergast,Darcy Prendergast,"With only one male grey panda left in the entire world, Ron the Zookeeper is sent in to get a sperm sample, no matter what.",7,ron the zookeeper,2007
1455,7.8,Laurie Agard,"['Laurie Agard', 'Laurel Ladevich']","When he was four-and-a-half, my little brother was obsessed with Christmas and spiders. But that year the holiday was the last thing on our minds.",13,my first christmas tree,2007
1456,5.4,Dan Neira,"['Aline Robichaud', 'Liz Valenzuela']","Infused with sex, passion and betrayal, SPIN is the story of Latinos striving to attain the American Dream within the sexy Latin Music world of Miami. Though its characters fall prey to their own greed and ambition the story gives hope of redemption. Clichés of the ""Latino"" of typical Hollywood fare are broken. Latinos ""own"" the screen in this fresh vision of a world ... Leer todo",-,spin,2007
1457,-,Christina Conrad,Christina Conrad,"Leith - an obsessed trans artist, has been involved in a fifteen year relationship with her lover, Jelly and Jelly's dead mother, whose spirit inhabits a large fig tree in their garden beneath which Jelly's placenta is buried. Consumed by jealousy for the mother, and by a primordial urge to possess Jelly - a slippery and seemingly passive drama lecturer - Leith's worl... Leer todo",29,jelly's placenta,2007
1458,-,['Christopher S Clark'],Scott Taylor,"An aging, depressed woman contemplates plastic surgery, but will the cost be too high? This short film explores the marks of life that make us who we are.",12,wrinkles,2007
1459,-,Nathan Milford,Kate Milford,"When underworld kingpin Eddie Wise calls in a gangland-style execution right in front of his nemesis, Miles Gage, the detective knows he's been slapped in the face; what he doesn't know is that this murder case will be his last.",21,a little silence,2007
1460,-,Sebastien Begin,Sebastien Begin,-,-,heir to the waves,2007
1461,-,['Martha M Elcan'],-,An obsessed man is determined to prevent his wife from leaving him.,-,crossing the line,2007
1462,-,Jeff Cvitkovic,Jeff Cvitkovic,-,-,pearl,2007
1463,-,Tinge Krishnan,Tinge Krishnan,-,20,honey and razor blades,2007
1464,-,['Alex George Pickering'],['Alex George Pickering'],A young couple struggles to cope with the challenges of bipolar disorder in their relationship.,9,closer apart,2007
1465,7.4,Asaf Korman,Asaf Korman,"The film depicts the day where Yosi (73), the father of the Korman family, redeems the family dog Shula from agonized dying of numerous diseases by putting her to sleep. Yosi decides to take Shula's inanimate body with him and bury it in the sands, nearby home. The participants in the film (the director himself, and the members of his family) play themselves in a cine... Leer todo",23,mota shel shula,2007
1466,8.1,Conrad Jackson,['Ricardo Lira Acu'],"""Shot at classic Los Angeles locations including the iconic Bradbury Building, this modern day film noir about a poet's encounter with a femme fatale is chock full of cool images."" - indieWire",-,la noir,2007
1467,6.7,['Danny Le Gare'],['Danny Le Gare'],-,25,even if,2007
1468,6.8,Nika Belianina,Nika Belianina,"""Who knows what evil lurks in the hearts of men?"" And who knows what secrets a man hides from his wife. In this quirky tragi-comedy a man, Mr. Lovin, tries to keep his friends from bothering his wife. Poor Mr. Lovin has a multiple personality disorder. Though frequent remedies fail, the mad psychiatrist releases his inmate/patient back to his ever lovin' wife's warm e... Leer todo",20,crazy lovin',2007
1469,6.5,Duncan Wellaway,Duncan Wellaway,"At a late-night meeting with nine colleagues, James, an executive of some sort, wants action to avoid their potential loss of millions of pounds daily. He throws a tantrum when one man, Bill, urges caution instead of action. Jim leaves the meeting and, while driving to his office, has a mobile phone conversation with Bill. Something unexpected happens and Bill suddenl... Leer todo",12,always crashing in the same car,2007
1470,7.1,Bryan Jackson,Bryan Jackson,"With his latest film, Softly (2007), director Bryan Jackson employs dolls as actors. By staging them in miniature, handcrafted sets, he blurs the line between doll house and realitycreating a world as fragile and ephemeral as the romance that takes place within the frame. The narrative gently unfolds to music created by his collaborator, the Tokyo-based composer Eiji ... Leer todo",7,softly,2007
1471,8.0,Shohreh Jandaghian,Shohreh Jandaghian,-,9,der lachende hund,2007
1472,-,Véro Cratzborn,"['V Cratzborn', 'Sandra Stadeli']",-,27,en pays éloigné,2007
1473,6.7,Julien Guetta,Julien Guetta,-,28,le vacant,2007
1474,6.5,Joseph Fiennes,Brent Laffoon,-,14,the spirit,2007
1475,-,Jacob Hinmon,Jacob Hinmon,"In order to jump-start his life, Alex turns his car into a 'taxi', and sets out on a night-long adventure.",14,night becomes day,2007
1476,-,Tamara Maloney,Tamara Maloney,"A story of seasons, difficult places, old parks and new cities, told in faded reflections of four lives half lived.",7,resigned,2007
1477,-,Andreas Cyrenius,Andreas Cyrenius,-,16,die zeit zwischen zwei träumen,2007
1478,-,Ko Kuriki,Ko Kuriki,-,3,the fear despair,2007
1479,8.4,['Liliana Greenfield Sanders'],"['Liliana Greenfield', 'Sanders Rowan Riley']",An elderly woman makes the acquaintance of a strange and disturbed little girl in this haunting film based on the Truman Capote short story 'Miriam.',15,miriam,2007
1480,-,Kristi Moya,Kristi Moya,-,8,edible,2007
1481,-,"['Joe De', 'Angelis Joe Proietto']",Joe Proietto,A narrative of one man's reflection upon the love he may have had and the ultimate end that came with it.,6,letter to you,2007
1482,-,Jeff Cvitkovic,Jeff Cvitkovic,-,-,pearl,2007
1483,-,Chris Schwab,Metin Yigit,"A scientist discovers his employers are performing illegal experiments on human subjects. When he tries to expose them, they go after him and his wife.",27,life extension,2007
1484,-,['Judith Malek Mahdavi'],['Judith Malek Mahdavi'],-,22,lia,2007
1485,,,,,,blindness,2007
1486,6.2,Parminder Singh,Parminder Singh,"Sami is ready to sign for a loan with the bank, so he and his brother can open a family restaurant. But his brother doesn't show up at the bank.",29,som en familie,2007
1487,5.8,Leon Ford,Leon Ford,"A defining moment in the relationship of two best friends, who must now decide where their future lies, with or without the other.",30,katoomba,2007
1488,7.9,"['N Katrine', 'Kofoed Gervig']","['N Katrine', 'Kofoed Gervig', 'Torbj Rafn']",Maiken's boyfriend tells her that he once raped a girl and leaves her. From then on her life falls apart catalyzed by her meeting with an old kindergarten girlfriend.,32,noget for noget,2007
1489,7.4,Bill Allert,Bill Allert,"When a taxi driver finds himself parked outside the house where his passenger's wife and brother are having an affair he fears for everyone's life, including his own.",6,yellow,2007
1490,7.8,David Adam,"['David Adam', 'Sissel Dalsgaard Thomsen']","Bella is tormented both by her present and past life; she can't keep them separated, and seems to end up as an emotional looser both then and now.",43,knus,2007
1491,,,,,,mig & che,2007
1492,6.9,Mirza Ekinovic,"['Esad Ekinovic', 'Mirza Ekinovic', 'Jannik Tai Mosholt']","Due to the war in ex-Yugoslavia Mustafa and his granddaughter ends as fugitives in different countries, and due to 'paragraph 15' he cannot be reunited with her.",34,paragraf 15,2007
1493,7.6,['Cheol Woo Park'],['Cheol Woo Park'],"A wrong-number message left on his new cell phone leads Josh to a mysterious woman desperately looking for someone that disappeared, followed by a series of surreal events that will blur his sense of reality.",17,disconnected,2007
1494,7.8,Jairaj Walia,"['Joseph Frio', 'Jairaj Walia']",-,-,in the foxhole,2007
1495,-,Hironori Nakao,-,-,-,za shîkuretto shô,2007
1496,7.5,Markus Dietrich,"['Markus Dietrich', 'Hanna Reifgerst']","What would be, if a family is treated like an enterprise?",6,outsourcing,2007
1497,-,Maurice Durham,Maurice Durham,The story of a man and woman whose connections to a small restaurant changes their lives forever.,28,the restaurant,2007
1498,3.2,Jason Christ,"['Jason Christ', 'Rebecca Horn']","Based on the Rebecca Kennebeck poem ""Her Soul Flies Free,"" THE QUIET PLACE essays the emotional downward spiral of Hope, who frequently retreats to her own imaginary world to escape the torment of a recent personal tragedy. As she continues to fill the void inside her with darkness, the venomous misery that courses through her veins threatens to destroy her life, both... Leer todo",15,the quiet place,2007
1499,5.1,Mark Nistico,Mark Nistico,"Set in the late 1980's, two factory workers decide to boost a truckload of sugar. Their plan to rollover on their crew is discovered, as Daxter Tarta shows them that a good thief moves within the shadows.",22,shadows over sugar,2007
1500,-,Juan Villegas,Juan Villegas,-,6,2 en 1 auto,2008
1501,-,"['Rebekah Pierce', 'D Cornelius Wright']",Rebekah Pierce,"Phillip Stockwell has been livin? like the ?Jones,? until it all comes screeching to a halt with the crash of the stock market. Will a fateful meeting with a homeless man in the park change Phillip?s firm belief that man makes his own destiny? Or will he continue to pursue the lavish lifestyle of what everyone?s been told is ?the American Dream??",16,the briefcase,2008
1502,,,,,,beautiful,2008
1503,6.6,Raf Reyntjens,"['Daniel Lambo', 'Raf Reyntjens']","Two enemy soldiers get locked up in a tunnel below the World War I front. Sharing the same fate, they need each other to survive.",20,tunnelrat,2008
1504,4.7,Bryan Goeres,"['Jay Beattie', 'Darby Parker']","Europol Agent Tom Brindle (Timothy Hutton) is called to Barcelona, Spain, to track down the notorious serial killer known as Pygmalion.",100,reflections,2008
1505,7.3,Graeme Lynch,"['Mark Lutz', 'Polly Shannon']",-,8,miranda & gordon,2008
1506,7.3,Daphne Lambrinou,Daphne Lambrinou,What do you do when following your dream means closing the door on your past? Melanie must choose between a lifelong love in Greece and a blossoming career in America.,18,paperboat,2008
1507,6.3,['Darren J Butler'],"['Darren J', 'Butler Ryan Sims']",When is enough...enough? Pyper Blevins has been bullied by Natalie Coleman since she was five years old. Her bullying comes to a climax in their senior year of high school when a tragic event alters their lives forever.,30,a fix,2008
1508,-,Babak Gray,"['Babak Gray', 'Bash Matsuo']",-,8,basho,2008
1509,8.2,['Matthew James Clark'],Pete Fromm,"Dry rain, or ""Virga"" is a weather related phenomenon that occurs when precipitation evaporates before it hits the ground. It is often visually striking and looks like a torn drape hanging from a cloud giving the appearance that it is raining somewhere in the distance. Adapted from Pete Form's Award winning collection ""Dry Rain Stories"", Dry Rain takes place over the c... Leer todo",23,dry rain,2008
1510,7.4,Maurice Chauvet,Maurice Chauvet,A guy tries to weasel out of his late fees at the local video store only to discover the video store's database has access to intimate details of his past - and his future.,9,three-fifty,2008
1511,-,Elvert Bañares,Elvert Bañares,"The explorations of personal spaces and the passing of time are subjected to a visual meditation in ""Quaresma"". During the holy week, the lives of two men are slowly intertwining as each of their spaces gets entangled, leading to a climactic Black Saturday. The ""union"" (or survival - depending on how you see it) happens on Easter Sunday when resurrection comes to form... Leer todo",23,quaresma,2008
1512,-,Diana Rudychenko,Diana Rudychenko,A young idle Japanese boy gets a platonic crush on a European model he accidentally sees in the street. He follows her around the city.,15,street coffee,2008
1513,-,Adam Dachis,Adam Dachis,-,4,the last kiss,2008
1514,-,Adam Dachis,Adam Dachis,-,9,the daily heap,2008
1515,-,"['Juan Francisco', 'P Villalba']","['Juan Francisco', 'P Villalba']","Carlos apparently is in the best moment of his life. But everything changes one day when, arriving at his apartment, he sees that an unknown man enters and leaves his apartment with a weapon.",19,un hombre desconocido,2008
1516,-,M. Foucault,HeterotopiaHérodote,"Until then, say the Persians, there had been on both sides only kidnappings; but since that time the Greeks were utterly wrong in carrying the war to Asia before the Asians had declared it to Europe. Now, if there is any injustice, they add, to abduct women, there is folly in revenge for an abduction, since it is evident that without their consent they would not have ... Leer todo",14,check - fate,2008
1517,-,Paul Glynn,Paul Glynn,"Forced to betray his son's trust, David is brought face to face with the harshness of the natural world, and his own failure to comprehend it.",11,kitten,2008
1518,-,Rita Teles,-,-,16,a visita,2008
1519,-,['Jeffrey Scott Thomas'],['Jeffrey Scott Thomas'],"a Jeffrey Scott Thomas film. A small town Baptist Preacher has an affair with a prostitute that leads him into a dark world of murder, twist and an ending that you will never see coming.",-,ashes of rose,2008
1520,-,Ji-na Kang,-,"Four high school girls, preparing a choral piece for their next choir rehearsal, testify about the suicide of identical quadruplets boys.",21,suicide of quadruplets,2008
1521,-,"['Daniel Deason', 'Tori Bennett']",Daniel Deason,"What would you do with a once in a life opportunity to control another person for a day, with the opportunity of revenge of a live time. Would you use the gift for evil reasons or for good.",41,mind games,2008
1522,8.6,David Antonelli,David Antonelli,A young man meets a slacker couple in London who help him in his quest to break away from his criminal past and realize his dreams.,196,inbetween,2008
1523,,,,,,journey into night,2008
1524,-,Lana Moscow,Lana Moscow,-,17,stood up.,2008
1525,-,Tom Ardavany,Tom Ardavany,"This is a powerful, eery look into the life and deaths of Americans on the front lines of the Iraq war.",34,check point,2008
1526,6.5,Houman Seyyedi,Ali Talebabadi,-,26,dandane abi,2008
1527,-,Jacqueline Landau,Jacqueline Landau,"A story about spring, loss and hope.",3,springflower,2008
1528,-,['Alex George Pickering'],"['Alex George', 'Pickering Philip Roth']",A nonprofit USC Graduate short film adaptation of Philip Roth's novel about a father searching for his daughter during the tumultuous 1960s and the dissolution of the seemingly perfect American family.,-,american pastoral,2008
1529,6.7,Mira Nair,"['Zoya Akhtar', 'Vishal Bhardwaj']",A short movie aiming to spread awareness about awareness from the perspective of people from different economic classes.,12,migration,2008
1530,-,Cyrus Mirzashafa,Cyrus Mirzashafa,"A day in the life of Jack and his dog as they chase the pavements before them on a summers day, to escape the turmoil that awaits them at home in the form of an abusive father.",-,one wonderful monday,2008
1531,-,Yoav Yeger,Yoav Yeger,"Joel works in an advertising company, trying to sell a client an illusion. In his search for love or just something to watch on TV, Joel ponders on one question the most- are his teeth crumbling or is it he himself.",30,crumble,2008
1532,-,Glen Luchford,Julia Jordan,-,37,dark yellow,2008
1533,-,['Martin Hugh Henley'],['Martin Hugh Henley'],"An ageing rock-star returns home from a jail overseas, his glorious comeback a ""mere formality"". His manager, his one remaining friend, knows the cold reality.",18,the ballad of stiv spangle,2008
1534,-,['Asif Anis Khan'],['Asif Anis Khan'],-,-,khoya paaya (lost and found),2008
1535,-,['Asif Anis Khan'],['Asif Anis Khan'],-,-,xenophilia,2008
1536,7.4,Yu Yang,Yu Yang,"The king of spades and the king of clubs argue for ownership of a small island when dividing territories, and break up at the negotiating table. So both kingdoms involve each other into a war of land, sea and air.",16,"da, da ge da xi gua",2008
1537,-,Erik Ruppert,Erik Ruppert,A man finds himself lost among many alternate realities all connected by a mysterious doorway he finds in an alleyway.,5,doorways,2008
1538,-,"['Sylvain L', 'Lionel Morvan']",Claire Vatant,-,31,le fil de polynice,2008
1539,-,['Craig Anthony Newman'],-,-,7,insider outsider,2008
1540,8.4,Henrik Norrthon,Henrik Norrthon,"Young immigrant Ivan works in London as a taxi driver. Just when he thinks he is the most happiest man on earth, he looses everything.",22,taximan,2008
1541,-,Ivo Krankowski,Krzysztof Uminski,"Nancy, a city in Eastern France. A winter's night. In his radio show Ernest Lamour plays sad songs as usual, which are followed by even sadder stories from the lives of his listeners. Patrick suffers from insomnia. Anna gets involved in a bitter quarrel with her girlfriend. Tomek hitch-hikes to the town and wanders around the streets, waiting for the dawn. There's als... Leer todo",23,rue de la source,2008
1542,8.0,Dan Olson,"['D W', 'Johnson Dan Olson']","Based on Geoffrey Chaucer's 14th-century short story of the same name, The Pardoner's Tale follows three friends as greed tears them apart.",18,the pardoner's tale,2008
1543,-,['Dang Di Phan'],"['Phan Thi', 'Vang Anh', 'Dang Di Phan']","The film explores the relationship of a teenage couple, in which the girl works as a prostitute to help support her family.",20,khi tôi 20,2008
1544,-,Aaron Abdin,"['Aaron Abdin', 'Ali Abdin']",-,-,hopeless,2008
1545,-,Yakub Gokcen,Erkan Firat,-,-,9 yil sonra,2008
1546,-,['Jean Pierre Ybert'],"['Neil Gaiman', 'Joyce Mouzon', 'Jean Pierre Ybert']",Mr Coutou has a plain life until he was contact by an curious agency who propose him to manage a trouble with an irksome and unwanted mammal.,13,offres spéciales,2008
1547,7.6,-,-,Eager moviegoers wait in line for eleven days to see the new FutureSpace movie.,-,the line,2008
1548,6.8,Bill Purple,"['Howard Kingkade', 'Bill Purple']","A brilliant, misanthropic math genius is inexplicably drawn into an unusual friendship with a laboratory dog.",34,hole in the paper sky,2008
1549,-,Ivann Willig,Ivann Willig,-,8,na hora de dizer sim...,2008
1550,-,Jakob Gatzka,Jakob Gatzka,-,35,das rote tuch,2008
1551,-,['Pamela K Johnson'],['Pamela K Johnson'],"When a teen fashionista is displaced by Hurricane Katrina, she must share a room with a girl who wears beige, until the unhip girl provokes the stylish one to show who she really is inside her pretty clothes.",15,stitches,2008
1552,-,['Daniel Lane Baker'],['Daniel Lane Baker'],-,-,plain jane,2008
1553,7.9,-,-,"Alice is a 26-year old woman, who moves to São Paulo after her father's unexpected death. In this intense and eclectic city, she starts to live life to the fullest, discover pleasures, chalk up successes and fearlessly face her failures.",-,alice,2008
1554,,,,,,(home),2008
1555,-,Jerry Ciccoritti,"['Peter Smith', 'Greg Spottiswood']",-,-,the call,2008
1556,-,"['Helge Balzer', 'Florian Metzner']","['Helge Balzer', 'Florian Metzner']","Outside a party, a minor scuffle turns sour resulting in violence. With blood on his hands and clothes, Debitus founds himself in a surreal and unfamiliar dark place and is unable to regain entrance through the door from where he came, until a voice out of the dark offers him a well to cleanse himself. However, operating the well to draw the water also opens a gate fr... Leer todo",15,aqua ad lavandum - in brevi,2008
1557,6.2,Reetta Aalto,Kirsikka Saari,-,28,tyttöjen ilta,2008
1558,-,Shima Monfared,-,-,3,down but up,2008
1559,-,Geoffrey Quan,Geoffrey Quan,-,14,the other way round,2008
1560,9.2,Nouri Bouzid,-,"For 11 years old Tarak, football is his life, he dreams of being part of a big football club in the future, but one night, for returning home late after practice, he gets punished hard by his father.",37,dharbet jazaa,2008
1561,7.3,Rudi Rosenberg,Rudi Rosenberg,"Jonathan is in love with Julie, the most beautiful girl of his school... However, Julie doesn't even know him. He becomes friend with Charles, Julie's brother. One day, he sneaks in Julie's room to steal her diary. Back home, he finds in the diary a drawn heart, with the quote ""I love Jonathan""... Back to his new friend Charles' home, he realizes that the diary belong... Leer todo",11,13 ans,2008
1562,-,Antoine Renand,Antoine Renand,-,-,le traitre,2008
1563,8.8,Michaël Dacheux,Michaël Dacheux,-,43,commune présence,2008
1564,7.4,Josip Vujcic,Josip Vujcic,"On the same day several interrelated characters try to change their own lives and, in the process, change the lives of others.",42,gdje pingvini lete,2008
1565,6.8,"['Marc Hawker', 'Ishbel Whitaker']","['Marc Hawker', 'Ishbel Whitaker']",A performance artist was filmed in the excruciatingly painful interrogation technique of the Stress Position for 6 hours. The film powerfully shows the reality of CIA and US government endorsed interrogation procedures.,3,waiting for the guards,2008
1566,-,Luiz Petuxo,Daniel San,-,-,a preferida,2008
1567,-,James Kanja,James Kanja,"Five-year-old Pamela is deeply affected by her parents' marital problems. One day, at school, her teacher asks the class to draw daddy and mummy.",12,pamela,2008
