,puntuacion,datos_direccion,datos_guion,argumento,duracion_minutos,nombre_peli,anio_peli
763,7.3,William Olsson,William Olsson,"Rosa, a young girl, sells roses on the streets of a vast Latin American City. Her father has disappeared and her mother has moved in with another man. Equipped with a torn photograph of her dad, Rosa descends on a quest to find her beloved father...",12,rosa,2006
764,-,['Robert L Poole'],-,-,11,the earl thompson movement,2006
765,-,['Kevin C Norris'],"['Laura Creecy', 'Kevin C Norris']","Powerful visions and terrible realities chase Paul Finn around these days. All he has is a group of misfit friends who are determined to convince him the truth hides somewhere inside himself. Finn doesn't know what he's looking for, and he doesn't really care. All he needs is the sky above him, the earth beneath him, a few eccentric friends, and a bag of memories. But... Leer todo",40,the finnian cycle,2006
766,7.7,Joe Odea,Joe Odea,"Violent robbery strikes a simple country service station, dramatically changing the lives of its inhabitants.",7,welcome to lyle's gas 'n go,2006
767,7.2,Andrea Janakas,Andrea Janakas,"As an adolescent girl struggles to find identity in a small town in 1979, echoes of a missing girl and a student uprising in Iran reverberate throughout the night.",22,"gypsies, tramps & thieves",2006
768,7.4,Stephan Littger,"['Yashar Alishenas', 'Stephan Littger']","Just released from the mental institution, a young man in love with his brother has to find a wife in order to inherit his mother's fortune.",23,memories of a sick mind,2006
769,-,Alex Jablonski,"['A E', 'Jablonski Alex Jablonski']",A soldier returns home from Iraq and struggles to adjust to his old life. His homecoming is made more difficult when the Muslim woman he shot and killed appears in his pool and begins living with him and his family.,14,"every time i breathe out, you're breathing in",2006
770,,,,,,war,2006
771,8.2,Samantha Lavin,Samantha Lavin,"After eight years, a young successful lawyer reluctantly goes back to her small hometown for her best friend's wedding. When the memories of an affair she had with another woman during high school resurface, her present starts to unravel.",22,in memory of me,2006
772,-,Rosemary Rawcliffe,"['Louis Mac', 'Neice Rosemary Rawcliffe']",A healthy family means healthy humanity. The mother plays a key role in the creation of world peace. Working with the Dalai Lama and poetry by Louis MacNeice provided inspiration for the artwork.,11,reclamation,2006
