puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,anio
5.9,David S. Goyer,"['Landon J. Napoleon', 'David S. Goyer']","An autistic 15-year-old boy steals money from his boss to provide rent for his abusive father, who uses the money to repay a loan shark.",101,Drama,zig zag,2002
6.6,Jon Purdy,"['Joseph F. Girzone', 'Brad Mirman', 'Keith Giglio']","""Joshua"" tells the story of a possible second coming of Christ to a small U.S. town.",91,Drama,joshua,2002
7.3,Paul Thomas Anderson,Paul Thomas Anderson,-,95,Drama,punch-drunk love,2002
2.5,Samarjit Dasgupta,Shobha Dasgupta,"Rohit (Milind Soman) represents a typical Indian male, highly possessive and often aggressive. As Priya's (Swati) fiance, he provides an example of how some men become responsible for driving away their own beloved with their misplaced sense of love and accountability. In a triangular plot he is at the apex of human relationship with Priya and Nisha (Henna). The story... Leer todo",138,Drama,pyar ki dhun,2002
4.1,John Murlowski,Russell V. Manzatt,"A pair of criminals infect the president of the United States with a deadly virus. His only hope is to give in to their demands, but he refuses to cooperate with terrorists. Now it is up to Dr. Diane Landis to save his life.",95,Drama,contagion,2002
4.5,John Quinn,Barbara Fixx,"A detective and his girlfriend, investigate the murder of a well-known model. They discover a videotape on which she can be seen in bondage games - diving them further into her double life.",98,Drama,beauty betrayed,2002
6.3,Atom Egoyan,Atom Egoyan,-,115,Drama,ararat,2002
7.3,Michael Winterbottom,Frank Cottrell Boyce,-,117,Drama,24 hour party people,2002
6.8,Mars Callahan,"['Mars Callahan', 'Chris Corso']",-,99,Drama,poolhall junkies,2002
6.2,Jake Kasdan,Mike White,-,82,Drama,orange county,2002
6.4,Jean-Paul Civeyrac,"['Jean-Paul Civeyrac', 'Jean de Tinan']","In Paris, young Raoul is a writer who wishes to find love. He first falls for Jeanne and spends the bulk of his time lounging around with his circle of friends and sleeping around.",80,Drama,le doux amour des hommes,2002
6.8,Ildikó Szabó,"['Gergely Fogarasi', 'Zoltán JancsóIldikó Szabó']",A gypsy apothecary-violinist befriends a Hapsburg prince after saving his life during the disastrous Hungarian War of Independence in 1849.,125,Drama,chacho rom,2002
6.4,Franco Zeffirelli,"['Franco Zeffirelli', 'Martin Sherman']",-,112,Drama,callas forever,2002
5.6,Simon Rumley,Simon Rumley,One eventful night at a seedy London nightclub in 1993.,79,Drama,club le monde,2002
4.0,-,"['S.M. Ahale', 'Shashi', 'Javed Siddiqui']",A villager pretends to be disabled in order to be near an NRI (Non-Resident Indian).,148,Drama,pyaar diwana hota hai,2002
7.5,Stephen Daldry,"['Michael Cunningham', 'David Hare']",-,110,Drama,the hours,2002
6.0,Tony Shalhoub,Lynne Adams,-,96,Drama,made-up,2002
6.9,Steven Shainberg,"['Erin Cressida Wilson', 'Mary Gaitskill', 'Steven Shainberg']",-,107,Drama,secretary,2002
6.6,Elia Suleiman,Elia Suleiman,-,92,Drama,yadon ilaheyya,2002
6.1,Brian Flemming,Brian Flemming,"A mockumentary examining the December 2nd, 1999 assassination of Microsoft CEO Bill Gates in Los Angeles, and the group of key players seeking to unravel the mystery of his alleged assassin as well as the circumstances surrounding his death.",82,Drama,nothing so strange,2002
5.4,Daniel Algrant,Jon Robin Baitz,A New York press agent must scramble when his major client becomes embroiled in a huge scandal.,100,Drama,people i know,2002
5.3,Leopoldo Laborde,Leopoldo Laborde,"This is a shocking film that deals with a 15-year-old boy who rents his body to men in order to pay for his drug abuses. Fran, tired of being termed a homosexual by others, confides in his best friend and dealer David who advises him to visit Perla, a prostitute. Fran later encounters a fair-haired girl, Angelica, and is initially attracted towards her, but soon the o... Leer todo",97,Drama,sin destino,2002
7.8,Pat O'Neill,-,"The film is an ""intersection of fact and hallucination"" set inside the decaying walls of the old Ambassador Hotel and the famed Cocoanut Grove restaurant which was home to the 1st Academy Awards.",73,Drama,the decay of fiction,2002
3.7,Tamra Davis,Shonda Rhimes,-,93,Drama,crossroads,2002
6.7,Tomasz Wiszniewski,"['Robert Brutter', 'Tomasz Wiszniewski']","Sharkey, part of the sinister world of child trade, picks up Vlado, an orphan of war, dreaming of freedom and a better life. They embark upon a strange and enlightening journey through war torn Bosnia. As they struggle to get out of the country and fight to stay alive, they find a special love and compassion from which emerges their ultimate moral and spiritual redemp... Leer todo",95,Drama,where eskimos live,2002
6.7,Michael Snow,Michael Snow,A surreal and comic exploration of an office space and the decorations of a living room.,92,Drama,*corpus callosum,2002
5.3,Patrice Leconte,"['Serge Frydman', 'Patrice Leconte']",A handyman in a 1940s Paris brothel tries to help the prostitute he loves with her singing career and romantic life.,91,Drama,rue des plaisirs,2002
