puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,id_pelicula
0,3.7,Art Camacho,"['David De', 'Falco']","A Hollywood talent agent's girlfriend thrusts him into a world of strip clubs, drugs and deadly motorcycle gangs.",100,Accion,point doom,tt0186454
9,3.6,Courtney Solomon,"['Topper Lilien', 'Carroll Cartwright', 'E. Gary Gygax']",-,107,Accion,dungeons & dragons,tt0190374
75,4.3,Vic Sarin,"['Alan B. Mc', 'Elroy', 'Paul Lalonde', 'Joe Goodman']",-,100,Accion,left behind,tt0190524
,7.9,Ang Lee,"['Hui-Ling Wang', 'James Schamus', 'Kuo Jung Tsai']",-,-,Accion,wo hu cang long,tt0190332
9,5.6,Rob Cohen,John Pogue,-,106,Accion,the skulls,tt0192614
49,5.9,Martin Campbell,"['Robert King', 'Terry Hayes']",-,124,Accion,vertical limit,tt0190865
,7.0,Jean van de Velde,"['Simon de Waal', 'Jan van Daalen', 'Jean van de Velde']","Based on a book about an infamous real scandal in the Dutch crime scene, the film aims at exposing the horrors caused by corruption on both sides of the law. A rookie policeman is coerced into obtaining secret information from a childhood friend turned gangster. The childhood friend turns informant. But his revelations are hardly the most important ""leaks"" in the stor... Leer todo",105,Accion,lek,tt0194104
,6.2,Vinny Murphy,"['Vinny Murphy', 'Mark Stewart']",A Belfast man who steals cars for a living dreams of retiring to Barcelona. Suddenly he finds himself in conflict with a crazed gangster who desires the first man's girlfriend. The two decide to settle the situation with a race with 12 of their friends. They just need to steal the cars for the race.,86,Accion,accelerator,tt0193701
,4.2,"['Cary Howe', 'Tony Kandah']",R.C. Rossenfier,A warrior and a beautiful ex-convict are left to fight the galaxy's most fearsome commandos in an alien wasteland.,93,Accion,starforce,tt0195308
,3.5,Martin Munthe,"['Martin Munthe', 'Anneli Engström']","A xenophobic and bigoted police officer returns to Sweden from Russia, and is tasked to arrest an assassin gone rogue, who is also spiraling into a mental breakdown.",79,Accion,hjärta av sten,tt0196614
95,2.2,Albert Pyun,Albert Pyun,A high-level government hit squad is sent into the streets in order to complete a deadly mission.,80,Accion,the wrecking crew,tt0196219
