,puntuacion_imdb , direccion , guion , argumento , duracion , titulo, anio
47,-,Peter Van Lengen,Peter Van Lengen,"In 1902, two bandits rob a train. It gets out of control when the dollar bills they stole get used as ordinary paper.",-,el dolarado,2000
48,-,Mark Philipp Espina,Mark Philipp Espina,Steadi's has 10 hours to repay the Gypsy Gang Boss Geezah what he is owed or he will be fed to the dogs.,18,steadi,2000
49,-,Gary Hawkins,-,-,-,boy and dog,2000
50,-,Scott Meyer,Michael Posniak,-,20,crossings,2000
51,-,-,-,Ver la información de la producción en IMDbPro,2,millionaire,2000
52,-,Ross Boyask,Ross Boyask,A young fighter turns against his mobster boss and is determined to fight for his freedom.,20,six grand slam,2000
53,-,Olivier Chateau,Olivier Chateau,-,10,chase,2000
54,-,Manos Schetto,Manos Schetto,-,-,fygi,2000
55,-,"['Ryan Mc', 'Donald']","['Ryan Mc', 'Donald']",-,-,the smell of napalm,2000
56,-,Kouichi Irikura,-,-,-,chinpira,2000
57,-,John Placencia,"['John Placencia', 'Brandon Talbert']",A group of wise guys plot to heist an armored truck. Their plans change once a rat is discovered.,-,"the canary who could sing, but he couldn't fly",2000
58,-,"['Billy Louviere', 'Todd Voltz']","['Billy Louviere', 'Todd Voltz']","Frank Pull is a cop on the edge. Booted off his latest case and facing the abduction of his favorite teenage niece by a mysterious villain, Frank must team with his friend Carto Azul, a man with a mask and a past. Together Frank and Carto lay down the law the only way they know how... One fist on the bottle, one fist in the face.",-,fuego con fuego,2000
59,-,Emilio Schargorodsky,Emilio Schargorodsky,-,13,33b7: the way of the dragon,2000
60,-,Alan Miller,Alan Miller,"TV series 'Wildcop' is returning to produce more episodes, but ""Wildcop' Dan Ray hesitates in sorrow because of his longterm love affair with his costar Cindi and her death.",8,wildcop,2000
61,-,Dirk Collins,-,"LOS ALAMOS takes us on a trip to Never-Never Land, documenting the year with the world's top freestylers. See Candide Thovex, Les Trois Phillips, Jonny Moseley, Evan Raps, Tanner Hall, the Collins brothers and many more of the illustrious new school air squadron seeking out the best venues from huge back country gaps, Gravity & X-Games, camp footage, terrain park madn... Leer todo",30,los alamos,2000
62,-,Anthony Begonia,Anthony Begonia,-,-,singers,2000
63,-,Julian Ashton,"['Julian Ashton', 'Thomas Meadmore']",-,17,dangerman,2000
64,-,Jon Lucas,Jon Lucas,-,10,culture,2000
65,-,David Chai,David Chai,"A computer genius is the hapless target of a gang of racist bullies. To deal with this he writes a computer program to change reality. When he initiates it by accident, things don't work out quite as he expects.",14,new reality,2000
66,-,Ana Torres-Alvarez,Ana Torres-Alvarez,"Un homme et une femme (a man and a woman) are having an affair when Wesley, her husband, arrives.",3,twisting la nouvelle vague,2000
67,-,Shumaï Chou,-,-,-,rare but alike,2000
68,-,Adam Rackoff,Adam Rackoff,-,6,the assault,2000
69,-,Jonathan Pezza,Jonathan Pezza,"In a post-apocalyptic future, mankind has rebuilt a single city. Two warriors trained from birth only to serve, are selected to duel to the death in order to resolve the differences of their master's opposing factions, and protect the innocent from all out war.",-,urban samurai,2000
70,-,-,-,Reparto principal,-,husna di sarkar,2000
71,-,Juan Evers,Juan Evers,-,16,el interminable submarino amarillo,2000
72,-,Marc Boyer,Marc Boyer,"A professional killer enter in an elevator for execute a man, unfortunately his mission is impossible..",4,tu ne tueras point... euh... juste un petit peu,2000
73,-,John Upchurch,Darren Koons,"On his 10th birthday, a boy makes a wish.",5,i wish i were wyatt earp,2000
74,-,Jono Decker,Jono Decker,Indy and Short Round battle the baddies and learn about Latter-day scripture in this unofficial fan-film.,40,indiana jones and the search for eternal joy,2000
75,8.2,Genndy Tartakovsky,Genndy Tartakovsky,Experience the genesis of Samurai Jack in a short animation test.,3,samurai jack: digital animation test,2000
76,-,Matt Routledge,Matt Routledge,-,1,the car wash,2000
77,-,"['Raul Allikivi', 'Kaaren Kaer', 'Andres Korberg']",-,-,23,attack of the killer beer-yoghurt 2,2000
78,-,Stephen Groo,Stephen Groo,"A cheesy comedy action on how a man shouldn't be disturbed while eating a TV dinner for lunch. However, Bruce finds out a renegade disciple from his old master is out for his life.",14,don't disturb my lunch,2000
79,-,-,Nobuhiro Watsuki,A series of outtakes on the USA Rurouni Kenshin DVD Vol. 8: Battle in the Moonlight.,-,rurouni kenshin: volume 2: battle in the moonlight - outtakes,2000
80,-,Roberto Navarro,-,-,-,pulled over,2000
81,5.6,PES,PES,First short of the Oscar nominated director PES.,1,dogs of war,2000
82,-,Jan Manthey,Jan Manthey,Classic horror action. Will Professor Shatner succeed in his plan to take over the world with an army of 'She-Apes'? Can the enigmatic Inspector Zucker defeat him? Find out in the low budget trash epic from the mind of Jan Manthey.,20,inspector zucker vs. gorgo,2000
83,-,Ken Fischman,Ken Fischman,"Inner-city Store owner Mark and Gang banger Semaj, wake up disoriented, beat up and near death. It a race against time before they succumb to their injuries and hot on their trail is the vicious gang that left them for dead.",20,straight outta da woodz,2000
84,-,Jack Venturo,"['Eddie Stover', 'Kitt Tran', 'Jack Venturo']","""Tests of Will"" was made in 2000 to be a movie within the movie ""Lost in the Wilderness"" (2000). In the movie the Character Georges is obsessed with his favorite late action hero from the 60's and 70's Kitt Lee who was a kungfu master.",3,tests of will,2000
85,-,Scott Morse,Brian Michael Bendis,-,3,jinx,2000
86,-,Jeffrey Doornbos,Jeffrey Doornbos,-,6,fear of flying,2000
