puntuacion_imdb,direccion,guion,argumento,genero,duracion,titulo,anio
-,Chase Capo,Chase Capo,-,2,Accion,nowhere left to run,2020;
,,,,,Accion,,
,,,,,Accion,,
-,Peter Bodin,Peter Bodin,-,5,Accion,bird,2020;
,,,,,Accion,,
-,Samuel Heath-Dray,Samuel Heath-Dray,A lonely hitwoman and a precocious little girl form an unlikely friendship.,11,Accion,death at a museum,2020;
,,,,,Accion,,
,,,,,Accion,,
-,Kevin Wu,James Croak,Sometimes punishment is the only way to let people know there are rules.,5,Accion,the organization,2020;
,,,,,Accion,,
,,,,,Accion,,
-,Aaron Toft,-,Ben just wants to get to his house and go back to quarantine with his new pack of toilet paper but his neighbor Trever has other plans.,-,Accion,social distancing,2020;
,,,,,Accion,,
,,,,,Accion,,
,,,,,Accion,,
,,,,,Accion,,
,,,,,Accion,,
,,,,,Accion,,
-,Chintan Gandhi,Jonathan Ryan,-,-,Accion,code 13,2020;
-,-,Jonathan Ryan,-,-,Accion,the plan,2020;
,,,,,Accion,,
-,Henning Morales,Henning Morales,When a case of mistaken identity could lead to disastrous results.,34,Accion,street chase,2020;
-,Paul Alan Dixon,Olena Fomina,Russian born federal agent Yulia Karev is torn between the country she is sworn to protect and the country she was born in. She now has to decide where her loyalty lies before time runs out.,-,Accion,gemini,2020;
-,Nikki Taylor Roberts,Nikki Taylor Roberts,-,-,Accion,410 stamped,2020;
,,,,,Accion,,
,,,,,Accion,,
-,Daniel H. Ronacher,Daniel H. Ronacher,-,-,Accion,groundbreaker - damn plastic,2020;
-,Jesse van Olderen,Jesse van Olderen,-,-,Accion,clone from another universe,2020;
,,,,,Accion,,
,,,,,Accion,,
-,-,-,Reparto principal,1,Accion,gun.man.,2020;
-,Jett Sinn,Jett Sinn,-,7,Accion,professionals,2020;
-,Ty Sheetz,Tom Dexter,-,5,Accion,the death dealer,2020;
,,,,,Accion,,
4.8,Akira Saitou,Akira Saitou,A young warrior leaves in search of the sacred place which is said to grant wishes. Better not to stir the wrath of the ancient guardian spirits.,4,Accion,sol levante,2020;
,,,,,Accion,,
-,-,-,Reparto principal,1,Accion,alan venture,2020;
-,Ben Akhurst,Kookie Katana,-,-,Accion,katana,2020;
-,Jesse van Olderen,Jesse van Olderen,-,-,Accion,steven 3: the raise of steven,2020;
,,,,,Accion,,
,,,,,Accion,,
-,Kervens B. Bastien,Kervens B. Bastien,Sam is on a mission to find out who his father is. He wants the truth by any means necessary.,11,Accion,son of a crime,2020;
-,Brian Billionaire,Brian Billionaire,In uncertain times like these you need HOPE. You need solutions. You need BRIAN. Depression's daily struggles - SOLVED. Control the Beast Lock away the Demon A temporary solution to Depression. Be inspired to turn pain into strength. Brian has been depressed since birth. His fa... Leer todo,-,Accion,surviving depression: the documentary (based on the song tomorrow by brian billionaire),2020;
,,,,,Accion,,
8.7,Nik Shaw,Nik Shaw,-,7,Accion,assassination classroom: re-anime,2020;
,,,,,Accion,,
,,,,,Accion,,
7.1,Sergey A.Mikhail Ryabkov,Sergey A.Mikhail Ryabkov,2029 year. Russia is like a lifeless wasteland with a few humane people. The main character goes to the magazine for toilet paper and encounters a zombie.,7,Accion,corona zombie,2020;
-,Godefroy Ryckewaert,Godefroy Ryckewaert,-,-,Accion,clean & dirt,2020;
-,Godefroy Ryckewaert,Godefroy Ryckewaert,-,-,Accion,santa run,2020;
,,,,,Accion,,
