,puntuacion_imdb , direccion , guion , argumento , duracion , titulo, anio
126,2.8,"['Matthew Bennett', 'Sasha Moric']","['Matthew Bennett', 'Matthew Campea', 'Sasha Moric']","John 'Concrete' Hong has one night to fight his way across a violent city and rescue the one he loves. After eviction from their apartment, John and Bethany Hong are forced to live on the streets of Union, a violent city where street gangs control the lower blocks. When John journeys to the bottom of the city to find work, the WCC gang corners him. After fighting his ... Leer todo",78,11 blocks,2015
127,-,Fernando A. Mico,-,Elite assassin Miko returns to complete one last mission.,90,ever after: resurrection,2015
128,6.0,Elliot Diviney,"['Adam Diviney', 'Elliot Diviney']","A group of mysterious villains known as ""The Alliance"" sets a trap for the Taxpayer. They imprison him, torture him, and make plans to publicly crucify him. Local janitor Richard Randolph rounds up retired Superheroes, and hatches a plan to rescue the Taxpayer. The villains stage a public rally, where many citizens come to watch the Taxpayer's crucifixion. The heroes ... Leer todo",94,american rescue squad,2015
129,6.4,Jon Cassar,"['Brad Mirman', 'Tari']",-,90,forsaken,2015
130,-,Avone Keene,Rob Ho,"Louis Fay returns from Hong Kong to honor his Father's wish of looking after the Family Business, which is the target of a Criminal Kingpin.",-,landlord: time to pay the rent,2015
131,5.5,Predrag Stojic,Marko Krstic,"Petar Lubarda, a young medical student, leads a secret life as one of the best drivers of ""Serbian Roulette"" - illegal street-races taking place during nighttime in downtown Belgrade. His older brother Mihajlo, once a top driver of ""Roulette"" himself, now a renowned anesthesiologist, gets involved in a maze of blackmail, conspiracy and revenge, when a former childhood... Leer todo",76,off,2015
132,3.9,Magda M. Olchawska,Magda M. Olchawska,Together with her team of close collaborators Anna works tirelessly risking her own life to unravel dark secrets behind a major trafficking ring.,65,anna and modern day slavery,2015
133,6.6,Terry Allen,"['Samuel Thomas', 'Terry Allen']",A young man becomes a target when he accidentally discovers who is behind a string of murders.,99,someone to carry me,2015
134,-,Zack Hosseini,Zack Hosseini,"A teenager finds himself in the midst of a monster's onslaught of terror in his small town. As he and his friends try to survive, he must battle something much scarier in the process - young love.",48,one stormy night,2015
135,4.1,Theo Avgerinos,"['Beau Martin Williams', 'Matt Funke']",-,89,americons,2015
136,5.8,Werner Schumann,Carlos L. Vogt,A hitman of the Russian mafia has just been diagnosed with terminal cancer; he is sent to Berlin to pick up the watch Yuri Gagarin wore on his first flight into space. But many people have to be eliminated to get the watch.,92,absolution,2015
137,7.4,S. Shankar,"['A.N. Balakrishnan', 'Swanand Kirkire', 'S. Shankar']",A deformed hunchback kidnaps a bride on the day of her marriage and holds her hostage while his connection to her and his targets is revealed in a series of flashbacks that unfold as he starts seeking revenge.,188,i,2015
138,2.5,Tony Jopia,"['Andy Davie', 'Michael Dale', 'Tony Jopia']","From the Director of 'DEADTIME' and 'Zombie Harvest' comes Crying Wolf! They're Hungry, Hairy and ready to hunt you down! The comedy horror Crying Wolf tells the story of strange and weird goings on in a little English village called Deddington. The gruesome death of local girl Charlotte by a rabid monster causes alarm and revulsion - before desperate reporters, crazy... Leer todo",91,crying wolf,2015
139,4.4,Willy Ortlieb,"['D.T. Carney', 'Willy Ortlieb']","Five City slickers go on a weekend hunting trip that they will never forget, if they come out alive. Being on the wrong side of a property line can be deadly, especially when your standing in the middle of a southern family feud.",103,trespass into terror,2015
140,7.1,Kayvon Derak Shanian,Kayvon Derak Shanian,"The life of Fumio Demura, the greatest karate master of a generation.",80,the real miyagi,2015
141,4.5,John Reign,"['John Reign', 'Eric Wojtanik']","A sadistic and brutal killer who distorts the scriptures to suit his own self serving madness teams up with a run-away drifter who bows to his every command, both for love and for fear of her own life.",82,bullets for jesus,2015
142,3.8,Brett Piper,Brett Piper,"A young girl steals her dad's growth experiment infused grapes and feeds them to a pet crab. Years later, the now gigantic crustacean attacks the town!",80,queen crab,2015
143,6.2,Robert Chapin,"['Robert Chapin', 'Andrew Helm', 'Tex Wall']",Bob is coming to terms with his unsuccessful attempts at becoming an actor when he is bitten by a vampire named Susan - the daughter of a crazed vigilante slayer.,90,the hunted,2015
144,-,Tikoy Aguiluz,-,-,-,el brujo,2015
145,3.9,Asiel Norton,Asiel Norton,"In a desolate, future world, after civilization has collapsed, a wanderer fights to save a virgin mother from a powerful magician and, with her, searches for a mythical city containing the world's last survivors.",110,orion,2015
