titulo,anio,puntuacion,id
Deathrow,2000,,tt0294514
Narcosys,2000,,tt0293445
Kilimanjaro,2000,55,tt0297231
The Legend of Gingko,2000,40,tt0297071
The Prince of Light,2000,,tt0296274
La dama de rojo,2000,,tt0297070
Jonni Nitro,2000,,tt0300058
Eto na naman ako,2000,,tt0306787
Krodh,2000,,tt0311413
Night All Day,2000,,tt0311582
Heukwoo,2000,,tt0315956
Baller Blockin',2000,,tt0315253
Gone in 60 Seconds: The Ride,2000,,tt0315906
Baaghi,2000,14,tt0326745
Chung wah dou hap,2000,,tt0325181
Reinkarnasi,2000,,tt0326625
Cuenta saldada,2000,,tt0327601
Semilla de odio,2000,,tt0328397
36K,2000,,tt0331160
Recompensa,2000,-,tt0330808
Ex-Con,2000,,tt0335081
Baliktaran,2000,,tt0334921
Juan & Ted: Wanted,2000,,tt0336675
Sagot kita: Mula ulo hanggang paa,2000,,tt0337134
La texana maldita,2000,,tt0341611
Ayos na... ang kasunod,2000,,tt0343388
Pau lui: Duet min ji lui,2000,,tt0347161
Ang dalubhasa,2000,,tt0344838
Fidel Jimenez: Magkasubukan tayo,2000,-,tt0346983
Col. Elmer Jamias: Barako ng Maynila,2000,,tt0346775
Garapal,2000,,tt0347041
Anghel dela guardia,2000,,tt0346511
Antonio Cuervo - Police: Walang pinipili ang batas,2000,,tt0346516
Eskort,2000,,tt0346948
Katayan,2000,,tt0347321
Makamandag na bala,2000,,tt0347476
Tunay na tunay: Gets mo? Gets ko!,2000,-,tt0344499
Sugo ng Tondo,2000,-,tt0348138
Most Wanted,2000,15,tt0347573
Matalino man ang matsing naiisahan din!,2000,,tt0347512
Minsan ko lang sasabihin,2000,,tt0347547
"Pag oras mo, oras mo na",2000,,tt0347725
Entre las patas de los caballos,2000,,tt0348602
Ipinanganak na ang taong papatay sa iyo,2000,,tt0347255
Ping Lacson: Super Cop,2000,,tt0347777
Spirit Warriors,2000,,tt0348087
Testigo,2000,,tt0348192
Tumbador,2000,,tt0348260
Palaban,2000,,tt0347728
Pasasabugin ko ang mundo mo,2000,-,tt0347747
"Pedro Penduko, Episode II: The Return of the Comeback",2000,,tt0347757
Sheng shi chuan shuo,2000,,tt0347996
Waray,2000,,tt0348350
Ang babaeng putik,2000,-,tt0349092
Tequila y mezcal,2000,,tt0354093
Jallad No. 1,2000,,tt0354662
Fils de personne,2000,,tt0356607
¡Alerta!... La justicia de Rojo,2000,,tt0356219
Paris boum boum,2000,,tt0356996
The Drop,2000,89,tt0359190
Bandolero,2000,,tt0362431
23 Hours,2000,,tt0361277
Maten a la hiena,2000,,tt0364506
La perra anda suelta,2000,,tt0364598
The Dominant Eye,2000,,tt0363573
Tres reos,2000,,tt0364709
Moment's Notice,2000,,tt0369733
Orpheus & Eurydice,2000,,tt0371047
Patigasan,2000,,tt0371069
Kahit pito ang buhay mo,2000,,tt0373057
Mitades,2000,,tt0374051
Barrio sin ley,2000,,tt0381033
Horas contadas,2000,,tt0381253
Cazador de serpientes,2000,,tt0380256
Barrio 13 al desnudo,2000,,tt0379711
Maten al cazador,2000,,tt0381411
El gallo de guerrero,2000,,tt0381202
Xiao Li fei dao zi Fei dao wai chuan,2000,,tt0388416
Infierno en la sierra,2000,,tt0393379
La ley de guerrero,2000,,tt0393431
Ley fuga,2000,,tt0393432
Cholos empericados,2000,,tt0393151
El regreso de Camelia la Chicana,2000,,tt0393638
Catarino y los rurales,2000,,tt0393132
El carretonero,2000,,tt0393130
Caceria del chivo,2000,,tt0397944
80 kilos suicidas,2000,,tt0396413
Sagot ko ang buhay mo,2000,-,tt0398307
Huwag mo akong subukan,2000,,tt0399165
Shinsengumi,2000,,tt0400817
Biu che ji che san chuen suet,2000,,tt0403880
Emilio Aguinaldo,2000,,tt0434916
Aaj Ka Ravan,2000,,tt0437058
Kahit demonyo itutumba ko,2000,,tt0438124
El jueves no matamos,2000,,tt0441332
Tierra de escorpiones,2000,,tt0450859
Thrill Kill Jack in Hale Manor,2000,-,tt0451229
Sultaan,2000,,tt0462041
La ley del gris,2000,,tt0465004
Doubles,2000,,tt0467884
Senza paura,2000,,tt0469823
Shirley Pimple in the John Wayne Temple of Doom,2000,,tt0478888
Meri Jung Ka Elaan,2000,,tt0481880
Vamsee,2000,,tt0484003
Shabdavedi,2000,,tt0495627
Billa No. 786,2000,,tt0494926
Shikaar,2000,,tt0495893
13 Días antes de vivir,2000,,tt0772693
Los muertos no hablan,2000,,tt0777953
The Revenge: Geeta Mera Naam,2000,,tt0778824
Patrón de patrones,2000,,tt0783768
Kaze wo mita shônen,2000,,tt0784145
Las plebes de Sinaloa,2000,,tt0787124
Gomer and Ed Lost in Space,2000,,tt0810396
Kaisokuou ni ore wa naru,2000,,tt0814243
Nan guo feng yun,2000,,tt0856262
Ölüm Pesimizde,2000,,tt0899183
Ngo joi gam yuk dik yat ji,2000,,tt0903904
Ying: Saat ji fat,2000,,tt0929287
Pravo na vybor,2000,,tt0950759
Ying Xiong Wu Yu,2000,,tt10049680
Soorappa,2000,,tt10168828
Umi no ourora,2000,,tt1080035
Kugel ins Genick,2000,,tt10895738
Gai zheng gui xie,2000,,tt10978642
Kaali Ki Saugandh,2000,,tt1107348
I epohi ton asevon,2000,,tt1162002
Kosto,2000,,tt11826730
Rayalaseema Ramanna Chowdary,2000,100,tt1212136
Aaj Ka Nanha Farishta,2000,,tt1225873
Kaali Topi Lal Rumaal,2000,,tt1236202
Dujon Dujonar,2000,,tt12425714
Bayer 04 Leverkusen vs Eintracht Frankfurt,2000,,tt12455262
Dalaal No.1,2000,,tt1265645
Foh lung lui,2000,,tt13709798
Aakhir Kaun Thi Woh?,2000,,tt1453939
Babu Parsuram,2000,,tt1468292
Sudhandhiram,2000,,tt1505127
Ayudha Pooja,2000,,tt1538460
Dard Pardesaan De,2000,,tt1547627
Prema Kosam,2000,,tt1575657
Sivaji,2000,82,tt1575680
Jayam Manadera,2000,,tt1575576
Baachi,2000,,tt1694521
Nu nan jue,2000,,tt1703099
Yi bu yi di xue,2000,,tt1781066
Goo yung bing,2000,,tt1796494
12 O'clock,2000,,tt1841475
Akin ang labang ito,2000,-,tt1894406
Bhai No 1,2000,,tt1999101
Aakhri Dacait,2000,,tt2006046
Saugandh,2000,,tt2006228
Patthar Aur Payal,2000,-,tt2006203
Agniputra,2000,,tt2008444
Justice Chowdhary,2000,,tt2008544
Babu Badshah,2000,,tt2009425
Jwalamukhi,2000,,tt2009503
Qurbaniyaan,2000,,tt2009563
Sabse Bada Be-Imaan,2000,,tt2009571
Qian long duo bao,2000,,tt2022512
Nante yononakada.,2000,,tt2028524
Maguna,2000,,tt2083257
Liu mang te jing,2000,,tt2097292
The Twitching Dead,2000,,tt2145951
Kureyon Shinchan: Arashi o Yobu Janguru!,2000,,tt2180441
Tie nan ben se,2000,,tt2230266
Tian xia wu di zhang men ren,2000,,tt2433732
Daku Sultana,2000,,tt2504924
