puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,id_pelicula
,9.9,Andrew Cappelletti,Andrew Cappelletti,An eccentric sculptor mounts up on his custom 1100 Horsepower Super Trike and encounters all the beauty of the Southern California landscape. Hold on to the arm of your chair and get ready for a wild ride.,7,Accion,the rocket ii,tt1533772
,-,Angela Heffner,Angela Heffner,"FBI Special Agent Nick Jameson poses as a bartender at a local hangout in hopes of getting to know Randi Ryder. It is suspected that her father, the local County Sheriff, will attempt to cash-in on a 1 million dollar life insurance policy he has on her. It is up to Nick to do whatever it takes to covertly win Randi's trust and save her from her potential fate. However... Leer todo",26,Accion,for different reasons,tt1540891
,-,Guy Khandjian,Guy Khandjian,"Lara and Matt, two young people, get in contact with Hakushi's spirit, the guinea-pig of a secret military experiment. In order to escape and to fight against this mysterious military group, Hakushi gives away clues and awakens Lara and Matt's latent powers. He will reveal to them the key of their existence.",11,Accion,hakushi,tt1541798
,1.9,Gauthier Lamothe,Gauthier Lamothe,"Carl has a weird fantasy : fighting a man who would have nothing to loose... He thinks this would be a prodigious challenge because the man wouldn't be afraid of dying... One day, he has a possibility to fulfill this fantasy.",12,Accion,rien à perdre,tt1542733
,8.2,Miguel Silveira,Miguel Silveira,A group of children steal away from their neighborhood street parade to wage a children's war on a rooftop.,17,Accion,rooftop wars,tt1543758
86,7.4,Dan Brown,Dan Brown,"When an elderly man discovers he's won $156 million in the lottery while shopping at a convenience store, a young man decides to make his own odds. The store manager and a married couple are also mixed up in the game. Who will make it out of the store alive?",18,Accion,your lucky day,tt1545556
,-,Dominique Deleon,Dominique Deleon,1994. A young graffiti girl battles the police and a bitter rival to finish a prized piece.,13,Accion,tags,tt1549026
,,,,,,Accion,the betrayal of velvet fox,tt1550634
,-,"['Rene Amador', 'Jocelyn Hsu']","['Rene Amador', 'Jocelyn Hsu']","A world of possibility awaited us in outer space. The first Mars Colony, after hundreds of years as a bold haven of exploration, has collapsed under pressure to recede its sovereignty to the Earth Alliance. However, a small resistance remains on Mars, few in number but fanatical in purpose. Emboldened by public indifference, the Alliance Defense Force's war-machine mo... Leer todo",-,Accion,mars: tabris,tt1553036
,7.2,David Margolis,David Margolis,"A little boy is faced with a terrible dilemma - whether to kill his parents, or Father Christmas and his elf.",12,Accion,tell him next year,tt1553909
100,-,Gentry Smith,Gentry Smith,An overprotective father chases down the young man who dallied with his daughter.,7,Accion,the farmer's daughter,tt1555107
11,6.1,Paul Doucet,Paul Doucet,"After being isolated for a long time in an underground bunker following a nuclear war, a woman named Marie decides to put an end to her life.",10,Accion,bunker,tt1556688
11,6.1,Paul Doucet,Paul Doucet,"After being isolated for a long time in an underground bunker following a nuclear war, a woman named Marie decides to put an end to her life.",10,Accion,bunker,tt11618200
,-,Asen Bozhashki,Asen Bozhashki,"Just another, but not the typical one, school day for Yavor Alipiev.",7,Accion,just another school day,tt15573030
,-,-,John Rhymes,'Big City' is about two urban detectives that are 1st called to difuse Los Angeles urban problems. They are a high risk special unit that works as a 'special unit division' of LAPD. The J. KNOX is a more rugged but very intelligent character where as 'D. Dub' is a Flashy fresh dresses pretty boy who has a knack of breaking and entry. The Duo will see themselves in ver... Leer todo,7,Accion,blowtorch,tt1557531
,-,Wil Magness,"['K. Spencer Jones', 'Toven Stith']",A man hunts down his girlfriend's murderers and wrestles with the morality of revenge killing.,18,Accion,when to kill,tt1560758
,7.6,Chris Farrington,Chris Farrington,"Against the backdrop of 19th-century wireless telegraph experimentation, a scientist must survive a confrontation with a distraught local who claims the mysterious technology keeps him from contacting his recently departed wife.",18,Accion,signal,tt1566943
,-,Cayde Joy,Cayde Joy,A cop and criminal go head to head in this action packed revenge story.,-,Accion,critical limit,tt15672004
,-,Paul Farmer,Pol Hodge,"Skath explores the world of Cornish pilot gig racing, one of the fastest growing water sports in contemporary Britain, through the eyes of Pol Hodge, poet and newcomer to this physically demanding sport. Can he overcome a lifetime of sloth to gain a place in the World Championships in just six months?",42,Accion,skath,tt1567690
,-,-,R.E. Rodemann,"Atom Boy is a Super Hero. In Atom Boy's world Super Heroes are common place. Everyday people see and interact with Super Heroes on a daily basis, in all sorts of settings. Although Super Heroes have extraordinary powers, they have every day problems just like anyone else. Atom Boy is having a problem with drinking. This is a brief moment in time showing Atom Boy's str... Leer todo",9,Accion,atom boy versus alcohol,tt1567748
27,8.4,Alain Xalabarde,Alain Xalabarde,An Italian mobster betrays his family as he struggles to save the life of an innocent Chinese girl.,19,Accion,china doll,tt1567761
,-,Daniel Story,Daniel Story,A woodsman must rescue his young daughter from an evil witch.,15,Accion,the witch & the woodsman,tt1568303
,6.9,Martin Schreier,Martin Schreier,"The holiest night, the loneliest people. A singer, a killer and Santa Clause. United in their destiny.",38,Accion,the night father christmas died,tt1568299
,-,Juan Francisco de la Guardia,Juan Francisco de la Guardia,OCD Oscar and Bipolar Betty walk into a convenience store being robbed by Narcissist Nathan and Paranoid Pete... insanity ensues.,9,Accion,crazy pig,tt1570474
,-,Will J. Barker,-,"Two campers become lost in the woods and are attacked by the legendary beast, El Peligro.",10,Accion,el peligro,tt1574574
,-,Alfonso Lourido,Alfonso Lourido,Every thing is relative to the point of view and reality is always subjected to the number of layers that comprise it.,12,Accion,la toma,tt1575601
,-,Jonathan Browning,Jonathan Browning,"There's a new hero fighting crime, Tipster Man.",2,Accion,the adventures of tipster man,tt1578718
,-,Kieran Ricketts,"['Amy Louise Dixon', 'Kieran Ricketts']",A ditzy girlfriend. An annoying mate. An addictive console game - and one hell of a bet.,6,Accion,hardcore mode,tt1581301
,-,Nenad Radov,Nenad Radov,"Delivering pizza is usually a straightforward experience but if there's a bound and unconscious girl involved then the steel cutter, the chickens, the cage, and a smarmy boss should be expected, too.",7,Accion,the delivery,tt1581800
,-,Jahne Coutts-Smith,Jahne Coutts-Smith,-,7,Accion,lady luck,tt1582420
,7.7,Beau Chevassus,"['Parker Matthews', 'Beau Chevassus']",An age-old feud erupts between a clown and a mime only for an unexpected bond to be found at the end.,5,Accion,erzfeind,tt1583996
,-,Boris Gazibarich,Boris Gazibarich,"A man awakes in a cuboid rock space to discover the numbers 7, 8, 9 and 0 have disappeared from the world overnight. He searches for his way home and an explanation.",6,Accion,sixophrenia,tt1585643
,-,Michael Shu,Michael Shu,"Amidst a violent transition in the Japanese mafia, Ken must finally face the mistakes of his past. He can trust no one as the line between friend and foe are blurred. In the end, one thing is certain: all will face the consequences of their sins.",21,Accion,repercussions,tt1586533
,7.2,"['Edgar Jimz', 'Pablo V. Chirinos', 'Aldo Di Avila']",Edgar Jimz,"When our Intelligence Agencies are infiltrated by a terrorist organization, seven disgraced New York City Cops are selected to stop the worst terrorist attack in US history. This time it takes some dirty cops to save the world.",40,Accion,code name: operation black thunder,tt1586724
43,-,Leo Flander,Leo Flander,An allied soldier rolls the dice in a last ditch effort to win WW2.,3,Accion,snake eyes,tt1586562
,-,Nicholas Colla,Nicholas Colla,"One Flu North is a film about five Victorian Soldiers that get stopped at the border, trying to smuggle Swine Flu into NSW. While I was living in Sydney there was a huge uproar when NSW began to quarantine anyone coming into NSW from Victoria. There was a backlash from the Victorian Premier who claimed that NSW was merely jealous of Victoria and thus the age old 'who ... Leer todo",7,Accion,one flu north,tt1586503
,-,Lara Del Arte,Lara Del Arte,"Two blokes, one hot car and a whole lot of trouble.",6,Accion,revved up,tt1586535
,-,Jasper Bagg,Jasper Bagg,The true story of one biker's efforts to keep his pride intact at an extraordinary party.,7,Accion,naked passions,tt1586490
,-,Ben Rosenberg,Ben Rosenberg,Ben faces off with the king of the jungle... the mouse.,8,Accion,mouse,tt1588443
,-,Justin de Knock,Justin de Knock,To what lengths would you go to get the respect?,6,Accion,once upon a time in australia,tt1586502
,-,Gerry Bruno,David Koon,"The story of Bettie Lawrence, an average, all-American girl who stumbles upon a mysterious jewel with amazing powers.",13,Accion,the bloodstone diaries: sleeper,tt1587323
,-,John Ma,John Ma,"It is one thing to die for a cause, but what are you prepared to kill for?",7,Accion,make me,tt1588437
,-,Ben Wagner,Ben Wagner,"A female cop must escape a gang of thugs through alleys, houses, in a speeding car - only to return to confront the gang-leader.",6,Accion,6:00,tt1588285
43,-,Will Herbert,"['Will Herbert', 'Cosmo Wallace']",Detective Klein is under suspicion for a terrible crime. Detective Wilson is coming down hard on offending officers. Is anyone going to come out clean?,9,Accion,crossing the line,tt1586728
,-,Santiago Maza,"['Branko Gomez Palacio', 'Santiago Maza']","The legendary 'Faraonica San Juan Boxing Arena' is once again the scenario for an epic encounter, this time between 'Choko' Tabarez and 'Duvalin' Espadas. Everything seems to be ready to enjoy round after round of pugilist talent, when all of a sudden, an unexpected uppercut changes the outcome of the fight and the course of the night for all those present.",11,Accion,recto recto gancho,tt1588388
,7.2,Jeff Gatesman,"['Nancy Breaux', 'Jeff Gatesman']",Three people get together for a (not-so) friendly game of Scrabble.,4,Accion,full contact scrabble,tt1589435
,-,Arturs Anspoks,-,-,-,Accion,excellent book,tt1590775
,7.3,Tim Russ,"['Robert Michael Conrad', 'James Nestor', 'Tim Russ']","Conflict! The clash between right and wrong. Or, at least that's the way we see it. Especially, as we perceive ourselves to be always in the right. Will it ever end? Will we ever learn?",7,Accion,war of heaven,tt1590235
,4.5,Ruben Bults,"['Michael Leendertse', 'Matthijs Treurniet', 'Mark Wallaard']","The stubborn and egocentric police agent Peter, has but one week to convert dressage horse Jacques into the mighty stallion he once road into combat.",12,Accion,spaanse draf,tt1590174
,-,Matthew Chin-Quee,Matthew Chin-Quee,A desperate woman searches for her winning lottery ticket that was stolen from her by a time traveler.,15,Accion,you never know,tt1590839
,-,Justin Bellow,"['Maurice Anthony', 'Justin Bellow']",A police detective struggles to balance his marriage with his job and after fearing his wife may be having an affair with his partner; he is forced to confront one of them.,15,Accion,broken,tt1590293
,-,Justin Bellow,"['Maurice Anthony', 'Justin Bellow']",A police detective struggles to balance his marriage with his job and after fearing his wife may be having an affair with his partner; he is forced to confront one of them.,15,Accion,broken,tt3557198
,-,Utpal Choudhury,Utpal Choudhury,In September 2008 Lehman Brothers collapsed in the US. That altered the lives of Munna - a teenage boy in a Mumbai slum - and his sister and old father.,15,Accion,lemon brothers falls,tt1590793
,5.0,Lydia Martinelli,"['Lydia Martinelli', 'Shanta Payne']","Hunter Gavin, a bipolar pill-popping drug dealer, discovers that the top buyer of his Bolivian cocaine is an undercover federal agent. Gavin sets out to trap and murder the agent but his plan halts when an unexpected problem occurs.",30,Accion,nose candy,tt1592568
,-,Ron Tramontano,Ron Tramontano,-,5,Accion,women and children go missing everyday: watch how,tt1595045
14,-,Glenn Edwards,"['Glenn Edwards', 'Michael Pintabona']",To create an informative and dramatic short film under 7 minutes with the use of facts (both obvious and vague) and action using computer generated effects to maximize emotion and speculation.,7,Accion,the end,tt1594989
,-,Petr Brodacky,Petr Brodacky,"The story serves Sid B., a modern-day grave robber, on one of his nighttime exploits.",19,Accion,bip25325,tt1595612
,7.7,"['Matt Bettinelli-Olpin', 'Tyler Gillett']","['Matt Bettinelli-Olpin', 'Rob Polonsky', 'Chad Villella']","While trying to get to their boss's birthday party, three friends battle gangs, demons and an extremist militia on the streets of Los Angeles.",21,Accion,"the birthday party: a chad, matt & rob interactive adventure",tt1594936
,-,Kyle Malkin,"['Bret Malkin', 'Cory Malkin']","Ashton Hunt, leader of Expeditionary Force 343, is separated from his squad and finds himself on the run for his life with documents incriminating his superior officer. Fighting his way through the forests of Northern Quebec, Hunt is transformed into a local hero as he helps the locals win their freedom from Jackson's occupying forces.",9,Accion,expeditionary force 343,tt1595649
,-,Kene Lewis,Kene Lewis,A live action film that uses juggling to give tribute to Black History Month.,12,Accion,"juggling: a tribute to african-american, asian-american, european-american, jewish-american, latino-american, native-american and women-american history",tt1595460
,-,Abbie Bernstein,"['Abbie Bernstein', 'Robert Chapin']",Vampire overlord Vincent Marlowe hopes to organize his fellow bloodsuckers.,20,Accion,"overlords, incorporated",tt1597080
,-,"['Reed Kaufman', 'Murad B. Yunus']",Reed Kaufman,An assassin is given an unusual assignment.,3,Accion,sa,tt1597126
,-,Ken Volok,-,A surfer encounters unfriendly locals.,1,Accion,locals only,tt1598104
,4.8,"['Paul Chun', 'Cheyton Jain']",-,The three players race in a school using magic.,3,Accion,"the chair, the box, and the broom",tt1598702
,3.1,Chris Birkmeier,Chris Birkmeier,Blair wants to be free. But freedom comes with a cost.,6,Accion,u.s.a.,tt1598727
,7.8,Will Raée,Will Raée,A film that brings to light the realities of life in Northern Uganda and the plight of children caught in war.,19,Accion,faith and dreams,tt1599288
,8.5,Andrew Napier,Andrew Napier,Two brothers working in organized crime fight over the same girl while torturing a man in the back of a restaurant.,9,Accion,double gin on the rocks,tt1601190
,-,Josh Hansbrough,-,The therapeutic properties of the ocean enable autistic children to become free spirited kids again while breaking down barriers of possibility and truly healing 'disabilities.',7,Accion,riding the wave of autism,tt1600868
,-,Michael Babbitt,"['Michael Babbitt', 'Josh Johnson']",Two pod-casting movie reviewers inadvertently witness a high-level assassination. The ramifications of this event could change the future of our country and possibly the world.,13,Accion,elimination,tt1600511
,-,Michael D. Nes,"['Michael D. Nes', 'Eric Wiener']","A god-fearing, pacifist preacher must decide between letting his only friend die or killing those responsible.",10,Accion,orson's perish,tt1600816
,-,Lance Mora,Lance Mora,An evil witch is out to kill some brooms that have abandoned her.,15,Accion,crime sweepers revenge of broom witch,tt1602120
88,-,"['Nicolas Cuellar', 'Raphaël Pfertzel', 'Ambra Tonini']",-,"If you attempt to raise above your status by making someone fall, your fall will be planned by someone who wants to raise himself.",20,Accion,the big picture,tt1601937
,7.9,Jesse Daniel,"['David Amonsen', 'Jesse Daniel']",-,21,Accion,the crossing,tt1600057
,7.9,Jesse Daniel,"['David Amonsen', 'Jesse Daniel']",-,21,Accion,the crossing,tt1659221
,-,"['Sean Lawless', 'Ruben Sargisi']",Sean Lawless,The year is 2148. An operative investigates a government conspiracy that can break an alliance and cause a war with extraterrestrials.,19,Accion,anica 2148: the scale war,tt1600473
,-,Christian Muth,"['Corinna Baier', 'Christian Muth']","A genetic anomaly gives Simon a superhuman learning ability. As he finds himself between the parties of a thousand-year-old vendetta, he has to fight to survive.",20,Accion,anomaly: oblivion,tt1602102
