,0,1,2
400,Musíme si pomáhat,2000,
401,Calling Bobcat,2000,
402,Portugál,2000,
403,Scalpers,2000,
404,Mirakel,2000,
405,Banqueroute,2000,
406,The Target Shoots First,2000,
407,Der tote Taucher im Wald,2000,
408,Les savates du bon Dieu,2000,
409,The Bare Wench Project,2000,
410,Old No. 587: The Great Train Robbery,2000,96
411,The Tao of Steve,2000,80
412,Blinkende lygter,2000,
413,Dong jing gong lüe,2000,
414,Anyád! A szúnyogok,2000,
415,The Nine Lives of Tomas Katz,2000,90
416,Little Heroes 2,2000,
417,Better Than Sex,2000,47
418,Aïe,2000,
419,Born Romantic,2000,58
420,Paradiso - Sieben Tage mit sieben Frauen,2000,
421,Closing the Deal,2000,
422,Rat,2000,58
423,The Gold Cup,2000,
424,Laissons Lucie faire!,2000,
425,The Original Kings of Comedy,2000,83
426,"Stop It, You're Killing Me",2000,
427,Ryûsei,2000,
428,Jetzt oder nie - Zeit ist Geld,2000,
429,Limousine Drive,2000,
430,Vampire Night,2000,
431,Le sciamane,2000,
432,Pane e tulipani,2000,
433,Tri brata,2000,
434,Komiker,2000,
435,Chlopaki nie placza,2000,
436,101 Reykjavík,2000,89
437,Operación Gónada,2000,
438,Jacqueline dans ma vitrine,2000,
439,The Last Late Night,2000,
440,Misstoestanden,2000,
441,Harte Jungs,2000,
442,Home: The Horror Story,2000,
443,André le magnifique,2000,
444,Scrappers,2000,
445,Kuzz,2000,
446,You Are Here*,2000,
447,Gossip,2000,28
448,La bouteille,2000,
449,Tajna porodicnog blaga,2000,
450,Marriage Prep,2000,
451,There's Only One Jimmy Grimble,2000,71
452,Kallafiorr,2000,
453,101 Ways (The Things a Girl Will Do to Keep Her Volvo),2000,-
454,Monday,2000,86
455,Annayya,2000,
456,Les filles ne savent pas nager,2000,
457,Les sentiers du petit bonheur,2000,
458,Sleeping in a Dream,2000,-
459,Starye klyachi,2000,
460,Zorrita: Passion's Avenger,2000,
461,Fíaskó,2000,
462,"Femminile, singolare",2000,
463,Nationale 7,2000,
464,The Photographer,2000,57
465,Fast Lane to Malibu,2000,-
466,Peaches,2000,0
467,Citizen James,2000,
468,"Dude, Where's My Car?",2000,17
469,Team Spirit,2000,55
470,Hera Pheri,2000,92
471,La capa gira,2000,
472,Carretera y manta,2000,
473,Lava,2000,67
474,Naked Wishes,2000,
475,Milk Punch,2000,
476,Mic and the Claw,2000,
477,Il grande botto,2000,
478,Bunny,2000,
479,Besos para todos,2000,
480,Road to Flin Flon,2000,
481,Le battement d'ailes du papillon,2000,
482,A galope tendido,2000,
483,Supêsutoraberâzu,2000,
484,Goo nam gwa lui,2000,
485,Hadh Kar Di Aapne,2000,35
486,Charkh,2000,
487,Big Brother Trouble,2000,20
488,Kuet chin chi gam ji din,2000,
489,Go-Con! Japanese Love Culture,2000,
490,Italiensk for begyndere,2000,
491,Baby Bedlam,2000,
492,Lázaro de Tormes,2000,
493,The Acting Class,2000,
494,The Brainiacs.com,2000,50
495,The Cat Killers,2000,
496,Eu Tu Eles,2000,
497,Drift,2000,63
498,Cinderella; Single Again,2000,
499,Pasty Faces,2000,
500,Kate & Leopold,2001,52
501,El día de los albañiles 2,2001,
502,Albela,2001,11
