tipo,nombre,año estreno,mes estreno,id_pelicula
Cortometraje,The Fourth Horseman,2010,-,tt1612082
Cortometraje,Mashed,2010,2,tt1611905
Cortometraje,Cliffhanger,2010,2,tt1612798
Cortometraje,St. Christophorus: Roadkill,2010,10,tt1612047
Cortometraje,The Van Job,2010,2,tt1612099
Cortometraje,Bubble Head,2010,-,tt1612257
Cortometraje,Hushed,2010,3,tt1613101
Cortometraje,Aratitiyope,2010,3,tt1612237
Cortometraje,Killer Crack,2010,3,tt1613112
Cortometraje,Lights Out,2010,-,tt1613120
Cortometraje,What's the Kitsch?,2010,-,tt1615128
Cortometraje,Half Hearted,2010,8,tt1615450
Cortometraje,The Siren Song Volunteer,2010,-,tt1615099
Cortometraje,Divided,2010,-,tt1617088
Cortometraje,3 Hours,2010,-,tt1615834
Cortometraje,Manifest Destiny: A Fates Calling,2010,-,tt1616113
Cortometraje,They Came from Beyond the Sun,2010,10,tt1615890
Cortometraje,Vegeterrible,2010,9,tt1615903
Cortometraje,Not Born Heroes,2010,1,tt1616132
Cortometraje,Attack Dog,2010,-,tt1617011
Cortometraje,Batista Crump Kali,2010,2,tt1617626
Cortometraje,Passing Thru,2010,-,tt1617161
Cortometraje,Alone at Midnight,2010,1,tt1616996
Cortometraje,Midnight Sky,2010,-,tt1617132
Cortometraje,Building the Future,2010,-,tt1617033
Cortometraje,Azureus Rising,2010,7,tt1619606
Cortometraje,Animal,2010,-,tt1619603
Cortometraje,Asleep with the Angels,2010,4,tt1620429
Cortometraje,Bad Moon Rising,2010,,tt1619609
Cortometraje,Tarzan Jr. and the Cuban Mercenaries,2010,8,tt1620977
Cortometraje,Laharog Dvora,2010,,tt1620851
Cortometraje,Zombie Team Building,2010,2,tt1621070
Cortometraje,The Agency,2010,-,tt1620982
Cortometraje,Phantom Blvd.,2010,-,tt1621881
Cortometraje,Next,2010,-,tt1621842
Cortometraje,The Dead Walk in Brooklyn III: The Silent Years,2010,-,tt1623163
Cortometraje,Mylo,2010,1,tt1621836
Cortometraje,Represent,2010,2,tt1621908
Cortometraje,Agent Jones,2010,-,tt1622571
Cortometraje,Under Fire,2010,3,tt1625186
Cortometraje,Deceivers,2010,3,tt1625078
Cortometraje,Consequências,2010,9,tt1625067
Cortometraje,Blood Ties,2010,4,tt1625048
Cortometraje,Appleton,2010,12,tt1625040
Cortometraje,Rialto Twirlers,2010,1,tt1626207
Cortometraje,The Darco File,2010,-,tt1625162
Cortometraje,Caged Dreams,2010,3,tt1625558
Cortometraje,Bail Out,2010,3,tt1626605
Cortometraje,Birthday Girl,2010,3,tt1627886
Cortometraje,Watching the Detectives,2010,2,tt1625885
Cortometraje,Soulless,2010,10,tt1626235
Cortometraje,Lapse,2010,-,tt1628003
Cortometraje,Just Cops,2010,3,tt1630244
Cortometraje,Evil Cats,2010,-,tt1630554
Cortometraje,A Disruption in the Routine of Eamonn,2010,-,tt1630288
Cortometraje,Shot,2010,4,tt1630610
Cortometraje,Platinum Chisel,2010,-,tt1631403
Cortometraje,Gunman,2010,-,tt1631327
Cortometraje,Screenplay,2010,-,tt1631429
Cortometraje,Pillars of Hope,2010,-,tt1631399
Cortometraje,Hell of a Wedding,2010,7,tt1631333
Cortometraje,Sweet Crime,2010,-,tt1631464
