tipo,nombre,año estreno,mes estreno,id_pelicula
Pelicula,Texas Frightmare Massacre,2010,4,tt1416343
Pelicula,Predators,2010,7,tt1424381
Pelicula,True Legend,2010,2,tt1425257
Pelicula,Money to Burn,2010,,tt1425930
Pelicula,War Machine,2010,5,tt1426389
Pelicula,The Boxer,2010,1,tt1426325
Pelicula,Coursier,2010,2,tt1429429
Pelicula,Alien Opponent,2010,8,tt1429382
Pelicula,No Problem,2010,12,tt1431122
Pelicula,Faster,2010,1,tt1433108
Pelicula,13 Assassins,2010,9,tt1436045
Pelicula,Chinese Kung Fu,2010,,tt14377420
Pelicula,Gladiator Games,2010,9,tt1439532
Pelicula,Le ultime 56 ore,2010,5,tt1440231
Pelicula,The Spy Who Kicked Me,2010,4,tt14404234
Pelicula,The American,2010,9,tt1440728
Pelicula,Joo-yoo-so-seup-gyeok-sa-geon-too,2010,1,tt1442512
Pelicula,14 Blades,2010,2,tt1442571
Pelicula,The Gift,2010,6,tt1445206
Pelicula,Caught in the Crossfire,2010,11,tt1449379
Pelicula,Tu to Sajan Mara Kadje Korani,2010,10,tt14527302
Pelicula,Devil's Playground,2010,10,tt1453245
Pelicula,Caribbean Basterds,2010,8,tt1455613
Pelicula,Prince,2010,4,tt1455816
Pelicula,Boy Wonder,2010,4,tt1456060
Pelicula,Jing wu feng yun: Chen Zhen,2010,9,tt1456661
Pelicula,"Tomorrow, When the War Began",2010,9,tt1456941
Pelicula,The Next Three Days,2010,12,tt1458175
Pelicula,Jian yu,2010,9,tt1460743
Pelicula,Enemies Among Us,2010,,tt1462044
Pelicula,Vanguard,2010,,tt1462715
Pelicula,Autoreiji,2010,6,tt1462667
Pelicula,Falling Down,2010,7,tt1463774
Pelicula,The Weathered Underground,2010,1,tt1464590
Pelicula,Mit moon,2010,1,tt1465499
Pelicula,Confession,2010,7,tt1465477
Pelicula,The Wrath of Cain,2010,10,tt1465519
Pelicula,Bear,2010,6,tt1468703
Pelicula,Higashi no Eden Gekijôban II: Paradise Lost,2010,3,tt1468321
Pelicula,MacGruber,2010,5,tt1470023
Pelicula,Trackdown,2010,-,tt1470608
Pelicula,Slimed,2010,3,tt1474859
Pelicula,Space Battleship Yamato,2010,12,tt1477109
Pelicula,"Kôshônin: The movie - Taimu rimitto kôdo 10,000 m no zunôsen",2010,2,tt1478965
Pelicula,Transparency,2010,4,tt1479398
Pelicula,Wildfire: The Arabian Heart,2010,1,tt1482957
Pelicula,Asal,2010,2,tt1483821
Pelicula,Drug Related,2010,10,tt1486652
Pelicula,Hana no ato,2010,3,tt1487916
Pelicula,Trap,2010,5,tt1494828
Pelicula,Dirty South,2010,,tt1495732
Pelicula,Paiyaa,2010,4,tt1496832
Pelicula,Aaranya Kaandam,2010,6,tt1496729
Pelicula,Dead Cert,2010,1,tt1499220
Pelicula,Courier,2010,11,tt1500160
Pelicula,Hard Way Heroes,2010,11,tt1503119
Pelicula,Thillalangadi,2010,7,tt1503179
Pelicula,In III Dragon,2010,12,tt1504245
Pelicula,Alone,2010,4,tt1504989
Pelicula,Naan Mahaan Alla,2010,8,tt1507005
Pelicula,The Grind,2010,5,tt1509269
Pelicula,Oxy-Morons,2010,-,tt1510926
Pelicula,Super,2010,6,tt1512235
Pelicula,Carpet Racers,2010,4,tt1512738
Pelicula,Aayirathil Oruvan,2010,1,tt1512888
Pelicula,Terrible Things,2010,3,tt1514054
Pelicula,Karl the Butcher vs Axe,2010,9,tt1517076
Pelicula,Better Mus' Come,2010,,tt1517621
Pelicula,The Blood Bond,2010,1,tt1520399
Pelicula,The Diamonds of Metro Valley,2010,4,tt1520408
Pelicula,Broken Springs,2010,,tt1521709
Pelicula,Curse of the Shaolin,2010,-,tt1522276
Pelicula,Arctic Blast,2010,5,tt1523267
Pelicula,Knucklehead,2010,10,tt1524131
Pelicula,Gantz,2010,1,tt1525835
Pelicula,Ajeossi,2010,8,tt1527788
Pelicula,Last Kung Fu Monk,2010,10,tt1527823
Pelicula,Disrupt/Dismantle,2010,4,tt1528225
Pelicula,Caos,2010,9,tt1528280
Pelicula,Route Irish,2010,6,tt1528312
Pelicula,The Devil's 6 Commandments,2010,11,tt1528806
Pelicula,Born to Raise Hell,2010,12,tt1528718
Pelicula,Kommandør Treholt & ninjatroppen,2010,8,tt1528769
Pelicula,Szinglik éjszakája,2010,2,tt1530545
Pelicula,Rocksteady,2010,10,tt1530996
Pelicula,The Traveler,2010,11,tt1533084
Pelicula,Rang zi dan fei,2010,12,tt1533117
Pelicula,Zeburâman: Zebura Shiti no gyakushû,2010,5,tt1534568
Pelicula,Cheung wong ji wong,2010,6,tt1535495
Pelicula,Sin yan,2010,8,tt1535492
Pelicula,Cheburashka,2010,12,tt1535430
Pelicula,Ui-hyeong-je,2010,2,tt1535491
Pelicula,Hometown Glory,2010,,tt1536420
Pelicula,Ejder Kapani,2010,1,tt1538819
Pelicula,Treasure of the Black Jaguar,2010,,tt1540084
Pelicula,Amphibious 3D,2010,11,tt1540761
Pelicula,Consumption,2010,,tt1545043
Pelicula,À bout portant,2010,12,tt1545759
Pelicula,The Kane Files: Life of Trial,2010,5,tt1546420
Pelicula,The Forgotten Jewel,2010,2,tt1550643
Pelicula,Sweet Science,2010,4,tt1550623
Pelicula,Changing Hands,2010,4,tt1551615
Pelicula,Grim,2010,7,tt1552034
Pelicula,Strangulation,2010,-,tt1553419
Pelicula,"Aballay, el hombre sin miedo",2010,6,tt1554426
Pelicula,Airiseu: Deo mubi,2010,11,tt1555024
Pelicula,Garo: Red Requiem,2010,10,tt1554970
Pelicula,Tropa de Elite 2: O Inimigo Agora é Outro,2010,9,tt1555149
Pelicula,The Vigilante,2010,-,tt1555156
Pelicula,Air,2010,-,tt1558247
Pelicula,Knock Out,2010,10,tt1558578
Pelicula,Comme les cinq doigts de la main,2010,4,tt1558741
Pelicula,The Animal I've Become,2010,7,tt1560182
Pelicula,Theft by Deception,2010,12,tt1560988
Pelicula,Gun,2010,9,tt1560954
Pelicula,Essential Killing,2010,9,tt1561768
Pelicula,To Die Is Hard,2010,,tt1562904
Pelicula,Golmaal 3,2010,11,tt1562859
Pelicula,Resurrection of Serious Rogers,2010,8,tt1564907
