tipo,titulo,anio,mes_estreno,id_pelicula
Cortometraje,Eyes of Terror,2002,6,tt1934250
Cortometraje,Jews of Cuba,2002,-,tt1950212
Cortometraje,Alexis 5.7,2002,5,tt2041284
Cortometraje,Star Wars: Episodio Pi - Sithspotting,2002,7,tt2046143
Cortometraje,Pierre et le Loup,2002,6,tt2176660
Cortometraje,Spritztour,2002,6,tt2246993
Cortometraje,Vendetta,2002,2,tt2317333
Cortometraje,Ninpû Sentai Harikenjâ: Za Mubi Shushutto,2002,4,tt2523882
Cortometraje,The Deathworms of Kratos,2002,6,tt2724106
Cortometraje,Reload,2002,10,tt3067498
Cortometraje,Hunted,2002,4,tt3542230
Cortometraje,Cheerleader: Saga of an Action Hero,2002,8,tt3645572
Cortometraje,Dread of Presence,2002,3,tt3997558
Cortometraje,Affaire de Flics,2002,1,tt4499324
Cortometraje,Jeopardy Run,2002,9,tt4600758
Cortometraje,Ego Trip,2002,11,tt5205434
Cortometraje,Beach Fighter,2002,4,tt5362024
Cortometraje,DinoHand,2002,,tt6263620
Cortometraje,Waste of Time,2002,12,tt6781562
Cortometraje,Corre,2002,-,tt8558152
Cortometraje,Run,2002,11,tt15758684
Cortometraje,Vicious Circle,2002,4,tt8821266
Cortometraje,Mercedes 'Lucky Star',2002,7,tt8583492
Cortometraje,Taking Advantage,2002,3,tt7794394
Cortometraje,New Berlin,2002,,tt8191758
Cortometraje,These,2002,4,tt15801946
Cortometraje,Run Frodo Run,2002,3,tt7247266
Cortometraje,Mies ilman totuutta,2002,4,tt9008220
Cortometraje,The 7th Day,2002,,tt8711338
Cortometraje,Smertelnaya avariya,2002,,tt6833832
Cortometraje,The Size of It,2002,,tt9032318
Cortometraje,My Friend Mao,2002,-,tt18291434
Cortometraje,Pit Fighter,2002,-,tt19769732
Cortometraje,Resarcimiento,2002,,tt19797422
Cortometraje,CrossSnow,2002,,tt21479782
Cortometraje,Armageddon - Les Effets Speciaux,2002,3,tt27446016
Cortometraje,Henrique Couto Show Movie,2002,,tt29390825
Cortometraje,Plastik Man,2003,-,tt0200962
Cortometraje,Lost Time: The Movie,2003,,tt0282696
Cortometraje,Four Fingers of the Dragon,2003,3,tt0315604
Cortometraje,Men of Action,2003,2,tt0330622
Cortometraje,Name of the Rose,2003,3,tt0337688
Cortometraje,D.E.B.S.,2003,9,tt0337953
Cortometraje,Smooth,2003,1,tt0345937
Cortometraje,Flush,2003,1,tt0347006
Cortometraje,Hochbetrieb,2003,5,tt0347685
Cortometraje,Speed Deal,2003,-,tt0348085
Cortometraje,Click,2003,12,tt0349221
Cortometraje,The Firecracker,2003,1,tt0350936
Cortometraje,Final Flight of the Osiris,2003,3,tt0350934
Cortometraje,Flying Baby,2003,1,tt0350948
Cortometraje,Chimera,2003,3,tt0362502
Cortometraje,"A.P.U.: Art, Pot and Underwear",2003,-,tt0363401
Cortometraje,The Uninvited,2003,2,tt0364727
Cortometraje,Natural Selection,2003,-,tt0365547
Cortometraje,Jfets-D,2003,-,tt0365385
Cortometraje,Street of Pain,2003,3,tt0365800
Cortometraje,Tell Us,2003,5,tt0368331
Cortometraje,Program,2003,3,tt0366178
Cortometraje,O Santo Salvador e o Demônio,2003,-,tt0369894
Cortometraje,Underground,2003,4,tt0370039
Cortometraje,Birth of the Vampire,2003,-,tt0370349
Cortometraje,Leo's Oscar,2003,5,tt0373088
Cortometraje,Pinto Films: 30 Minutes,2003,7,tt0374124
Cortometraje,Batman: Dead End,2003,7,tt0374526
Cortometraje,Avatar,2003,9,tt0375570
Cortometraje,The Death of Batman,2003,,tt0377753
Cortometraje,Four.50,2003,4,tt0377931
Cortometraje,The Yard,2003,-,tt0379046
Cortometraje,Joni Be Brave,2003,12,tt0382111
Cortometraje,Pulp Diction,2003,1,tt0382925
Cortometraje,Black Gulch,2003,9,tt0383218
Cortometraje,Hitchhiker,2003,11,tt0384999
Cortometraje,Midnight Expression,2003,10,tt0383507
Cortometraje,Octobriana & the Finger of Lenin,2003,3,tt0387459
Cortometraje,Tengoku,2003,12,tt0388905
Cortometraje,Las superamigas contra el profesor Vinilo,2003,10,tt0389421
Cortometraje,Céu de Anil,2003,-,tt0391033
Cortometraje,Don't Get Stuck,2003,,tt0391937
Cortometraje,The End Runner,2003,12,tt0392601
Cortometraje,Cerebral Print: File #0604,2003,12,tt0393136
Cortometraje,Cu2,2003,11,tt0396547
Cortometraje,Dark Justice,2003,12,tt0398744
Cortometraje,Virus,2003,10,tt0399849
Cortometraje,Hk,2003,7,tt0400506
Cortometraje,No Way,2003,12,tt0405195
Cortometraje,Nines,2003,1,tt0408038
Cortometraje,Roadside Convenience,2003,5,tt0410526
Cortometraje,The Golden Arrow,2003,,tt0415013
Cortometraje,O Homem da Casa,2003,11,tt0419817
Cortometraje,Le défi,2003,4,tt0420595
Cortometraje,Behind the Wall,2003,-,tt0421707
Cortometraje,The Trailer,2003,9,tt0420968
