,0,1,2,3,4,5,6
62,8.3,['Todd Edwards'],"['Todd Edwards', 'Peter Bedgood']","It's been a rough couple of years for Alan Mangold, a tightly-wound professor in his 30's who dreams of a better life beyond his shoebox apartment... if only he could complete his opus, ""Orphan Bastard."" When his Nana dies, Alan and his better-half Amanda must post an internet ad at the university to find a student who will share the costs of the emergency cross-count... Leer todo",110,jeffie was here,2010
63,-,['Juanjo Martínez'],['Juanjo Martínez'],"In Buenos Aires, a beauty product turns people into zombies.",45,piel de lija,2010
64,4.7,['Kenny Ortega'],"['Conor Lastowka', 'Michael J. Nelson', 'Sean Thomason']","When Zac Efron starts singing and high schools start dancing, there's only one sane way watch: with a hilarious audio commentary from the guys at RiffTrax.",-,rifftrax: high school musical,2010
65,5.5,['Andy Tennant'],['Sarah Thorp'],-,110,the bounty hunter,2010
66,5.0,['Amit Gupta'],['Amit Gupta'],"Tripp is an average frustrated chump, who comes up with a golden idea. He partners with Gary, a Wall Street wheeler and dealer, and brings his cousin, Rowan, on-board to help with his business. As Tripp and Rowan journey together for business, Tripp learns about Rowan's extraordinary skills- skills in attracting women. The duo realizes that business and relationships ... Leer todo",110,let the game begin,2010
67,4.7,['John Wesley Norton'],['John Wesley Norton'],"An adept spoof of cinema's behind-the-scenes experiences, Not Another B Movie combines frightening and disgusting zombies with frightening and disgusting hack directions to tell a hilarious story! With a cast that includes Ed Asner, Joe Estevez and David Faustino, it's an insightful romp through the horror film industry and the horrors of the film industry.",87,not another b movie,2010
68,7.1,['Tarun Verma'],['Tarun Verma'],Life is about figuring out who you are and making sense of the world around you. Life is about your friends helping you through the toughest obstacle of life love. Life is about realizing the beautiful world around you and having fun. and most of all...Its about acting way too sexy and way too weird because you can be!! Why? Because that's how it is nowadays... Aaj Ka... Leer todo,90,aaj kal,2010
69,4.6,['Sam Harper'],"['Sam Harper', 'Meredith Preston']","In order to enjoy his retirement, a father takes drastic measures to get his twentysomething, slacker sons to move out and fend for themselves.",84,house broken,2010
70,7.2,['Laís Bodanzky'],"['Luiz Bolognesi', 'Gilberto Dimenstein', 'Heloisa Prieto']","Mano has to deal with adolescence dilemmas and his family destruction, after his father leaves their house.",100,as melhores coisas do mundo,2010
71,6.5,['Greg Berlanti'],"['Ian Deitchman', 'Kristin Rusk Robinson']",-,115,life as we know it,2010
72,6.6,['Donovan Marsh'],"['Donovan Marsh', 'John Van De Ruit']","It's South Africa 1990. Two major events are about to happen: The release of Nelson Mandela and, more importantly, it's Spud Milton's first year at an elite boys only private boarding school.",103,spud,2010
73,5.6,['Jackson Douglas'],['Jeff Lewis'],"When a priest learns his brother is dying of cancer, he dips into the church funds to help pay for the expensive treatments. Turns out his brother is in perfect health, and has used the money to fund production of a porno film.",90,for christ's sake,2010
74,5.9,['John Birmingham'],['John Birmingham'],"Paul Lewis is a high school senior in Zanzibar, VA with not a care in the world... or so it seems... until he finds out he is a half breed vampire. Together with his father and new girlfriend Laney, they must fight off evil vampires to save humankind in one intense night.",106,the vampires of zanzibar,2010
75,6.2,['Sergio Machado'],"['Jorge Amado', 'Sergio Machado']",Friends of the recently deceased Quincas take their pal's body on one last tour of his favorite spots in Brazil's Bahia.,104,quincas berro d'água,2010
76,5.9,['Fina Torres'],"['Jorge Camacho', 'Julio Carrillo', 'Arturo Infante']","A young seamstress in Havana with a dream of becoming a fashion designer, has to choose between the two men she loves - a suave foreign photographer, on a mysterious errand, and her loyal but laid back Cuban boyfriend who will, some day, build her a home.",106,habana eva,2010
77,5.3,['Jim Issa'],"['Anthony Stephenson', 'Michael Lucker']","Etta's hopeless husband Chester, wannabe entrepreneur and liquor store owner, blows every nickel he makes on hare-brained get-rich inventions. She must take matters into her own hands to fulfill her dream of sending their kids to college.",84,good intentions,2010
78,6.4,['Marcelo Laffitte'],"['José Carvalho', 'Marcelo Laffitte']","In Copacabana, lesbian photographer Elvis is hired to deliver pizzas in the night shift on her motorcycle. Her first assignment is a delivery to the transvestite hairdresser Lady Madonna.",105,elvis & madona,2010
79,5.0,['Waleed Moursi'],['Sarah Louise Wilson'],"Are you one of the millions still wondering why you life didn't turn out like a ""John Hughes"" Movie? ...Jelly is!",104,jelly,2010
80,4.6,['Tamara Tunie'],"['Joe Cilibrasi', 'Jennifer Maloney', 'Victoria Rinaldi']",Lindsay is abandoned by her therapist all August. All NYC therapists are on vacation. She complains on Craigslist - hundreds respond. Ten start a group (therapy session).,91,see you in september,2010
81,5.6,['Jeff Dylan Graham'],"['Jeff Dylan Graham', 'Dan Casserole', 'J.T. Seaton']","A severely traumatized man, suffering from a condition which causes him partial blindness and amnesia, seeks answers to the mystery of what really happened to him.",-,psychosomatika,2010
82,5.9,['Aaron Michael Metchik'],['Aaron Michael Metchik'],"10 Years Later is a dark comedy about six childhood best friends returning home for their ten year high school reunion. When one of them kidnaps an enemy from their past and inadvertently gets the others involved, each must decide whether to turn in a best friend or become accomplices in a dark plot that none of them are sure they can pull off.",98,10 years later,2010
83,5.2,"['Cyrill Boss', 'Philipp Stennert']","['Cyrill Boss', 'Philipp Stennert', 'Andreas Gaw']",Jerry Cotton is the best agent of the FBI and suspected of murder. So he has to find the real killers of gangster boss Serrano.,90,jerry cotton,2010
84,-,['Zhengyu Lu'],"['Xiaodan Guo', 'Zhengyu Lu', 'Pipi Wu']",-,96,the university days of a dog,2010
85,3.8,['Major Ravi'],['Major Ravi'],Four kids spending their vacation in a small village find a wounded dog and decide to keep it. But the village has this strange superstition that dogs bring bad luck. What can they do?,85,oru avadhikaalam,2010
86,6.1,['Lucas Blanco'],"['Lucas Blanco', 'Roberto Montini']","The lives of four people weave together in unexpected ways without each of them realizing the effect their actions are having on the lives of the others. Each is searching for love while love may be staring them straight in the eye right, in this modern tale of love's mysterious nature.",95,amor en tránsito,2010
87,-,"['François Lamoureux', 'Pierre Lamoureux']",-,-,-,trevor boris: over easy,2010
88,3.6,['Patrick Levy'],['Patrick Levy'],"A young man decided after paying his duty to the society decide to change his life and to become a filmmaker. Only one problem : he's nobody, works for a gangster and doesn't know the cinema industry. His solution blackmailing and better be the right guy.",81,les princes de la nuit,2010
89,5.5,['Barry W. Blaustein'],['Peter Himmelstein'],Four siblings implode after the release of a book written about them.,79,peep world,2010
90,5.4,['Robert Luketic'],"['Bob De', 'Rosa', 'Ted Griffin']",-,100,killers,2010
91,7.8,"['Tim Clarke', 'Timothy Clarke']",['Tim Clarke'],"'Cornhole: The Movie' is a mockumentary feature film that examines the lives of four groups of quirky characters who have sacrificed, exploited, and shamed those in their lives to gain a certain level of minimal fame in the Cincinnati-based sport of Cornhole.",90,cornhole: the movie,2010
92,3.7,['Russ Parr'],['Russ Parr'],An aspiring pimp struggles to make a mint after inheriting his late uncles escort service and discovering that competition on the streets is fierce.,80,something like a business,2010
93,6.4,['Abe Sylvia'],['Abe Sylvia'],"It's 1987 and Danielle, the high-school 'Dirty Girl', is running away. With her is chubby, gay Clarke, a bag of flour called Joa and a Walkman full of glorious '80s tunes.",90,dirty girl,2010
94,5.9,['Geoff Marslett'],['Geoff Marslett'],"The discovery of life on Mars places a robotic expedition and a manned mission in a race to the Red Planet. On the way we discover that love - biological, spiritual, and even mechanical - can flourish in all kinds of ways.",90,mars,2010
